非晶态装甲云	Amorphous Armorcloud
面部动画	Facial Anim
面部组	Facial Group
量 - 淡化	Amount - Faded
衰减	Falloff
衰减结束	Falloff End
近端衰减结束	Near Falloff End
衰减开始	Falloff Start
接近衰减开始	Near Falloff Start
远点剪切面	Far Clip
文件路径	File Path
过滤器	Filter
过滤器测试	Filter Test
查找器标签	Finder Tag
发射不管	Fire And Forget
焦点深度	Focal Depth
迷雾颜色 蓝色	Fog Color Blue
迷雾颜色 绿色	Fog Color Green
迷雾颜色 红色	Fog Color Red
迷雾密度	Fog Density
迷雾消散	Fog Falloff
迷雾开始高度	Fog Start Height
迷雾能见度	Fog Visibility
高度偏移	Height Offset
完全匹配虚空行为	Full Match Legacy Behavior
ID	ID
教程	Guide
散射光HDR - 蓝色	Diffuse HDR - Blue
散射光HDR - 绿色	Diffuse HDR - Green
散射光HDR - 红色	Diffuse HDR - Red
漫射光HDR - 蓝色	Emissive HDR - Blue
漫射光HDR - 绿色	Emissive HDR - Green
漫射光HDR - 红色	Emissive HDR - Red
光晕漫射	Halo Emission
光晕宽度	Halo Width
演算体别名隐藏	Actor Alias Hide
高亮颜色 - 阿尔法	Highlight Color - Alpha
高亮颜色 - 蓝色	Highlight Color - Blue
高亮颜色 - 绿色	Highlight Color - Green
高亮颜色 - 红色	Highlight Color - Red
碰撞测试	Hit Test
保持淡化	Hold Fade
热点	Hotspot
索引	Index
继承比例	Inherit Scale
继承可见性	Inherit Visibility
交互模式	Interactive Mode
击中时跳至书签	Jump to bookmark when hit
光晕开始状态	Lensflare start state
光源GUID	Light GUID
光源ID	Light ID
光源索引	Light Index
光源模糊目标	Light Opaque Objects
光源透明目标	Light Transparent Objects
线条ID	Line ID
锁定至结尾	Locked to End
目标GUID	Target GUID
忽略镜头眼	Ignore Eyes
类型	Type
循环	Looping
最大光源等级	Maximum Light Level
消息	Message
最小光源等级	Minimum Light Level
模式	Mode
模型链接	Model Link
模型材料盐酸提名称	Model Material Actor Name
模型材料自动化全球回路	Model Material Automates Global Loops
模型材料模型名称	Model Material Model Name
模型材料类型	Model Material Type
模型路径	Model Path
名称	Name
近点剪切面	Near Clip
非查找	Non-Seeking
对象GUID	Object GUID
对象ID	Object ID
偏移X轴	Offset X
偏移Y轴	Offset Y
偏移Z轴	Offset Z
模糊度	Opacity
原持续时间	Original Duration
原移动速度	Original Movement Speed
正在覆盖	Overriding
所有者ID	Owner ID
镜头移动	Pan
父级ID	Parent ID
击中时暂停	Pause When Hit
巅峰乘数 - 蓝色	Peak Multiplier - Blue
巅峰乘数 - 绿色	Peak Multiplier - Green
巅峰乘数 - 红色	Peak Multiplier - Red
纵摇	Pitch
永久播放	Play Forever
只播放一次	Play Once
位置点X轴	Position X
位置点Y轴	Position Y
位置点Z轴	Position Z
优先权	Priority
RTT通道	RTT Channel
开始偏移 - 随机最大值（百分比）	Start Offset - Random Max (Percent)
开始偏移 - 随机最小值（百分比）	Start Offset - Random Min (Percent)
参考文档	Reference File
参考GUID	Reference GUID
击中后移除过滤器	Remove Filter When Hit
环境混响ID	Ambient Reverb ID
右对齐	Right-Aligned
滚转	Roll
旋转向前X轴	Rotation Forward X
旋转向前Y轴	Rotation Forward Y
旋转向前Z轴	Rotation Forward Z
旋转向上X轴	Rotation Up X
旋转向上Y轴	Rotation Up Y
旋转向上Z轴	Rotation Up Z
旋转	Rotation
旋转X轴	Rotation X
旋转Y轴	Rotation Y
旋转Z轴(面向)	Rotation Z (Facing)
比例X轴	Scale X
比例Y轴	Scale Y
比例Z轴	Scale Z
阴影框	Shadow Box
阴影施放	Shadow Casting
阴影剪切面	Shadow Clip
皮肤覆盖	Skin Override
排序索引	Sort Index
变化	Variation
音效链接	Sound Link
扬声器混合 - 左后	Speaker Mix - Back Left
扬声器混合 - 右后	Speaker Mix - Back Right
扬声器混合 - 中央	Speaker Mix - Center
扬声器混合 - 左前	Speaker Mix - Front Left
扬声器混合 - 右前	Speaker Mix - Front Right
扬声器混合 - LFE	Speaker Mix - LFE
扬声器混合 - 左侧	Speaker Mix - Side Left
扬声器混合 - 右侧	Speaker Mix - Side Right
扬声器标签	Speaker Tag
镜面光	Specular
颜色 - 镜面光 - 蓝色	Color - Specular - Blue
颜色 - 镜面光 - 绿色	Color - Specular - Green
颜色 - 镜面光 - 红色	Color - Specular - Red
开始时间	Start Time
开始对点链接	Start Link To Point
开始链接距离	Start Link Distance
链接于GUID的开始	Start Linked To GUID
初始乘数 - 蓝色	Start Multiplier - Blue
初始乘数 - 绿色	Start Multiplier - Green
初始乘数 - 红色	Start Multiplier - Red
开始偏移	Start Offset
频闪衰减	Strobe Falloff
半频闪高度	Strobe Halfheight
目标位置X轴	Target Position X
目标位置Y轴	Target Position Y
目标位置Z轴	Target Position Z
散射光 - 蓝色	Diffuse - Blue
散射光 - 绿色	Diffuse - Green
散射光 - 红色	Diffuse - Red
漫射光 - 蓝色	Emissive - Blue
漫射光 - 绿色	Emissive - Green
漫射光 - 红色	Emissive - Red
贴图质量	Texture Quality
时间刻度	Time Scale
配色 - 蓝	Tint Color - Blue
配色 - 绿	Tint Color - Green
配色 - 红	Tint Color - Red
量 - 非淡化	Amount - Unfaded
使用动画移动速度	Use Anim Movespeed
使用GUID	UseGUID
使用场景旋转	Use Scene Rotation
值	Value
垂直FOV	Vertical FOV
可见	Visible
体积	Volume
音量绝对值	Absolute Volume
正在等待资源	Wait for Resources
行走	Walk
重量	Weight
横摇	Yaw
只在本地情况下播放	Only Play If Local
Variation %1 clamped to the maximum for model '%2' (variation count is %3)	Variation %1 clamped to the maximum for model '%2' (variation count is %3)
Variation %1 does not exist in model '%2' (variation count is %3)	Variation %1 does not exist in model '%2' (variation count is %3)
被探测到	Detected
已禁用	Disabled
模糊	Dimmed
隐藏的	Hidden
快照	Snapshot
指数	Exponential
电影的	Filmic
线性	Linear
对数	Logarithmic
混合曝光	Reinhard
极高	Extreme
超高	Ultra
光滑面	Glaze
替换	Replacement
开启	On
2D	2D
3D头部	3DHead
3D世界	3DWorld
快速	Fast
平面	Flat
慢速	Slow
平滑	Smooth
阶跃	Step
Default Data Collection	Default Data Collection
Default Data Collection (Ability)	Default Data Collection (Ability)
Default Data Collection (Unit)	Default Data Collection (Unit)
Default Data Collection (Upgrade)	Default Data Collection (Upgrade)
Default Effect (CEffectUserData)	Default Effect (CEffectUserData)
Make Precursor	Make Precursor
Remove Precursor	Remove Precursor
溅射伤害	Splash Damage
Timed Life Fate	Timed Life Fate
Taunt (Search)	Taunt (Search)
Taunt (Apply Behavior)	Taunt (Apply Behavior)
无法穿越裂口选中目标。	Can't target units across chasms.
无法翻越悬崖。	Can't travel across cliffs.
无法找到指定位置路径。	Can't path to that location.
无法在效果树里找到按键	Can't find the Key in the Effect Tree
邀请电脑玩家（简单）加入战斗。	Take on the computer A.I. at Easy difficulty level
简单	Easy
邀请电脑玩家（困难）加入战斗。	Take on the computer A.I. at Hard difficulty level
邀请电脑玩家（疯狂）加入战斗。	Take on the computer A.I. at Insane difficulty level
疯狂	Insane
邀请电脑玩家（普通）加入战斗。	Take on the computer A.I. at Medium difficulty level
邀请电脑玩家（新手）加入战斗。	Take on the computer A.I. at Very Easy difficulty level
新手	Very Easy
邀请电脑玩家（极难）加入战斗。	Take on the computer A.I. at Very Hard difficulty level
极难	Very Hard
无效ConfigData '%1' 条目 '%2'	Invalid ConfigData '%1' entry '%2'
无效的游戏内容阵列输入数值'%1'	Invalid GameContentArray entry '%1'
达到技能限制。	Ability limit reached.
纹理'%1'不引用某个存档中的文件，也无法被载入。	Texture '%1' does not reference a file in an archive and cannot be loaded.
指定的行为ID无效：'%1' for accumulator '%2'。	Invalid behavior id specified: '%1' for accumulator '%2'.
AnimWait：动画名称'%1'并不在'%2'上运行	AnimWait: Animation name '%1' is not running on actor '%2'
AnimWait：动画名称'%1'在演算体'%2'上的运行时间已超过预计（阻止了触发器读取）	AnimWait: Animation name '%1'has been running longer than expected (blocking the triggerthread) on actor '%2'
在类别'%1'中发生补给错误。	Food Error in category '%1'.
'%1'为瞬态配置，但具有非零时间。	'%1' is configured as transient but has a non-zero time.
达到行为限制。	Behavior limit reached.
命令溢出: '%1' @ '%2'。	Command overflow: '%1' @ '%2'.
菌毯半透明度最大阈值不大于最小阈值。	Creep translucent max threshold is not greater than min threshold.
过场动画错误：无法为状态添加节点。	Cutscene Error: Failed to add node to state.
Cutscene Error: Animation '%1' from block (%2) doesn't exist on model '%3' from actor node (%4).	Cutscene Error: Animation '%1' from block (%2) doesn't exist on model '%3' from actor node (%4).
过场动画错误: 无法找到镜头'%1'。	Cutscene Error: Cannot find camera '%1'.
过场动画警告：发现重复的书签名'%1'。	Cutscene Warning: Duplicate bookmark name found '%1'.
过场动画错误：%1 - '%2' (%3)和'%4' (%5)拥有同样的GUID (%6)！加载已停止！	Cutscene Error: %1 - '%2' (%3) and '%4' (%5) share the same GUID (%6)!  Loading has been stopped!
过场动画加载错误：'%1' - '%2'。	Cutscene Load Error: '%1' - '%2'.
Cutscene Error: Filter '%1' is not a valid expression.	Cutscene Error: Filter '%1' is not a valid expression.
过场动画错误: 无法找到在'%2'上找到'%1'。	Cutscene Error: Cannot find '%1' on '%2'.
过场动画警告：在过场动画'%3'中遗失参考节点'%1' (%2)	Cutscene Warning: Missing referenced node '%1' (%2) in cutscene '%3'.
Conflicting preload request for cutscene %1. Replacing filter '%2' with '%3'.	Conflicting preload request for cutscene %1. Replacing filter '%2' with '%3'.
过场动画错误: 无法附着镜头'%1'。RTT当前无法支持演算体镜头。	Cutscene Error: Cannot attach camera '%1'. RTT is not currently supported for Actor Cameras.
过场动画错误：发现多个阴影框演算体：'%1' ('%2')	Cutscene Error: Multiple Shadow Box Actors Found: '%1' ('%2')
过场动画错误: 无法找到讲话人'%1'。	Cutscene Error: Cannot find speaker '%1'.
过场动画日志：检查到堆栈溢出。您是否有圆形书签循环？	Cutscene Log: Stack Overflow detected.  Do you have a circular bookmark loop?
过场动画错误：'%1' -无法添加'%2' ('%3')至节点'%4' ('%5')。'%6'不支持子类型'%7'。	Cutscene Error: '%1' - Cannot add '%2' ('%3') to node '%4' ('%5').  '%6' does not support child type '%7'.
Cutscene Error: Variation %1 does not exist in model '%2' (variation count is %3) [node id: %4]	Cutscene Error: Variation %1 does not exist in model '%2' (variation count is %3) [node id: %4]
过场动画日志：正在等待cutscene'%3'中的资源'%1' (%2)。	Cutscene Log: Waiting for resource '%1' (%2) in cutscene '%3'.
%1溢出使用'%2'。	%1 overflow using '%2'.
修改玩家效果'%4无法使用操作'%2' 和值'%3'来修改字段'%1'，错误：'%5'	Unable to modify field '%1' using operation '%2' and value '%3' for modify player effect '%4'.  Error: '%5'
升级链接'%1'对修改玩家效果'%2'无效。	Upgrade link '%1' invalid for modify player effect '%2'.
Attempted voice creation with empty filename for Sound %1.	Attempted voice creation with empty filename for Sound %1.
音效%1无法开始，因为HerdNode出现了循环引用。	Sound %1 could not be started because HerdNode is a circular herd reference.
无效的动画: '%1'。	Invalid anim: '%1'.
对单位'%2无效的附着体'%1'。	Invalid attachment '%1' for unit '%2.
无效的数据集条件：'%1'。	Invalid bank condition: '%1'.
无效的挑战: '%1'。	Invalid challenge: '%1'.
无效的效果: '%1'。	Invalid effect: '%1'.
Invalid kinetic: '%1'.	Invalid kinetic: '%1'.
无效的模型: '%1'。	Invalid model: '%1'.
无效的移动器索引: %1为效果'%2'	Invalid moverIndex: %1 for effect '%2'
无效的位置: '%1'。	Invalid position: '%1'.
无效的预先放置的装饰物: '%1'。	Invalid preplaced doodad: '%1'.
无效的预先放置的单位: '%1'。	Invalid preplaced unit: '%1'.
无效的需求: '%1'。	Invalid requirement: '%1'.
无法载入同步模型数据'%1'。	Unable to load synchronous model data '%1'.
无效的单位: '%1'。	Invalid unit: '%1'.
对于'%1'是无效的单位内部半径。内部半径(%2)=>半径(%3)。必须是1/16(0.0625)的整数倍。	Invalid Unit Inner Radius for '%1'. InnerRadius (%2) => Radius(%3). Must be a multiple of 1/16 (0.0625).
对于'%1'无效的单位内部半径。内部半径(%2)>半径(%3)。	Invalid Unit Inner Radius for '%1'. InnerRadius (%2) > Radius(%3).
对于'%1'无效的单位半径。半径(%2)=>半径(%3)。必须是1/16(0.0625)的整数倍。	Invalid Unit Radius for '%1'. Radius (%2) => Radius(%3). Must be a multiple of 1/16 (0.0625).
单位'%1'拥有无效的视野。视野=%2，来自%3的加成=%4。总值为%5但将会固定在%6。	Invalid sight for unit '%1'.  Sight = %2, Bonus from %3 = %4.  Total is %5 but will get clamped to %6.
无效的验证器: '%1'。	Invalid validator: '%1'.
Invalid validator, no matching player type: '%1'.	Invalid validator, no matching player type: '%1'.
CBehaviorJump需要一个抛物线运动阶段驱动器。	CBehaviorJump requires a parabola motion phase driver.
CBehaviorJump需要带有一个单一运动阶段的弹道移动器。	CBehaviorJump requires missile mover with a single motion phase.
Kinetic limit reached.	Kinetic limit reached.
单位'%1'试图发射一个无效的移动器'%2'。	Unit '%1' attempting to launch with an invalid mover '%2'.
对于'%1'无效的移动器弹道驱动器。	Invalid mover missile driver on '%1'.
无效的弹道移动器或是弹道演算体;  效果'%1'单位'%2'。	Invalid missile mover or missile actor; Effect '%1' Unit '%2'.
对于效果'%2'无效的弹药单位'%1'。	Invalid ammo unit '%1' for effect '%2'.
'%1'缺失动画'%2'。	'%1' is missing animation '%2'.
对于单位'%2'缺失附着物'%1'。	Missing attachment '%1' for unit '%2'.
%1'缺失一个可建造的技能。	'%1' is missing a buildable ability.
缺失按键: '%1' @ '%2'。	Missing button: '%1' @ '%2'.
缺失信息: '%1' @ '%2'。	Missing info: '%1' @ '%2'.
对于'%1'缺失弹道移动器。	Missing missile movers for '%1'.
没有可用的位置。	No available position.
无法找到得分值'%1'。	Unable to find score value '%1'.
缺失训练信息: 单位'%1'对于技能'%2' @索引'%3'。	Missing train info: unit '%1' on ability '%2' @ index '%3'.
缺少验证器参数：'%1'。	Missing validator parameters: '%1'.
No ability for '%1'.	No ability for '%1'.
'%1'没有闲置的技能槽。	No free ability slots left for '%1'.
'%1'没有闲置的动作槽。	No free behavior slots left for '%1'.
'%1'没有闲置的战役槽。	No free campaign slots left for '%1'.
'%1'没有闲置的挑战槽。	No free challenge slots left for '%1'.
对于需求'%2'，%1的操作数过多。	%1 too many operands for the requirement '%2'.
对于需求'%2'，%1的操作数过少。	%1 too few operands for the requirement '%2'.
PlacementRange must be below 16: Effect '%1' Range '%2'.	PlacementRange must be below 16: Effect '%1' Range '%2'.
无法重启过程; 已经为'%1'完成。	Unable to restart progress; already completed for '%1'.
达到需求限制: '%1'。	Requirement limit reached: '%1'.
达到显示器限制。	Revealer limit reached.
%1没有被预先加载，所以此长度不可用。	%1 was not preloaded so the length is not available.
对于'%2'，%1技能过多。	Too many %1 abilities for '%2'.
'%1'技能过多。	Too many abilities for '%1'.
达到单位闲置。	Unit limit reached.
CBehaviorVeterancy'%1'VeterancyLevelArray索引%2拥有无效的经验值要求。要求%3但它将强制为%4。	Invalid XP requirement for CBehaviorVeterancy '%1' VeterancyLevelArray index %2. %3 required but it will be clamped to %4.
CHero	CHero
CHeroAbil	CHeroAbil
CHeroStat	CHeroStat
即将开始……%sec%	STARTING IN...%sec%
即将开始……	STARTING IN...
正在进入游戏房间	ENTERING LOBBY
游戏即将开始！	GAME READY!
正在初始化%queueName%	INITIALIZING %queueName%
游戏房间内有%numPlayers%名玩家	%numPlayers% <lang rule="plural">PLAYER,PLAYERS</lang> IN LOBBY
正在下载数据	STREAMING DATA
正在等待玩家	WAITING FOR PLAYERS
AI	A.I.
顺序排列	Grid
物品栏	Inventory
单位管理	Unit Management
UI编辑器	UI Editor
顶部技能条法术	Top Bar Powers
默认等级	Default Class
Alt	Alt
清空	Clear
苹果键	Command
CTRL	Control
Ctl	Ctl
结束键	End
回车键	Enter
回车	Ent
ESC	Escape
Esc	Esc
F13	F13
F14	F14
F15	F15
F16	F16
F17	F17
F18	F18
F19	F19
F20	F20
F21	F21
F22	F22
F23	F23
F24	F24
数字锁定键	Num Lock
数字键盘	NL
数字键盘 0	Num Pad 0
N 0	N 0
数字键盘 1	Num Pad 1
N 1	N 1
数字键盘 2	Num Pad 2
N 2	N 2
数字键盘 3	Num Pad 3
N 3	N 3
数字键盘 4	Num Pad 4
N 4	N 4
数字键盘 5	Num Pad 5
N 5	N 5
数字键盘 6	Num Pad 6
N 6	N 6
数字键盘 7	Num Pad 7
N 7	N 7
数字键盘 8	Num Pad 8
N 8	N 8
数字键盘 9	Num Pad 9
N 9	N 9
数字键盘 .	Num Pad Decimal
N .	N .
数字键盘 /	Num Pad Divide
N /	N /
数字键盘 回车键	Num Pad Enter
N Ent	N Ent
数字键盘 =	Num Pad Equals
N =	N =
数字键盘 -	Num Pad Minus
N -	N -
数字键盘 *	Num Pad Multiply
N *	N *
数字键盘 +	Num Pad Plus
N +	N +
Option键	Option
Opt	Opt
暂停/中断	Pause/Break
SHIFT	Shift
Sft	Sft
Tab键	Tab
方向键上	Up
CLocation	CLocation
飓风炮台	Cyclone Turret
仅用快速镜头眼 精细	Fast Eyes Only Subtle
解放者对地炮台	Liberator Anti-Ground Turret
CMap	CMap
BlendAt[%1] not > StopAt[%2].  Mover[%3] Phases[%4, %5].  The blend out termination distance of a given phase must be at a further distance than the stop distance of the prior phase.	BlendAt[%1] not > StopAt[%2].  Mover[%3] Phases[%4, %5].  The blend out termination distance of a given phase must be at a further distance than the stop distance of the prior phase.
Cannot have blend on final phase.  Mover[%1].	Cannot have blend on final phase.  Mover[%1].
Cannot have negative outro ranges.  Mover[%1] Phase[%2].	Cannot have negative outro ranges.  Mover[%1] Phase[%2].
Cannot have 0 stopAt distance on zeroeth phase if there is more than 1 phase.  Mover[%1].	Cannot have 0 stopAt distance on zeroeth phase if there is more than 1 phase.  Mover[%1].
Cannot use powerslide on phases with non-positive acceleration.  Mover[%1] Phase[%2].	Cannot use powerslide on phases with non-positive acceleration.  Mover[%1] Phase[%2].
Empty throw vector.  Mover[%1] Phase[%2].	Empty throw vector.  Mover[%1] Phase[%2].
Invalid pitch throw band.  Mover[%1] Phase[%2].	Invalid pitch throw band.  Mover[%1] Phase[%2].
Invalid yaw throw band.  Mover[%1] Phase[%2].	Invalid yaw throw band.  Mover[%1] Phase[%2].
No motion driver.  Mover[%1] Phase[%2].	No motion driver.  Mover[%1] Phase[%2].
StopAt[%1] not >= BlendAt[%2].  Mover[%3] Phase[0].  The distance at which a phase completely stops must be at or past the distance at which the phase starts to blend out.	StopAt[%1] not >= BlendAt[%2].  Mover[%3] Phase[0].  The distance at which a phase completely stops must be at or past the distance at which the phase starts to blend out.
StopAt[%1] not >= BlendAt[%2].  Mover[%3] Phase[%4].  The distance at which a phase completely stops must be at or past the distance at which the phase starts to blend out.	StopAt[%1] not >= BlendAt[%2].  Mover[%3] Phase[%4].  The distance at which a phase completely stops must be at or past the distance at which the phase starts to blend out.
Unsupported - negative BlendAt[%1] and positive StopAt[%2].  Mover[%3] Phase[%4].  Cannot specify the start of a blend out for a phase with respect to the target, while simultaneously specifying the final stop distance of that phase with respect to the launch point.  This would create varying and probably unexpected behaviors as launch and target points varied in distance from one another.	Unsupported - negative BlendAt[%1] and positive StopAt[%2].  Mover[%3] Phase[%4].  Cannot specify the start of a blend out for a phase with respect to the target, while simultaneously specifying the final stop distance of that phase with respect to the launch point.  This would create varying and probably unexpected behaviors as launch and target points varied in distance from one another.
CMoverMissile[%1]; 发射物仅支持地面高度地图。空中高度地图使得飞行单位能够平稳飞越悬崖--它不会对发射物起到任何辅助作用，并且仅对需要靠近地面的发射物造成问题。因此发射物的此项功能被忽略。	CMoverMissile[%1]; Missiles only support the ground height map.  The air height map enables fliers to move smoothly over cliffs -- it offers no assistance to missiles and would only causes glitches in missiles that need to be near the ground.  It is therefore ignored on missiles.
Zero gravity on ballistic mover.  Mover[%1] Phase[%2].	Zero gravity on ballistic mover.  Mover[%1] Phase[%2].
鼠标向后键	Back Mouse Button
鼠标向前键	Forward Mouse Button
鼠标左键	Left Mouse Button
鼠标中键	Middle Mouse Button
鼠标右键	Right Mouse Button
CObjective	CObjective
HOUR:MINUTE2:SECOND2	HOUR:MINUTE2:SECOND2
hp	hp
新单位：	New Unit:
补给	supply
@	@
<c val="ff0000">数量不能超过	<c val="ff0000">Cannot have more than
<c val="FFE000">	<c val="FFE000">
新建筑：	New Structure:
sh	sh
)	)
g	g
False	False
任务策略：	Mission Strategy:
屏幕文本标签。</c>	screen labels.</c>
</c>	</c>
at (	at (
<c val="ff0000">不能拥有超过	<c val="ff0000">Cannot have more than
m	m
P	P
</s>	</s>
，	,
<c val="FFFFFF">	<c val="FFFFFF">
首领生命值条。</c>	boss bars.</c>
个画面按钮。</c>	screen buttons.</c>
<s height="16">	<s height="16">
True	True
(	(
个画面图形。</c>	screen images.</c>
新技能：	New Ability:
：	:
en	en
)-	)  -
无法用指向 %2的链接替换 %1。	Unable to replace links to %1 with %2.
CRace	CRace
CReward	CReward
CRewardDecal	CRewardDecal
CRewardIcon	CRewardIcon
CRewardModel	CRewardModel
CRewardPortrait	CRewardPortrait
CScoreResult	CScoreResult
CScoreValue	CScoreValue
CSkin	CSkin
Sync point range attempted to change meter inside of a bar for sound '%1'.	Sync point range attempted to change meter inside of a bar for sound '%1'.
A loop was detected in the mix routing of sound categories.	A loop was detected in the mix routing of sound categories.
Sync point ranges are out of order on sound '%1'.	Sync point ranges are out of order on sound '%1'.
战役地形	CTerrain
已勾选	Checked
运行	Run
已勾选条件的触发器数量(因事件)	Number of triggers which checked conditions due to events
发生的事件总量	Total number of events which occurred
已执行动作的触发器数量(因事件)	Number of triggers which executed actions due to events
Breakpoint condition requires the format VariableOperatorValue where Variable is a local variable in the function where the breakpoint has been set and Operator is =, ==, or !=. Note that spaces will be trimmed.	Breakpoint condition requires the format VariableOperatorValue where Variable is a local variable in the function where the breakpoint has been set and Operator is =, ==, or !=. Note that spaces will be trimmed.
Breakpoint condition variable not found:	Breakpoint condition variable not found:
[双击折叠]	[Double Click To Collapse]
[双击展开]	[Double Click To Expand]
平均运行时间 (ms)	Average Run Time (ms)
平均失败时间 (ms)	Average Fail Time (ms)
平均自身+子时间	Average Self+Children Time
平均自身-仅有时间	Average Self-Only Time
错误条件	Failed Conditions
函数名称	Function Name
总存储容量	Total Memory Size
脚本呼叫识别符	Script Call Identifier
总共自身+子时间	Total Self+Children Time
总共自身-仅有时间	Total Self-Only Time
总时间（毫秒）	Total Time (ms)
最差运行时间(毫秒)	Worst Run Time (ms)
最差自身+子时间	Worst Self+Children Time
最差自身-仅有时间	Worst Self-Only Time
常量	Const
局部	Local
参数	Param
?????	?????
断点	Breakpoints
调用栈	Callstack
Stack	Stack
表	Watch
筛选列表：	Filter List:
查找下一个	Find Next
搜索脚本：	Search Script:
技能命令'ABILCMD'不应拥有目标	The ability command 'ABILCMD' should not have a target
技能命令'ABILCMD'当前没有目标	The ability command 'ABILCMD' is missing a target
暂不支持技能命令'ABILCMD'	The ability command 'ABILCMD' is not supported
无法创建演算体：名字[ACTOR]、内容1[CONTENT1]、内容2[CONTENT2]	Could not create actor: Name[ACTOR] Content1[CONTENT1] Content2[CONTENT2]
无效演算体信息：信息[MSG]	Invalid actor msg: Msg[MSG]
Attempt to send non-USER message: Msg[MSG]	Attempt to send non-USER message: Msg[MSG]
无法创建演算体域	Could not create actor scope
Could not create specified actor [ACTOR] while creating actor scope.	Could not create specified actor [ACTOR] while creating actor scope.
%1动画长度查询未完成。请先执行AnimLengthQueryWait以确保所有查询都已完成。	The animation length query is not finished yet for function %1.  Please call AnimLengthQueryWait first to ensure that all queries are finished.
无权调用'FUNC'	Calling 'FUNC' is not authorized
无法设置分数值%1因为它是一个计算出来的值。操作是“%2”并且总计值为：%3	Cannot set score value %1 because it is a calculated value. The operation is "%2" and the values combined are: %3
无法找到目录条目'NAME'	Catalog entry 'NAME' was not found
无法读取目录字段'NAME' (ERROR)	Catalog field 'NAME' could not be read (ERROR)
目录字段'NAME'无法作为CFlags或CFlagArray对象读取 (ERROR)	Catalog field 'NAME' could not be read as a CFlags or CFlagArray object (ERROR)
目录字段"NAME"无法写入 (ERROR)	Catalog field 'NAME' could not be written (ERROR)
本地常量不统一：NAME	Native constant is not 'const': NAME
无法找到本地常量：NAME	Native constant not found: NAME
本地常量不为整数：NAME	Native constant is not an integer: NAME
本地常量值不匹配：NAME(内部＝VALINT,外部＝VALEXT)	Native constant value mismatch: NAME (internal = VALINT, external = VALEXT)
无法使用'FUNC'创建'OBJ'	Could not create 'OBJ' in 'FUNC'
事件响应函数'FUNC'没有匹配的事件	Event response function 'FUNC' has no matching event
'FUNCTION'出现触发器错误：ERROR	Trigger Error in 'FUNCTION': ERROR
无法从'FUNC'的参数中获取'OBJ'(值：VALUE)无法从'FUNC'参数中获取'OBJ' (值：VALUE)	Could not get 'OBJ' from parameter in 'FUNC' (value: VALUE)
无法找到快捷键方案%1，已使用%2。	Could not find hotkey profile %1, using %2 instead.
指定的技能ID无效：'ID'	Invalid ability id specified: 'ID'
'FUNC'中出现无效的ActorGalaxyRefId	Invalid ActorGalaxyRefId encountered in 'FUNC'
Invalid alert id specified: 'ID'	Invalid alert id specified: 'ID'
无法为'VALUE'设置值'NAME'	Could not set value for 'NAME' to 'VALUE'
指定的行为ID无效：'ID'	Invalid behavior id specified: 'ID'
指定的按钮ID无效：'ID'	Invalid button id specified: 'ID'
指定的效果ID无效：'ID'	Invalid effect id specified: 'ID'
'%2'中出现无效的'%1'句柄。	Invalid handle given for '%1' in '%2'
无效的位置：'LOC'	Invalid position: 'LOC'
指定了无效的域ID：'ID'	Invalid scope id specified: 'ID'
Log file too large: FILE (SIZEMB MB max)	Log file too large: FILE (SIZEMB MB max)
请求的声音文件ID未知：'NAME'	Unknown sound id requested: 'NAME'
Nested loops of IntLoopBegin/PickEachInteger not supported	Nested loops of IntLoopBegin/PickEachInteger not supported
Nested loops of PlayerGroupLoopBegin/PickEachPlayerInGroup not supported	Nested loops of PlayerGroupLoopBegin/PickEachPlayerInGroup not supported
Nested loops of UnitGroupLoopBegin/PickEachUnitInGroup not supported	Nested loops of UnitGroupLoopBegin/PickEachUnitInGroup not supported
触发器调试窗口无法在全屏模式下打开	Trigger Debugging window cannot be opened in fullscreen mode
Attempted to use an integer loop function, 'FUNC', without first calling IntLoopBegin/PickEachInteger	Attempted to use an integer loop function, 'FUNC', without first calling IntLoopBegin/PickEachInteger
循环函数只在触发器逻辑中有效，'FUNC'。	Loop functions are only valid inside trigger logic, 'FUNC'.
Attempted to use a player group loop function, 'FUNC', without first calling PlayerGroupLoopBegin/PickEachPlayerInGroup	Attempted to use a player group loop function, 'FUNC', without first calling PlayerGroupLoopBegin/PickEachPlayerInGroup
Attempted to use a unit group loop function, 'FUNC', without first calling UnitGroupLoopBegin/PickEachUnitInGroup	Attempted to use a unit group loop function, 'FUNC', without first calling UnitGroupLoopBegin/PickEachUnitInGroup
FUNC'中的参数超出界限(值：VALUE,最小：MIN,最大：MAX)	Parameter out of bounds in 'FUNC' (value: VALUE, min: MIN, max: MAX)
路径NAME无效	Path NAME not valid
经过ATTEMPTS尝试后，无法在区域：'NAME'找到随机点	Random point in region 'NAME' could not be found after ATTEMPTS attempts
Script compile error: ERROR	Script compile error: ERROR
本局游戏中该错误的最终报告。	Final report for this error this game.
脚本读取失败：ERROR	Script load failed: ERROR
Script runtime error: ERROR	Script runtime error: ERROR
无法设置'UNIT'的能量恢复，恢复倍率为0。	Could not set unit energy regen on 'UNIT', multiplier is zero.
无法设置'UNIT'的生命恢复，恢复倍率为0。	Could not set unit life regen on 'UNIT', multiplier is zero.
