非晶态装甲云	Armure de brume
<c val="ffffff">显示队伍色彩化生命条：</c><n/>开启后，使用控制该单位的玩家颜色来显示单位的生命条。	<c val="ffffff">Afficher la barre des PV aux couleurs de l’équipe :</c><n/>Une fois cette option activée, affiche la barre des PV d’une unité avec la couleur du joueur qui la contrôle.
%unit% - %card%	%unit% - %card%
你无法控制该单位。	Vous ne pouvez pas contrôler cette unité
敌方单位	Unité ennemie
中立单位	Unité neutre
无效的战队标签。	Tag de clan non valide.
[PH] Clan Tag Tooltip, what this is for and examples of legal tags.	[PH] Clan Tag Tooltip, what this is for and examples of legal tags.
创建战队	Créer un clan
重命名战队	Renommer le clan
战队名称：	Nom du clan :
战队标签：	Tag du clan :
正在等待服务器对先前请求的响应。	En attente de réponse du serveur pour la requête précédente.
你的金币不足。	Vous n’avez pas assez d’or.
无效标签。	Tag non valide.
无效的名称。	Nom invalide.
有效的名称长度应该在%minimum%到%maximum%个字符之间并可以包含文字、数字、空格、撇号和逗号。	Les noms valides doivent être composés de %minimum% à %maximum% caractères et peuvent contenir des lettres, des chiffres, des espaces uniques entre les mots, des apostrophes et des virgules.
私人	Privé
公共	Public
[PH] Group Category Tooltip, what this is for and usage examples.	[PH] Group Category Tooltip, what this is for and usage examples.
创建讨论组	Création de club
重命名讨论组	Renommer le club
类别:	Catégorie :
组名称:	Nom du groupe :
电脑难度	EMPLACEMENT D’IA
震荡	Concussion
按下菜单按钮并选择帮助<n/>- 教学模式<n/>- 操作<n/>- 游戏机制<n/>- 地图来前往帮助专区	Vous pouvez consulter la section Aide en cliquant sur le bouton Menu et en sélectionnant Aide<n/>- Didacticiel<n/>- Contrôles<n/>- Mécanismes de jeu<n/>- Cartes
需要更多信息？	PLUS D’INFORMATION ?
进行游戏、提高等级并获得奖励！	Jouez des parties, gagnez des niveaux et obtenez des récompenses !
%userName%的游戏进度	%userName% : progression
欢迎！	BIENVENUE !
音乐连续播放	Musique en continu
控制	Contrôle
右键点击将该编组设置为当前所有选中的单位。<n/>Alt+右键点击将该编组设置为所有当前选中的单位，并将它们从你的其它编组中移除。此外，还会将它们从你盟友的编组和当前选中的单位组中移除。	Faites un clic droit pour ajouter toutes les unités actuellement sélectionnées à ce groupe de contrôle.<n/>Grâce à Alt + Clic droit, assignez ce groupe de contrôle à toutes les unités actuellement sélectionnées et retirez-les de tous vos autres groupes de contrôle, ainsi que des sélections et groupes de contrôle de vos alliés.
左键点击选中该编组中的所有单位。<n/>右键点击将该编组设置为所有当前选中的单位。<n/>Alt+右键点击将该编组设置为所有当前选中的单位，并将它们从你的其它编组中移除。此外，还会将它们从你盟友的编组和当前选中的单位组中移除。	Cliquez pour sélectionner toutes les unités de ce groupe de contrôle.<n/>Faites un clic droit pour assigner à ce groupe de contrôle toutes les unités actuellement sélectionnées.<n/>Grâce à Alt + Clic droit, assignez ce groupe de contrôle à toutes les unités actuellement sélectionnées et retirez-les de tous vos autres groupes de contrôle, ainsi que des sélections et groupes de contrôle de vos alliés.
左键点击选中改编组中的所有单位。	Cliquez pour sélectionner toutes les unités de ce groupe de contrôle.
无法分配	Non assignable
不可点击	Non cliquables
编组：	Groupes de contrôle :
左键单击可选择此单位控制编队中的所有单位。	Effectuez un clic gauche pour sélectionner toutes les unités dans ce groupe de contrôle d’unités.
队标：	Tag :
队标长度为2到6个字符，并且可以由文字和数字组成。	Les tags font de 2 à 6 caractères et peuvent contenir des chiffres ou des lettres.
语言：	Langue :
选择这个讨论组的主要聊天语言。您可以随时更改该项设置。	Sélectionnez la langue principale pour ce club. Vous pouvez changer ce réglage à n'importe quel moment.
类别：	Catégorie :
类别帮助其他玩家在浏览时找到您的讨论组。您可以随时修改该项设置。	Les catégories aident les autres à retrouver vos clubs dans les listes. Vous pouvez modifier ce paramètre n'importe quand.
讨论组没有成员上限，玩家可以同时加入多个讨论组。<n/><n/>战队拥有成员上限，玩家同时只能加入一个战队。	Les clubs n'ont pas de limite au nombre de membres et les joueurs peuvent faire partie de plusieurs clubs.<n/><n/>Les clans ont une limite au nombre de membres et les joueurs ne peuvent rallier qu'un seul clan.
讨论组或战队：	Club ou clan :
私人讨论组需要邀请才能加入，只有成员才能使用特定功能。您可以随时修改该项设置。	Les clubs privés sont accessibles seulement sur invitation. Seuls les membres ont accès à certaines fonctions. Vous pouvez modifier ce paramètre n'importe quand.
开放程度：	Confidentialité :
创建游戏	Créer une partie
创建游戏(<h/>C)	<h/>Créer une partie
创建快捷键方案	Créer un profil
创建者：	Créé par :
用户及技术服务经理	MANAGERS DES SERVICES TECHNIQUES ET COMPTES
用户及技术支持经理	MANAGERS DE L’ASSISTANCE TECHNIQUE ET COMPTES
其他设计师	IMAGES ADDITIONNELLES
其他美术设计	CONCEPTION GRAPHIQUE ADDITIONNELLE
其他角色分配助理	ASSISTANCE CASTING ADDITIONNELLE
其他角色设计	PERSONNAGES ADDITIONNELS
其他设计人员	CONCEPTION ADDITIONNELLE
其他工程助理	ASSISTANCE TECHNIQUE ADDITIONNELLE
其他吉他/FX	GUITARE/FX ADDITIONNELS
其他本地化人员	LOCALISATION ADDITIONNELLE
其他管弦乐	ORCHESTRATION ADDITIONNELLE
其他制作人员	PRODUCTION ADDITIONNELLE
其他程序设计	PROGRAMMATION ADDITIONNELLE
其他录音服务	SERVICES D’ENREGISTREMENT ADDITIONNELS
其他音效制作人员	CONCEPTION SONORE ADDITIONNELLE
其他配音设计/编辑	CONCEPTION/ÉDITION ADDITIONNELLES DES VOIX-OFF
其他配音指导人员	DIRECTION ADDITIONNELLE DES VOIX-OFF
其他配音人员	VOIX ADDITIONNELLES
Ike Amadi, David Andriole, Robin Atkin-Downes, Dee Bradley Baker, Guerin Barry, Adam Bitterman, Julianne Buescher, Jonathan Cook, Grey DeLisle, Danilo Di Julio, Paul Eiding, Dave Fouquette, Dave Fennoy, Nika Futterman, John Giosa, Ali Hillis, Ed Hopkins, Neil Kaplan, David Lodge, Rachael MacFarlane, Chris Metzen, Jim Miller, Lani Minella, Mark Mintz, Julie Nathanson, Liam O'Brien, Khary Payton, Pat Pinney, Jamieson Price, Gerald C. Rivers, Matt Samia, Patrick Seitz, Keith Silverstein, Isaac Singleton, Debra Skelton, Andre Sogliuzzo, Glenn Stafford, Doug Stone, Fred Tatasciore, Robert Torti, Armando Valdes-Kennedy, Rick Wasserman	Marc Alfos, Pierre Amale, Patrick Bethune, Laura Blanc, Damien Boisseau, Bernard Bollet, Patrick Borg, Paul Borne, Luc Boulad, Bruno Choel, Franz Confiac, Pierre-Alain De Garrigues, Véronique Desmadryl, Marie Diot, Pierre Dourlens, Benoit Du Pac, Cédric Dumond, Philippe Dumond, Pascal Germain, Stéphanie Hedin, François Jaubert, David Kruger, Sylvain Lemarié, Martial Le Minoux, Malvina Lesser, Gilbert Lévy, Patrice Melennec, Thierry Mercier, Cyrille Monge, Marie Nonnenmacher, Christophe Peyroux, Laura Préjean, Sophie Riffont, Philippe Roullier, François Siener, Antoine Tomé, Marie Zidi.
其他反馈人员	WRANGLING ADDITIONNEL
行政	ADMINISTRATION
中音	ALTOS
艺术总监	DIRECTEUR ARTISTIQUE
美术经理	MANAGERS ARTISTIQUES
助理工程师	INGÉNIEURS ASSISTANTS
质量监控分析师助理组长	RESPONSABLE ASSISTANT ANALYSTES AQ
质量监控助理经理	MANAGERS ASSISTANTS AQ
助理团队组长	RESPONSABLES D’ÉQUIPE ASSISTANTS
Julianne Buescher	Véronique Desmadryl
Ajendarro Ybarra	Ajendarro Ybarra
Ricardo Molina	Luc Boulad
Annabelle	Annabelle
阿克图尔斯·蒙斯克	Arcturus Mengsk
James Harper	François Jaubert
艾蕊尔·汉森	Ariel Hanson
Ali Hillis	Marie Diot
低音提琴/CHAPMAN STICK	BASSE/CHAPMAN STICK
低音	BASSES
低音管	BASSONS
巴西葡萄牙语及拉丁美西班牙语（Babel Media, Ltd.）	ESPAGNOL LATINO-AMÉRICAIN & PORTUGAIS BRÉSILIEN (Babel Media, Ltd.)
巴西葡萄牙语（Babel Media, Ltd.）	PORTUGAIS BRÉSILIEN (Babel Media, Ltd.)
商务拓展	DÉVELOPPEMENT COMMERCIAL
商务拓展&授权	DÉVELOPPEMENT COMMERCIAL & GESTION DES LICENCES
商业情报	STRATÉGIE DE L’INFORMATION
布拉利克	Bralik
卡斯提尔西班牙语	ESPAGNOL CASTILLAN
演员指导	DIRECTEUR DE CASTING
大提琴	VIOLONCELLES
首席运营官	DIRECTEUR DES OPÉRATIONS
中国客户服务及运营	SERVICE CLIENT ET OPÉRATION CHINE
中国客户支持	ASSISTANCE CLIENTÈLE CHINE
中国团队	ÉQUIPE CHINE
合唱录音	CHŒURS ENREGISTRÉS À
影片艺术总监	DIRECTEURS CONCEPTION GRAPHIQUE DES CINÉMATIQUES
影片设计师	CONCEPTION GRAPHIQUE DES CINÉMATIQUES
影片音频	AUDIO DES CINÉMATIQUES
影片	CINÉMATIQUES
传播协调	COORDINATEUR COMMUNICATIONS
社区及电子竞技	COMMUNAUTÉ ET ESPORT
兼容性	COMPATIBILITÉ
作曲	COMPOSITEURS
内容研究管理员	ADMINISTRATEURS RECHERCHE DE CONTENU
内容开发主管	SUPERVISEUR RECHERCHE DE CONTENU
特约制作	ENGAGÉ PAR
协调	COORDINATEURS
企业应用	APPLICATIONS ENTREPRISE
创意开发	DÉVELOPPEMENT CRÉATIF
创意总监	DIRECTEUR CRÉATIF
客户服务项目组长	RESPONSABLES PROJET AC
客户服务项目团队分析师	ANALYSTES DE L’ÉQUIPE PROJET AC
客户服务项目团队经理	MANAGER DE L’ÉQUIPE PROJET AC
客户服务项目团队代表	AGENTS DE L’ÉQUIPE PROJET AC
客户服务工具团队经理	MANAGER DE L’ÉQUIPE OUTILS AC
客户服务工具团队代表	AGENTS DE L’ÉQUIPE OUTILS AC
策展及素材服务主管	RESPONSABLE SERVICES CONSERVATION ET RESSOURCES
策展助理	ASSISTANTS CONSERVATION
客户关怀及忠诚度经理	MANAGER FIDÉLISATION ET SATISFACTION CLIENTÈLE
客户服务经理	MANAGER SERVICE CLIENTÈLE
客户服务协调	COORDINATEUR ASSISTANCE CLIENTÈLE
客户支持组经理	MANAGERS DU GROUPE ASSISTANCE CLIENTÈLE
客户支持代表	AGENTS ASSISTANCE CLIENTÈLE
客户服务资深工作人员	SENIORS ASSISTANCE CLIENTÈLE
客户支持团队经理	MANAGER DE L’ÉQUIPE SERVICE CLIENTÈLE
联邦副官	Aide de camp confédéré
库伯	Cooper
副总法律顾问	CONSEILLER JURIDIQUE ADJOINT
设计总监	DIRECTEUR DE LA CONCEPTION
对话录音	ENREGISTREMENT DES DIALOGUES
数字档案保管员	ARCHIVAGE NUMÉRIQUE
总监 — 奥斯丁	DIRECTEUR - AUSTIN
中国商务运营总监	DIRECTEUR, OPÉRATIONS COMMERCIALES, CHINE
全球活动总监	DIRECTEUR, ÉVÈNEMENTS MONDIAUX
全球招聘与人员配置总监	DIRECTEUR, ÉQUIPES MONDIALES ET RECRUTEMENT
拉丁美洲运营总监	DIRECTEUR, OPÉRATIONS AMÉRIQUE LATINE
音频指导	DIRECTION AUDIO
商务拓展及授权总监	DIRECTEUR DÉVELOPPEMENT COMMERCIAL ET GESTION DES LICENCES
传播与社区总监	DIRECTEUR DES COMMUNICATIONS ET DE LA COMMUNAUTÉ
特别项目总监	DIRECTEUR DES PROJETS SPÉCIAUX
北亚区域运营总监	DIRECTEUR, OPÉRATIONS RÉGIONALES, ASIE DU NORD
DVD/视频制作	PRODUCTION DVD ET VIDÉO
多尼·沃米里安	Donny Vermillion
纳鲁德博士	Dr Narud
编辑助理	ASSISTANT ÉDITORIAL
欧洲地区客户支持	ASSISTANCE CLIENTÈLE EUROPE
欧洲区域计划及支持服务团队	ÉQUIPE DES SERVICES RÉGIONAUX DE STRATÉGIE ET D’ASSISTANCE EUROPE
欧洲团队	ÉQUIPE EUROPE
活动专员	SPÉCIALISTE ÉVÈNEMENTS
执行制作人	PRODUCTEUR EXÉCUTIF
执行管理	DIRECTEURS
厄尔	Earl
Scott Menville	Benoit Du Pac
执行官赛兰迪丝	Exécutrice Sélendis
设备人员	INSTALLATIONS
提琴	VIOLON
财务	FINANCES
长笛	FLÛTES
制音师	BRUITEUR
配音混音制作	TECHNICIEN BRUITAGE
法语	FRANÇAIS
<s val="CreditsSmallHeading">游戏设计</s></n>暴雪娱乐	<s val="CreditsSmallHeading">CONCEPTION DU JEU</s></n>BLIZZARD ENTERTAINMENT
游戏设计师	CONCEPTEURS DU JEU
游戏设计主管	RESPONSABLES DE LA CONCEPTION DU JEU
德语	ALLEMAND
全球社区拓展	DÉVELOPPEMENT DE LA COMMUNAUTÉ MONDIALE
全球客户支持	ASSISTANCE CLIENTÈLE MONDIALE
全球总监	DIRECTEUR MONDIAL
全球电子竞技	ESPORT MONDIAL
全球信息技术经理	MANAGERS MONDIAUX DE L’INFORMATIQUE
全球业务经理	MANAGER MONDIAL
全球营销	MARKETING MONDIAL
全球计划及支持服务总监	DIRECTEUR DES SERVICES DE PLANIFICATION ET D’ASSISTANCE MONDIAUX
全球计划及支持服务项目经理	GESTIONNAIRES DE PROJET DES SERVICES DE PLANIFICATION ET D’ASSISTANCE MONDIAUX
全球计划及支持服务团队	ÉQUIPE DES SERVICES DE PLANIFICATION ET D’ASSISTANCE MONDIAUX
全球计划及支持服务团队代表	AGENTS DES SERVICES DE PLANIFICATION ET D’ASSISTANCE MONDIAUX
全球政策顾问经理	MANAGER DU CONSEIL DE LA POLITIQUE MONDIALE
全球《星际争霸II》支持项目经理	GESTIONNAIRE DE PROJET DE L’ASSISTANCE MONDIALE POUR STARCRAFT II
全球劳动力及报表	RAPPORTS ET EFFECTIFS MONDIAUX
全球劳动力及报表经理	MANAGER RAPPORTS ET EFFECTIFS MONDIAUX
吉他/杜布罗	GUITARE/DOBRO
吉他	GUITARES
加布里埃尔·托什	Gabriel Tosh
Dave Fennoy	Paul Borne
沃菲尔德将军	Général Warfield
格莱文·希尔	Graven Hill
John Giosa	David Kruger
口琴	HARMONICA
竖琴	HARPE
产品史学家	HISTORIENS
号	CORS
人力资源	RESSOURCES HUMAINES
<s val="CreditsSmallHeading_HotS">游戏设计</s></n>暴雪娱乐	<s val="CreditsSmallHeading_HotS">CONCEPTION DU JEU</s></n>BLIZZARD ENTERTAINMENT
<s val="CreditsSmallHeading_HotS">星际争霸2</s></n>虫群之心	<s val="CreditsSmallHeading_HotS">STARCRAFT II</s></n>HEART OF THE SWARM
信息技术管理	ADMINISTRATION DE L’INFORMATIQUE
信息技术工程师	INGÉNIERIE INFORMATIQUE
信息技术经理	MANAGERS DE L’INFORMATIQUE
信息技术采购	ACHATS INFORMATIQUE
信息技术	INFORMATIQUE
游戏内影片艺术总监	DIRECTEUR ARTISTIQUE DES CINÉMATIQUES EN JEU
游戏内影片设计师	CONCEPTEURS GRAPHIQUES DES CINÉMATIQUES EN JEU
游戏内影片部门主管	RESPONSABLE DU DÉPARTEMENT DES CINÉMATIQUES EN JEU
游戏内影片制作部门主管	SUPERVISEUR DU DÉPARTEMENT DES CINÉMATIQUES EN JEU
游戏内影片项目制作人	PRODUCTEUR DE PROJET DES CINÉMATIQUES EN JEU
游戏内影片高级部门主管	SUPERVISEUR SENIOR DU DÉPARTEMENT DES CINÉMATIQUES EN JEU
游戏内支持经理	MANAGER DE L’ASSISTANCE EN JEU
内部事务资深人员	SENIORS DES AFFAIRES INTERNES
内部事务团队经理	MANAGER DE L’ÉQUIPE DES AFFAIRES INTERNES
内部传播	COMMUNICATIONS INTERNES
国际社区及电子竞技经理	MANAGERS COMMUNAUTÉ & ESPORT INTERNATIONAUX
国际运营	OPÉRATIONS INTERNATIONALES
意大利语（I.S.H. Srl）	ITALIEN (I.S.H. Srl)
杰西卡·豪尔	Jessica Hall
KEYS	CLAVIERS
韩国客户支持	ASSISTANCE CLIENTÈLE CORÉE
韩语	CORÉEN
韩国区域计划及支持服务团队	ÉQUIPE DES SERVICES RÉGIONAUX DE STRATÉGIE ET D’ASSISTANCE CORÉE
韩语团队	ÉQUIPE CORÉE
Jason Marsden	Cédric Dumond
卡拉斯	Karass
Guerin Barry	Francois Siener
凯特·洛克维尔	Kate Lockwell
拉丁美西班牙语	ESPAGNOL AMÉRIQUE LATINE
拉丁美西班牙语（Babel Media, Ltd.）	ESPAGNOL AMÉRIQUE LATINE (Babel Media, Ltd.)
首席角色设计师	PERSONNAGES PRINCIPAUX
首席质量监控分析师	RESPONSABLE DES ANALYSTES AQ
首席可靠性工程师	INGÉNIEUR EN CHEF FIABILITÉ
首席职务	RESPONSABLES
首席音效师	RESPONSABLE DE LA CONCEPTION DU SON
首席技术设计师	RESPONSABLE DE LA CONCEPTION GRAPHIQUE TECHNIQUE
首席网页工程师	RESPONSABLE INGÉNIERIE WEB
首席网页程序员	RESPONSABLE DE LA PROGRAMMATION WEB
培训&组织开发	FORMATION & DÉVELOPPEMENT ORGANISATIONNEL
法务	JURIDIQUE
法务团队	SERVICE JURIDIQUE
出版物管理员	BIBLIOTHÉCAIRE
授权	GESTION DES LICENCES
现场执行组长	RESPONSABLE DES OPÉRATIONS EN DIRECT
现场部分及管弦乐制作	SESSIONS EN DIRECT ET ORCHESTRATION MISES EN SCÈNE PAR
本地化	LOCALISATION
本地化工程师	INGÉNIEURS EN LOCALISATION
本地化质量监控分析师	ANALYSTES AQ LOCALISATION
里·基诺	Lee Kénau
<s val="CreditsSmallHeading_LotV">游戏设计</s></n>暴雪娱乐	<s val="CreditsSmallHeading_LotV">CONCEPTION DU JEU</s></n>BLIZZARD ENTERTAINMENT
<s val="CreditsSmallHeading_LotV">星际争霸2</s></n>虚空之遗	<s val="CreditsSmallHeading_LotV">STARCRAFT II</s></n>LEGACY OF THE VOID
麦金托什机程序开发	PROGRAMMATION MACINTOSH
欧洲地区总经理	DIRECTEUR GÉNÉRAL, EUROPE
大中国区总经理	DIRECTEUR GÉNÉRAL, GRANDE CHINE
北亚区域总经理	DIRECTEUR GÉNÉRAL, ASIE DU NORD
东南亚地区总经理	DIRECTEUR GÉNÉRAL, ASIE DU SUD-EST
台湾地区总经理	DIRECTEUR GÉNÉRAL, TAÏWAN
营销	MARKETING
营销创意服务	SERVICES CRÉATIFS MARKETING
混音	MIXAGE
移动平台	TÉLÉPHONE PORTABLE
音乐仿制员	COPISTES MUSIQUE
乐曲管理员	BIBLIOTHÉCAIRE MUSIQUE
马库斯·凯德	Marcus Cade
Keith Silverstein	Luc Boulad
马特·霍纳	Matt Horner
迈克·利博缔	Mike Liberty
Kath Soucie	Marie Zidi
网络运维	OPÉRATIONS RÉSEAU
网络运维管理	ADMINISTRATION DES OPÉRATIONS RÉSEAU
网络运维工程师	INGÉNIERIE OPÉRATIONS RÉSEAU
网络运维经理	MANAGERS DES OPÉRATIONS RÉSEAU
北美/南美客户服务	ASSISTANCE CLIENTÈLE AMÉRIQUE DU NORD/SUD
南美/北美区域计划及支持服务团队	ÉQUIPE DES SERVICES RÉGIONAUX DE STRATÉGIE ET D’ASSISTANCE AMÉRIQUE DU NORD/DU SUD
<s val="CreditsSmallHeading_Nova">游戏设计</s></n>暴雪娱乐	<s val="CreditsSmallHeading_Nova">CONCEPTION DU JEU</s></n>BLIZZARD ENTERTAINMENT
<s val="CreditsSmallHeading_Nova">星际争霸2</s></n>诺娃隐秘行动	<s val="CreditsSmallHeading_Nova">STARCRAFT II</s></n>NOVA : OPÉRATIONS SECRÈTES
献给所有的人类、星灵与异虫——这是一段美妙的旅程。</s></n></s></n>《星际争霸II》一直以来都是我们心甘情愿为之付出的一份工作，是你们恒久不变的忠诚与支持激励着我们。</s></n>感谢你们让我们冲向一个又一个新的高度，谢谢你们在这样一段令人难忘的史诗旅程中与我们一路相伴。</s></n></s></n>“Glhf”，我们战场上见。</s></n></s></n>《星际争霸II》开发团队	À vous, Terrans, Protoss et Zergs : quelle aventure extraordinaire !</s></n></s></n>StarCraft II fut le fruit d’un travail passionné, motivé par votre fidélité et votre soutien indéfectible, vous, nos fans, notre communauté.</s></n>Merci de nous avoir poussés à nous surpasser. Merci d’avoir été à nos côtés lors de ce périple épique et mémorable.</s></n></s></n>Bonne chance, amusez-vous et à bientôt sur le champ de bataille.</s></n></s></n>L’équipe de développement de StarCraft II
双簧管	HAUTBOIS
线上销售	VENTES EN LIGNE
<s val="CreditsSmallHeading">星际争霸2</s></n>自由之翼	<s val="CreditsSmallHeading">STARCRAFT II</s></n>WINGS OF LIBERTY
运营	OPÉRATIONS
管弦乐	ORCHESTRATION
Adam Bitterman	Cyrille Monge
付费调查代表	AGENTS DE VÉRIFICATION DE LA FACTURATION
打击乐器	PERCUSSIONS
钢琴	PIANO
钢琴/B3	PIANO/B3
平台运维总监	DIRECTEUR OPÉRATIONS PLATE-FORME
平台服务	SERVICE PLATE-FORME
平台技术	TECHNOLOGIE PLATE-FORME
波兰语（Porting House Sp z o.o.）	POLONAIS (Porting House Sp z o.o.)
港澳台公共关系及社区经理	MANAGER DES RELATIONS PUBLIQUES & DE LA COMMUNAUTÉ POUR TAÏWAN, HONG KONG ET MACAO
暴雪娱乐总裁兼首席执行官	PRÉSIDENT DIRECTEUR GÉNÉRAL DE BLIZZARD ENTERTAINMENT
流程及报表分析师	ANALYSTE PROCESSUS & RAPPORTS
流程优化经理	MANAGER AMÉLIORATION DES PROCESSUS
制作人/鼓	PRODUCTION/PERCUSSIONS
产品开发	DÉVELOPPEMENT PRODUIT
产品开发组长	RESPONSABLE DÉVELOPPEMENT PRODUIT
制作助理	ASSISTANTS DE PRODUCTION
制作人员组长	RESPONSABLE DE LA PRODUCTION
制作主管	SUPERVISEUR DE LA PRODUCTION
制作团队	ÉQUIPE DE PRODUCTION
首席产品制作	RESPONSABLE PRODUIT
程序员	PROGRAMMEURS
程序设计组长	RESPONSABLES DE LA PROGRAMMATION
全球机构项目经理	GESTIONNAIRE DE PROJET, INSTALLATIONS MONDIALES
项目制作人	PRODUCTEUR PROJET
Pro Tools操作员/编辑	ÉDITEUR/OPÉRATEUR PROTOOLS
公共关系	RELATIONS PUBLIQUES
发行开发人员	DÉVELOPPEMENT ÉDITION
发行主管	ÉDITEUR EN CHEF
质量监控分析师	ANALYSTES AQ
质量监控内容专员	SPÉCIALISTES AQ CONTENU
质量监控经理	MANAGER AQ
质量监控工具分析师	ANALYSTES OUTILS AQ
质量监控	ASSURANCE QUALITÉ
录音师	ENREGISTREMENT
招聘	RECRUTEMENT
区域音频录制工作室	STUDIOS D’ENREGISTREMENT AUDIO RÉGIONAUX
区域营销	MARKETING RÉGIONAL
区域计划及支持服务经理	MANAGER DES SERVICES RÉGIONAUX DE STRATÉGIE ET D’ASSISTANCE
区域计划及支持服务项目经理	GESTIONNAIRES DE PROJET DES SERVICES RÉGIONAUX DE STRATÉGIE ET D’ASSISTANCE
区域计划及支付服务团队代表	AGENTS DES SERVICES RÉGIONAUX DE STRATÉGIE ET D’ASSISTANCE
区域营销副总裁	VICE-PRÉSIDENT DU MARKETING RÉGIONAL
研究员	RECHERCHE
俄语	RUSSE
配乐表演	BANDE ORIGINALE INTERPRÉTÉE PAR
配乐录音	BANDE ORIGINALE ENREGISTRÉE À
录音混音制作	INGÉNIEUR DU SON
副总工程师	ASSISTANTS INGÉNIEURS
高级行政助理	ASSISTANT ADMINISTRATIF SENIOR
高级部门主管	SUPERVISEURS DÉPARTEMENT SENIOR
高级总监	DIRECTEUR SENIOR
全球社区及电子竞技高级总监	DIRECTEUR SENIOR, COMMUNAUTÉ MONDIALE ET ESPORT
全球市场拓展高级总监	DIRECTEUR SENIOR, DÉVELOPPEMENT DU MARCHÉ MONDIAL
传播及社区高级总监	DIRECTEUR SENIOR DE LA COMMUNICATION ET DE LA COMMUNAUTÉ
高级编辑经理	MANAGER ÉDITORIAL SENIOR
高级全球总监	DIRECTEUR SENIOR MONDIAL
全球培训及拓展高级经理	MANAGER SENIOR FORMATION ET DÉVELOPPEMENT MONDIAUX
高级产品史学家	HISTORIENNE SENIOR
高级主管	RESPONSABLE SENIOR
全球网络运维高级经理	MANAGER SENIOR, OPÉRATIONS RÉSEAU MONDIALES
高级公关经理	MANAGER SENIOR DES RELATIONS PUBLIQUES
区域计划及支持服务高级经理	MANAGER SENIOR DES SERVICES RÉGIONAUX DE STRATÉGIE ET D’ASSISTANCE
尔湾市客户服务高级站点管理员	RESPONSABLE SENIOR DE SITE, SERVICES À LA CLIENTÈLE - IRVINE
全球营销高级副总裁	VICE-PRÉSIDENT SENIOR DU MARKETING MONDIAL
服务质量协调员	COORDINATEURS NIVEAU DE SERVICE
简体中文	CHINOIS SIMPLIFIÉ
个人表演	VOIX SOLOS
女高音	SOPRANOS
音效设计	CONCEPTION SONORE
音效制作主管	RESPONSABLE SON
音效制作人	PRODUCTION SONORE
专员	SPÉCIALISTES
特别项目	PROJETS SPÉCIAUX
全球组织开发及培训高级经理	MANAGER SENIOR, FORMATION ET DÉVELOPPEMENT ORGANISATIONNEL MONDIAUX
舞台监督	RÉGISSEUR
《星际争霸》人类乐队	GROUPE TERRAN DE STARCRAFT
情节设计总监	DIRECTEUR SCÉNARISTIQUE
开发反馈组成员	MEMBRES DU GROUPE DE TRAVAIL
开发反馈组	GROUPES DE TRAVAIL
工作室技术工程师	INGÉNIEURS TECHNIQUE STUDIO
工作室技术工程师主管	SUPERVISEUR DES INGÉNIEURS TECHNIQUE STUDIO
支持信息代表	AGENTS INFORMATION ASSISTANCE
支持信息团队经理	MANAGER D’ÉQUIPE INFORMATION ASSISTANCE
莎拉·凯瑞甘/刀锋女王	Sarah Kerrigan / Reine des Lames
台湾客户支持	ASSISTANCE CLIENTÈLE TAÏWAN
技术质量监控	ASSURANCE QUALITÉ TECHNIQUE
技术员	TECHNICIEN
男高音	TÉNORS
人类乐队录音	GROUPE TERRAN ENREGISTRÉ À
鸣谢	REMERCIEMENTS
定音鼓	TIMBALES
研发团队工具开发	ÉQUIPE R&D OUTILS
展会及活动经理	MANAGERS DES SALONS ET ÉVÈNEMENTS
繁体中文	CHINOIS TRADITIONNEL
长号	TROMBONES
小号	TROMPETTES
大号	TUBA
执行官塔达林	Exécuteur Tal’darim
用户体验	EXPÉRIENCE UTILISATEUR
副总裁&总顾问	VICE-PRÉSIDENT ET RESPONSABLE JURIDIQUE
国际运营副总裁兼执行总经理	VICE-PRÉSIDENT ET DIRECTEUR GÉNÉRAL EXÉCUTIF, OPÉRATIONS INTERNATIONALES
全球客户服务副总裁	VICE-PRÉSIDENT - ASSISTANCE CLIENTÈLE MONDIALE
影片及媒体副总裁	VICE-PRÉSIDENT CINÉMATIQUES ET MÉDIA
全球财务副总裁	VICE-PRÉSIDENT DES FINANCES MONDIALES
全球人力资源副总裁	VICE-PRÉSIDENT DES RESSOURCES HUMAINES MONDIALES
全球公共关系副总裁	VICE-PRÉSIDENT DES RELATIONS PUBLIQUES MONDIALES
全球销售副总裁	VICE-PRÉSIDENT DES VENTES MONDIALES
在线技术副总裁	VICE-PRÉSIDENT DES TECHNOLOGIES EN LIGNE
中提琴	VIOLONS ALTOS
小提琴	VIOLONS
配音设计/编辑	CONCEPTION/ÉDITION DES VOIX-OFF
配音指导	DIRECTEUR VOIX-OFF
瓦伦里安·蒙斯克	Valérian Mengsk
网页及移动平台服务	SERVICES WEB & MOBILE
网页设计师	CONCEPTEURS WEB
网页编辑	ÉDITEURS DE SITE INTERNET
网页调查	RECHERCHE WEB
网页团队经理	MANAGER ÉQUIPE WEB
鸣谢所有暴雪开发人员家属	NOUS AIMERIONS REMERCIER TOUT PARTICULIÈREMENT NOS FAMILLES.
劳动力分析师	ANALYSTE EFFECTIFS
