Amorphous Armorcloud	Аморфное бронеоблако
Mission:	Задание:
Mod:	Модификация:
Models:	Модели
1 month ago	1 месяц назад
%d months ago	%d мес. назад
Mouse	Мышь
Enable Mouse Sensitivity	Настройка чувствительности мыши
Enable Mouse Scroll	Прокрутка мышью
Mouse Scroll Speed:	Скорость прокрутки мышью
Mouse Sensitivity:	Чувствительность мыши
Enable Mouse Wheel Zoom	Масштабирование колесиком мыши
Move & Turn	Движение и поворот
Movies:	Ролики
%VAL ms	%VAL мс
Teams Even	Команды равны
Favored	Преимущество
Slightly Favored	Незначительное преимущество
<h/>Multiplayer	Сетевая иг<h/>ра
Music Disabled	Музыка отключена
Music Enabled	Музыка включена
Music:	Музыка
Mute	Без звука
New Options	Новые настройки
New Password:	Новый пароль:
SKIP TUTORIAL?	ПРОПУСТИТЬ ОБУЧЕНИЕ?
SKIP TRAINING?	ПРОПУСТИТЬ?
CONGRATULATIONS!	ПОЗДРАВЛЯЕМ!
SELECTING YOUR HERO	ВЫБОР ГЕРОЯ
STEPPIN' UP!	НОВЫЕ ВОЗМОЖНОСТИ
PRACTICE TIME!	ВРЕМЯ УЧИТЬСЯ!
PLAY TUTORIAL	ОБУЧЕНИЕ
SKIP TUTORIAL	ПРОПУСТИТЬ ОБУЧЕНИЕ
PLAY TRAINING	ТРЕНИРОВКА
SKIP TRAINING	ПРОПУСТИТЬ
TALENT TRAINING?	УЗНАТЬ О ТАЛАНТАХ
GO BACK	НАЗАД
(New)	(Новый)
<h/>News	Ново<h/>сти
No Messages To Display	Нет сообщений.
No Valid Resolutions Found	Нет поддерживаемых разрешений
No Tips To Display	Нет подсказок.
No Tutorials To Display	Нет обучающих роликов.
The client you are using cannot be used in the region you have chosen.	Ваше текущая версия клиента не может использоваться в выбранном регионе.
Noise Sensitivity:	Чувствительность шума:
Normal Maps:	Обычные карты:
Blocked Lists	Список заблокированных
Objectives	Задачи
Everyone	Все
Player Camera	Камера игрока
Commentator	Комментатор
Observer Interface	Интерфейс зрителя
Replay Interface	Интерфейс повторов
<c val="ffffff">Display Game Tooltips:</c><n/>Enables the display of tooltips while observing a game.<n/><n/>If Game Tooltips are disabled, holding down<k val="GameTooltipsOn"/> will temporarily enable them.	<c val="ffffff">Показывать подсказки</c><n/>В режиме зрителя будут отображаться всплывающие подсказки.<n/><n/>Если подсказки отключены, их можно временно разрешить, зажав клавишу <k val="GameTooltipsOn"/>.
<c val="ffffff">Observer Interface:</c><n/>Determines which custom interface file will be loaded when entering a game as an observer.	<c val="ffffff">Интерфейс зрителя</c><n/>Определяет, какой пользовательский файл интерфейса будет загружаться в режиме зрителя.
<c val="ffffff">Replay Interface:</c><n/>Determines which custom interface file will be loaded when watching a replay.	<c val="ffffff">Интерфейс повторов</c><n/>Определяет, какой пользовательский файл интерфейса будет загружаться при просмотре повтора.
<c val="ffffff">Display Replay Time Information:</c><n/>Will toggle timeline information for Replays in both the Replay screen and in-game panel.	<c val="ffffff">Временная шкала повтора</c><n/>Отображение временной шкалы для повторов как на экране повторов, так и на панели управления в игре.
Hit Point Bars	Индикаторы здоровья
View Perspective	Обзор
VISION	ПОЛЕ ЗРЕНИЯ
Observer and Replay	Режим зрителя и повторы
Disabled in offline mode	Недоступно вне сети
<h/>OK	<h/>OK
Old Password:	Старый пароль:
OPTIONS	НАСТРОЙКИ
Some of your options require a game restart to take effect. Would you like to restart now?	Некоторые настройки вступят в силу только после перезапуска игры. Перезапустить игру сейчас?
Your options have been saved, but some changes will not go into effect until you restart the game.	Настройки изменены, но некоторые из них вступят в силу только после перезапуска игры.
Output	Вывод звука
Output Device:	Устройство вывода
<h/>Overview	<h/>Общие сведения
The file <w>"%fileName%"</w> already exists. Are you sure you want to overwrite it?	Файл с названием <w>"%fileName%"</w> уже существует. Вы уверены, что хотите перезаписать его?
Invite Pending	Приглашение ожидает подтверждения
In Your Party	В вашей группе
%userName% invited you to a party	%userName% приглашает вас в группу.
%suggestedUserName% requests to join the party	%suggestedUserName% желает вступить в вашу группу.
%suggestedUserName% requests to join the party through %senderUserName%	%suggestedUserName% хочет вступить в группу по приглашению игрока %senderUserName%
%senderUserName% suggests %suggestedUserName% to the party	%senderUserName% предлагает вам пригласить в группу игрока %suggestedUserName%.
+%amount%	+%amount%
XP	Опыт
%amount%%	%amount%%
<s val="StandardTooltipHeader">Stimpack currently active</s></n>%bonusXp%% additional experience per game</n>%bonusGold%% additional gold per game</n></n>Time remaining: %duration%	<s val="StandardTooltipHeader">Стимуляторы активны</s></n>+%bonusXp%% к получаемому за матч опыту</n>+%bonusGold%% к получаемому за матч золоту</n></n>Осталось: %duration%
Play with friends and earn more experience! To start a party, click the "Invite" button below.	Играйте вместе со своими друзьями и получайте дополнительный опыт! Чтобы создать группу, нажмите кнопку «Пригласить».
<s val="StandardTooltipHeader">Friend Bonus activated</s></n>%bonus% experience	<s val="StandardTooltipHeader">Бонус за игру с другом</s></n>+%bonus% к опыту
<s val="StandardTooltipHeader">Friend Bonus inactive</s></n>Play in a party with a friend to receive %bonus% more experience</n></n>Note: You must be friends with the players in your party to receive the friend bonus	<s val="StandardTooltipHeader">Бонус за игру с другом неактивен</s></n>Играйте вместе с другом, чтобы получать на %bonus% больше опыта.</n></n>Примечание: вы получите дополнительный опыт, если хотя бы один участник группы является вашим другом
Gold is used to purchase things in the Shop. You can acquire Gold by completing quests, leveling, and by playing matches.	Золото используется для покупок в магазине. Вы можете заработать его, выполняя задания, получая новые уровни и участвуя в матчах.
%roleType% %role%	%role% (%roleType%)
Promote	Повысить
In-Game	В игре
Disconnected	Соединение было прервано
<s val="StandardTooltipHeader">Stimpack inactive</s></n>Stimpacks increase the Gold and XP you gain after a match. Visit the Shop to learn more.	<s val="StandardTooltipHeader">Стимуляторы неактивны</s></n>Стимуляторы увеличивают количество золота и единиц опыта, получаемых после матча. Подробнее о них можно узнать в магазине.
Suggest	ПРЕДЛОЖИТЬ
You're invited to play a custom game	Лидер группы хочет создать свою игру
You're invite to play Fun or Not	Лидер группы хочет создать игру из раздела «Игроки решают»
You're invited to play a %queueName% game	Лидер группы хочет создать матч в режиме «%queueName%».
%readyMembers% / %totalMembers%	%readyMembers% / %totalMembers%
Waiting for party members	Ожидание членов группы
Remaining	Осталось
You're invited to watch a replay	Лидер группы хочет посмотреть повтор
Password:	Пароль:
A new patch is required to connect to this region.<n/><n/>Restart StarCraft II to automatically install the patch or click Cancel to change regions.	Для игры в этом регионе необходимо обновление клиента.<n/><n/>Перезапустите StarCraft II для автоматической установки обновления или нажмите кнопку «Отмена», чтобы сменить регион.
Patch Required	Требуется обновление
Physics:	Физика
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Ping Location<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancel	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Поставить метку<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Отмена
Allows you to ping a location on the minimap or game world that only your allies will see.<n/><k val="MinimapPing"/>	Оставить на мини-карте или на основном экране мигающую отметку, которую будут видеть только ваши союзники. <n/><k val="MinimapPing"/>
Allows you to ping a location on the minimap or game world that only other observers will see.<n/><k val="MinimapPing"/>	Оставить на мини-карте или на основном экране мигающую отметку, которую будут видеть только ваши союзники.<n/><k val="MinimapPing"/>
BONUS OBJECTIVE:	ДОПОЛНИТЕЛЬНАЯ ЗАДАЧА
PLAY	Обзор
STOP	Стоп
MISSION CONTACT	ОБЗОР ЗАДАНИЯ
Current Credits: %credits%	Кредиты: %credits%
Select your difficulty	Уровень сложности
MISSION:	ЗАДАНИЕ
Select a planet.	Выберите планету.
MISSION OBJECTIVE:	ЗАДАЧА
RESEARCH OPPORTUNITIES:	ВОЗМОЖНЫЕ ИССЛЕДОВАНИЯ
AVAILABLE TECHNOLOGY	ДОСТУПНЫЕ ТЕХНОЛОГИИ
MISSION SELECTION	ВЫБОР ЗАДАНИЯ
<h/>TRAVEL	<h/>ПЕРЕЛЕТ
UNIT UNLOCKED	НОВАЯ БОЕВАЯ ЕДИНИЦА
Play Again	Играть снова
<h/>Play	<h/>Играть
Select the slot each player should replace	Выберите замену игрокам
START GAME	НАЧАТЬ МАТЧ
The game will end immediately if started with the current players.	Если начать матч с текущим составом игроков, он моментально закончится.
You cannot take command of this replay while %user% is assigned to a player slot and using a Custom Replay Interface.	Вы не можете принять командование в этом повторе, пока пользователь %user% выступает как игрок и использует пользовательский интерфейс повтора.
You cannot take command of this replay while %user% is assigned to multiple player slots.	Вы не можете принять командование в этом повторе, пока пользователь %user% выступает как игрок и использует пользовательский интерфейс наблюдателя.
You cannot take command of a replay that has ended.	Вы не можете принять командование в повторе, который завершился.
You cannot take command of this replay because %user% does not own this expansion level.	Вы не можете принять командование в этом повторе, потому что дополнение пользователя %user% не соответствует нужному дополнению.
You cannot take command of this replay because %user% does not have the license required to play %race%.	Вы не можете принять командование в этом повторе, потому что лицензия пользователя %user% не позволяет ему играть следующей расой: %race%.
You cannot take command of this replay without assigning player slots.	Вы не можете принять командование в повторе, не назначив игроков.
Only the host can take command of a replay.	Только ведущий может принять командование.
TAKE COMMAND	ПРИНЯТЬ КОМАНДОВАНИЕ
<h/>Play Game	Начать игр<h/>у
<c val="#ColorWhite">All communication blocked</c><n/>Use option icon to unblock communications.	<c val="#ColorWhite">Каналы чата отключены</c><n/>Чтобы включить каналы чата, щелкните по значку настроек.
Mute player chat	Отключить игровой чат
Unmute player chat	Включить игровой чат
Reached Max Player Level	Достигнут максимальный уровень игрока.
%player% is now the host.	Игрок %player% теперь является ведущим.
%player% failed to reconnect.	%player% не может повторно присоединиться к игре.
%player% has lost their connection.	%player% теряет соединение с игрой.
%player% has joined the game!	%player% присоединяется к игре!
%player% has left the game!	%player% покидает матч!
%player% is attempting to rejoin the game.	%player% пытается повторно зайти в игру.
%player% has not rebuilt their base and is being revealed!	%player%: база не восстановлена, расположение строений раскрыто!
%player% rebuilt their base and is no longer being revealed!	%player%: база восстановлена, расположение строений скрыто!
%player% has rejoined the game!	%player% вновь участвует в игре.
Resources gathered by %player% will be split among remaining allies.	Ресурсы, добытые игроком %player%, будут разделены между оставшимися союзниками.
%player% is now responsive.	%player% теперь отвечает на сообщения.
Stalemate detected! The game will end in <d time="180"/> unless any player gathers resources, researches an upgrade, produces a unit, constructs a building, or destroys an enemy building.	Патовая ситуация! Игра автоматически завершится через <d time="180"/>. Чтобы выйти из этой ситуации, нужно начать добывать ресурсы, производить строения или войска, разрабатывать улучшения или уничтожать вражеские строения.
Stalemate ended! The game will now resume normally.	Патовая ситуация разрешена, игра будет возобновлена в обычном порядке.
%player% is unresponsive.	%player% не отвечает на сообщения.
%player% was defeated!	%player% терпит поражение!
%player% no longer has any forces!	%player% теряет все свои войска!
%player% was victorious!	%player% побеждает!
AI - %difficulty%	ИИ - %difficulty%
Gold Earned	Заработанное золото
Total Gold	Всего золота
Placed!	Размещено!
Level Up	Новый уровень
Max Level	Максимальный уровень
Level %level%:	Уровень %level%:
Player Level	Уровень игрока
Rank Points Earned	Получено очков рейтинга
Total Rank Points	Всего очков рейтинга
Rank Up	Новый ранг
Master Skin Unlocked!	Теперь вам доступен особый облик!
Experience Earned	Полученный опыт
Total Experience	Всего единиц опыта
Army Supply	Армия
Units Killed	Уничтожено
Name Panel	Игроки
Worker Supply	Рабочие
Workers Killed	Уничтожено рабочих
Player %val%	Игрок %val%
Politics	Политика
Unit Portraits:	Портреты
Post-Processing:	Постобработка
Pre-Purchase	Предзаказ
Press the desired key	Нажмите нужную клавишу
Hotkey:	Горячая клавиша
Mission Objective:	Задача:
Main Objectives	Основные задачи
Produces:	Производит:
ADD BLIZZARD BALANCE	ПОПОЛНИТЬ КОШЕЛЕК BLIZZARD
* Additional fees may apply, please contact your bank.	* Могут взиматься дополнительные сборы. За дополнительной информацией обратитесь в свой банк.
* Duration of service: Until termination of service	* Срок действия услуги: до окончания оказания услуги
* Duration of service: Until the expiration of the item	* Период предоставления услуги: до истечения срока действия предмета
The transaction will be deducted from your Blizzard balance	Сумма будет списана с вашего кошелька Blizzard.
This purchase will not be usable in the game you're about to play.	Данная покупка будет недоступна в матче, который вы собираетесь начать.
Breaking News	Новости
Refund will not be given in case that any of the bundled products has been used.	При использовании одного из предметов, входящих в комплект, возмещение стоимости комплекта в дальнейшем будет невозможно.
Your purchase is complete!	Покупка завершена!
PAY NOW	ОПЛАТИТЬ
Type "%region%" to confirm	Введите "%region%" для подтверждения.
Purchases will be available in the Blizzard login region listed below as well as this Public Test region. If the region listed does not match the region you play on normally, you will need to change your purchase region in the options menu.<n/>Blizzard login region this product will be purchase for: %region%<n/>Type the region name in the box below to continue the purchase.	Покупки можно будет совершать в указанном ниже домашнем регионе Blizzard, а также в регионе PTR. Если указанный ниже регион не совпадает с вашим домашним регионом, вам необходимо будет выбрать регион для совершения покупок в меню настроек.<n/>Домашний регион Blizzard, в котором будут совершаться покупки: %region%<n/>Для продолжения покупки введите в расположенное ниже поле название региона.
By clicking Pay Now, you agree to the <a name="Nydus" href="termsofsale">[Terms of Sale]</a>, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.	Нажимая кнопку «Оплатить», вы принимаете <a name="Nydus" href="termsofsale">[Условия продажи]</a>, а также соглашаетесь на немедленное выполнение вашего заказа. Вы утрачиваете право отменить заказ, как только начинается его выполнение.
Any applicable value-added tax included	Цена с учетом НДС
<a name="Nydus" href="error/%bpaycode%">[More Help: %bpaycode%]</a>	<a name="Nydus" href="error/%bpaycode%">[Дополнительная информация: %bpaycode%]</a>
BUY WITH GOLD	КУПИТЬ
Gold	Золото
Item	Предмет
VAT included	с учетом НДС
Learn more	Подробнее
There is an issue that may affect your Stimpack usage. Stimpack time is not extended for scheduled downtime.	Внимание! Вы можете не успеть использовать стимуляторы из-за запланированных работ по техническому обслуживанию.
WARNING!	ВНИМАНИЕ!
MANAGE PAYMENT OPTIONS	ПАРАМЕТРЫ ОПЛАТЫ
Payment	Оплата
Price	Цена
The prices in the shop have been updated.  Please try again.	Цены в магазине изменились. Попробуйте еще раз.
Price validation failed.  Please try again.	Ошибка подтверждения цены. Пожалуйста, повторите попытку.
Product information has been updated.  Please try again.	Информация о продукте обновлена. Пожалуйста, повторите попытку.
Already Owned	Уже имеется
Violência	Violência
CLASSIFICAÇÃO	CLASSIFICAÇÃO
CONFIRM	ОК
Purchase Completed	Покупка завершена
Thank you for making a purchase! As a token of our appreciation, we would like to reward you with this Billie the Kid mount.	Благодарим за покупку! В качестве бонуса вы также получаете маленькую Звездочку.
Thank you for making a purchase! As a token of our appreciation, we would like to reward you with this Wonder Billie mount. This mount is only available for a limited time.	Благодарим за покупку! В качестве бонуса вы также получаете чудо-козочку Звездочку. Данный вид транспорта можно получить в течение ограниченного времени.
Purchase has timed out. Please try again later.	Время покупки истекло. Пожалуйста, повторите попытку позже.
Qty	К-во
I accept the <a name="Nydus" href="refundpolicy">[Refund Policy]</a>	Я принимаю <a name="Nydus" href="refundpolicy">[правила возврата средств]</a>.
This item is immediately applied to your account after the purchase and will not be refundable. I accept the <a name="Nydus" href="refundpolicy">[Refund Policy]</a>	Данный предмет начинает использоваться учетной записью непосредственно в момент приобретения и возврату не подлежит. Я принимаю <a name="Nydus" href="refundpolicy">[правила возврата средств]</a>
TRY AGAIN	ПОВТОРИТЬ
Invalid information entered.  Please try again.	Введена неверная информация. Пожалуйста, повторите попытку.
Skins cannot be used in Co-op or Campaign modes.	Облики недоступны в совместном режиме и кампании.
plus any applicable taxes	а также соответствующие налоги
including any applicable taxes	включает соответствующие налоги
By clicking Pay Now you accept the <a name="Nydus" href="termsofsale">[Terms of Sale]</a>	Нажимая кнопку «Оплатить», вы принимаете <a name="Nydus" href="termsofsale">[Условия продажи]</a>.
I accept the <a name="Nydus" href="refundpolicy">[Refund Policy]</a><n/>By clicking Pay Now you accept the <a name="Nydus" href="termsofsale">[Terms of Sale]</a>	Я принимаю <a name="Nydus" href="refundpolicy">[правила возврата средств].</a><n/>Нажимая кнопку «Оплатить», вы принимаете <a name="Nydus" href="termsofsale">[условия продажи]</a>.
This item is immediately applied to your account after the purchase and will not be refundable.  I accept the <a name="Nydus" href="refundpolicy">[Refund Policy]</a><n/>By clicking Pay Now you accept the <a name="Nydus" href="termsofsale">[Terms of Sale]</a>	Данный предмет начинает использоваться учетной записью непосредственно в момент приобретения и возврату не подлежит. Я принимаю <a name="Nydus" href="refundpolicy">[правила возврата средств].</a><n/>Нажимая кнопку «Оплатить», вы принимаете <a name="Nydus" href="termsofsale">[условия продажи]</a>.
UPDATE PAYMENT METHOD	ИЗМЕНИТЬ СПОСОБ ОПЛАТЫ
Play some games, already.	Сыграй уже хоть пару матчей.
Player does not have a profile on your realm.	У игрока отсутствует профиль в вашем игровом мире.
Something went wrong.<n/>Maybe make a sandwich and try again later.	Что-то пошло не так.<n/>Быть может, стоит перекусить и попробовать позже.
The Nexus Barfed	Нексусу нехорошо
Hero Collection	Коллекция героев
Search Collection	Поиск по коллекции
Highest Progress	Лучший прогресс
Recently Started	Самые новые
%wins% <lang rule="plural" value="%wins%">Win,Wins</lang>   %takedowns% <lang rule="plural" value="%takedowns%">Takedown,Takedowns</lang>	%wins% <lang rule="plural" value="%wins%">Победа,Победы,Побед</lang>   %takedowns% <lang rule="plural" value="%takedowns%">Убийство,Убийства,Убийств</lang>
GENERAL INFORMATION	ОБЩАЯ ИНФОРМАЦИЯ
%losses%<s val="PlayerProfileStatsHeroInfoStatSemiTransparent">L</s>	%losses%<s val="PlayerProfileStatsHeroInfoStatSemiTransparent">П</s>
%winPct%%	%winPct%%
%wins%<s val="PlayerProfileStatsHeroInfoStatSemiTransparent">W</s>	%wins%<s val="PlayerProfileStatsHeroInfoStatSemiTransparent">В</s>
Map	Поле боя
Result	Результат
Match History	История матчей
%games% <lang rule="plural" value="%games%">GAME,GAMES</lang>	%games% <lang rule="plural" value="%games%">МАТЧ,МАТЧА,МАТЧЕЙ</lang>
MOST PLAYED THIS SEASON	ЛЮБИМЫЕ ГЕРОИ В ЭТОМ СЕЗОНЕ
level %level%	ур. %level%
%remaining% XP to next level	%remaining% ед. опыта до след. уровня
Daily Quests	Ежедневные задания
Quests can be completed in any mode except Custom Games.	Задания можно выполнять в любом режиме, кроме «Своей игры».
QUESTS LOCKED	ЗАДАНИЯ НЕДОСТУПНЫ
Ranked Play	Рейтинговые матчи
Ranked Teams	Рейтинговые команды
Recent Victory	Последняя победа
Player Progression	Прогресс игрока
This Season	Сезон
%year% Season %num%	%num%-й сезон %year% года
Most %display% as	%display%
%games% Games Won	Побед: %games%
MAP RECORD	СТАТИСТИКА ПОЛЕЙ БОЯ
Wins	Победы
Statistics	Статистика
Profile Summary	Сводка
%games% Total Games Played	Всего матчей сыграно: %games%
TOTAL HERO LEVEL	СУММАРНЫЙ УРОВЕНЬ
Reach Player Level %rank%	%rank%-й уровень игрока.
Profile Name:	Название конфигурации
Profile Template:	Образец конфигурации
Pr<h/>ofile	Про<h/>филь
Profiles	Конфигурации
Provider	Библиотека обработки звука
Purchase	Приобрести
Purchasable Upgrades	Доступные улучшения
Tech Cost:	Стоимость технологии:
<val/> mil	<val/> млн.
Current Inventory	Текущий инвентарь
Select a Tech Upgrade	Выберите технологию
PURCHASE	ПРИОБРЕСТИ
SELECT AN UPGRADE	ВЫБЕРИТЕ УЛУЧШЕНИЕ
TECH PURCHASE	ПОКУПКА ТЕХНОЛОГИЙ
Default (%region%)	По умолчанию (%region%)
You own this artifact	У вас уже есть этот артефакт.
You own this artifact slot	У вас уже есть ячейка для этого артефакта.
You own this bundle	У вас уже есть этот комплект.
You own this hero	У вас уже есть этот герой.
You own this mount	У вас уже есть этот транспорт.
You own this skin	У вас уже есть этот облик.
Push-to-talk	Клавишей
Push-To-Talk Key:	Клавиша активации:
Push-To-Talk Sound	Звук при включении передачи
Quality	Качество
Quality:	Качество:
You've reached the max player level! Yay!	Вы достигли максимального уровня игрока! Ура!
New Quest!	Новое задание!
Level %rank% Reward	Награда за %rank%-й уровень
Level %level% Reward	Награда за %level%-й уровень
Special Events	Особые события
Quest Log	Журнал заданий
On Release	При отжатии
Quick Cast:	Быстрое наведение:
Quit	Выход
<c val="ffffff">Unblock Real ID Friend Requests:</c><n/>Allow selected user to send you Real ID friend requests again.	<c val="ffffff">Разрешить запросы на дружбу по Battle.net</c><n/>Позволить выбранному пользователю вновь отправлять вам запросы на дружбу по Battle.net.
Race	Раса
<s val="StandardTooltipHeader">Hero League</s><n/><n/>In this league players can queue by themselves or in parties of up to four players to be matched against players of similar skill.<n/><n/><s val="StandardTooltipHeader">League Rank</s><n/><n/><ul indent="3" text="•"><li>Your rank is a representation of your skill where each Rank is about 2% of the players in the league.</li><n/><li>To rise in ranks, win matches and earn points.</li><n/><li>No points are lost when losing matches between ranks 50 to 40.</li><n/><li>Placement Rank: Your rank is not determined until you have completed a number of games to determine your skill level.	<s val="StandardTooltipHeader">Лига героев</s><n/><n/>В этой лиге игроки могут вставать в очередь на матч самостоятельно или в составе группы до четырех человек, чтобы сразиться с равными по силе соперниками.<n/><n/><s val="StandardTooltipHeader">Ранг в лиге</s><n/><n/><ul indent="3" text="•"><li>Ваш ранг – это показатель вашего уровня навыков. Каждый ранг включает в себя примерно 2% игроков лиги.</li><n/><li>Выигрывайте матчи и зарабатывайте очки, чтобы повысить свой ранг.</li><n/><li>С 50-го по 40-й ранг вы не теряете очков за поражение в матче.</li><n/><li>Квалификация: ваш начальный ранг будет присвоен после того, как вы сыграете несколько матчей, чтобы определить свои игровые навыки.
<s val="StandardTooltipHeader">Team League</s><n/><n/>In this league full parties are matched against other full parties of similar skill.<n/><n/><s val="StandardTooltipHeader">League Rank</s><n/><n/><ul indent="2" text="•"><li>Your rank is a representation of your skill where each Rank is about 2% of the players in the league.</li><n/><li>To rise in ranks, win matches and earn points.</li><n/><li>No points are lost when losing matches between ranks 50 to 40.</li><n/><li>Placement Rank: Your rank is not determined until you have completed a number of games to determine your skill level.	<s val="StandardTooltipHeader">Командная лига</s><n/><n/>В этой лиге игроки в составе полностью укомплектованных групп соревнуются равными им по силам такими же группами.<n/><n/><s val="StandardTooltipHeader">Ранг в лиге</s><n/><n/><ul indent="2" text="•"><li>Ваш ранг – это показатель уровня навыков вашей команды. Каждый ранг включает в себя примерно 2% команд лиги.</li><n/><li>Выигрывайте матчи и зарабатывайте очки, чтобы повысить свой ранг.</li><n/><li>С 50-го по 40-й ранг вы не теряете очков за поражение в матче.</li><n/><li>Квалификация: ваш начальный ранг будет присвоен после того, как вы сыграете несколько матчей, чтобы определить свои игровые навыки.
Razed	Разрушено
Announcer	Комментатор
<h/>Ready	Гото<h/>во
Realm List	Список серверов
Record From Triggers	Запись по триггерам
Break	Break
[PH] Click to break link	[PH] Click to break link
[PH] Are you sure you want to remove %userName% from your Recruit List?	[PH] Are you sure you want to remove %userName% from your Recruit List?
[PH] Remove Recruit	[PH] Remove Recruit
[PH] Recruit link has been copied to clipboard.	[PH] Recruit link has been copied to clipboard.
[PH] Click to open social menu	[PH] Click to open social menu
<n/><n/>More Information<n/><n/>For additional information on recruiting friends, read our <a name="Nydus" href="compensation">[official overview page]</>.	<n/><n/>Подробности<n/><n/>Для получения более подробной информации об услуге «Пригласи друга» посетите нашу официальную страницу: <a name="Nydus" href="compensation">[official overview page]</>.
Getting Started<n/><n/>Copy your Recruit Link and send it to the friend you'd like to recruit (via email, or your preferred messanger service). As soon as your friend accepts your invitation, their game account will be linked to yours, which qualifies both accounts for Recruit A Friend benefits.<n/><n/>To recruit a friend, they must be below level 5.<n/><n/>In-Game Rewards<n/><n/>Once 5 of your recruited friends reach level 10 in Heroes of the Storm you will unlock awesome rewards!	Краткое руководство<n/><n/>Скопируйте свою ссылку для рекрута и отправьте ее другу, которого хотите завербовать (через e-mail или иную систему обмена сообщениями). Как только ваш друг примет это приглашение, его и ваша учетные записи станут связанными и получат все соответствующие преимущества услуги «Пригласи друга».<n/><n/>Вербовать можно только игроков, не достигших 5-го уровня.<n/><n/>Внутриигровые награды<n/><n/>Когда 5 ваших рекрутов достигнут 10-го уровня в Heroes of the Storm, вы получите замечательные награды!
Your Recruit Link: %link%	Ваша ссылка для рекрута: %link%
Referral Reward Progress	Прогресс награды за рекрутов
You have been recruited by: <c val="#ColorWhite">%name%</c>	Вы были завербованы игроком <c val="#ColorWhite">%name%</c>
Reward	Награда
%currentReferrals% / %totalReferrals%	%currentReferrals% / %totalReferrals%
Reflections:	Отражения
%val% Hz	%val% Гц
Refresh Rate:	Частота обновления
REJOIN	ПОВТОРНО ПРИСОЕДИНИТЬСЯ
The game you were in is still in progress.<n/>Click the "Rejoin" button below to continue playing.	Игра, из которой вы вышли, продолжается.<n/>Нажмите кнопку «Повторно присоединиться», чтобы продолжить игру.
GAME IN PROGRESS	ИГРА В ПРОЦЕССЕ
Please wait as we reconnect you to your game.	Пожалуйста, подождите. Мы пытаемся восстановить подключение к игре.
Please be patient as we catch you up.<n/>This may take a few minutes.	Пожалуйста, подождите. Мы пытаемся синхронизировать данные.<n/>Это может занять несколько минут.
Reconnect Successful	Соединение успешно восстановлено
Remind Me	Напомнить
REMOVE FRIEND	УДАЛИТЬ ДРУГА
Are you sure you want to remove %userName% from your Friends List? This does not block communication with this person.	Вы действительно хотите удалить игрока %userName% из списка друзей? Это не помешает вам продолжить общение.
Repeat Email Address:	Подтверждение электронного адреса:
Repeat New Password:	Подтверждение нового пароля:
Repeat Password:	Подтверждение пароля:
Replay Complete	Повтор завершен
Decrease Speed	Понизить скорость
Done	Готово
Entire Map  (<h/>E)	Вся карта (<h/>E)
Seeking	Поиск
Increase Speed	Повысить скорость
Replay List	Список записей
Take Command	Принять командование
Faster x2	Скорость х2
Faster x4	Скорость х4
Faster x8	Скорость х8
Playing this replay will launch an older version of the client.	Просмотр этого повтора запустит более старую версию игры.
Display Replay Time Info	Временная шкала повтора
REPORT PLAYER	ОТПРАВИТЬ
Reason:	Причина:
AFK/Non-Responsive	Отошел/Не отвечает
Intentionally Feeding	Намеренный проигрыш
Unskilled	Низкий уровень навыков
%userName%	%userName%
Request	Запросить
Requires:	Требуется:
<s val="Warning"><n/>WARNING!</s>	<s val="Warning"><n/>ВНИМАНИЕ!</s>
Current Research Level: %level%	Уровень исследования: %level%
Select a Research Item	Выберите исследовательский проект.
RESEARCH PROGRESS:	ХОД ИССЛЕДОВАНИЯ:
Choose an item to research	Выберите проект
Resolution:	Разрешение
Resource Request:	Запрос на ресурсы:
All living units cost supply. Build Supply Depots, Overlords or Pylons to increase supply.	Для обеспечения войск необходимы припасы. Количество доступных припасов зависит от числа хранилищ, надзирателей или пилонов.
All living units cost supply. Build Pylons to increase supply.	Войскам необходима энергия. Вызывайте пилоны, чтобы обеспечить энергией больше войск.
All living units cost supply. Build Supply Depots to increase supply.	Войскам необходимы припасы. Стройте хранилища, чтобы обеспечить припасами больше войск.
All living units cost supply. Build Overlords to increase supply.	Рой необходимо контролировать. Создавайте надзирателей, чтобы контролировать больше войск.
Minerals are used to build your forces. Gather more minerals from mineral fields.	Минералы требуются для постройки зданий и боевых единиц. Они добываются на месторождениях минералов.
This is a custom resource.	Это выбранный тип ресурса.
<c val="00ff00">No Upkeep</c>	<c val="00ff00">Без расхода ресурсов</c>
<c val="ffff00">Low Upkeep</c>	<c val="ffff00">Низкий расход ресурсов</c>
<c val="ff0000">High Upkeep</c>	<c val="ff0000">Высокий расход ресурсов</c>
Upkeep is determined by the amount of food your forces are currently using.	Уровень расходов зависит от объема потребляемых войсками припасов.
