Amorphous Armorcloud	Nube de blindaje amorfa
Fast melee unit. Spawns in groups of three. Morphs almost instantly. Can morph into a Baneling.<n/><n/><c val="FFFF8A">Can attack ground units.</c>	Unidad rápida de combate cuerpo a cuerpo. Se engendra en grupos de tres. Muta casi al instante. Puede mutar en pesteling.<n/><n/><c val="FFFF8A">Puede atacar a unidades terrestres.</c>
Enables additional units and research options. A Tech Lab can fit onto any production structure.	Permite unidades y opciones de investigación adicionales. El laboratorio tecnológico encaja con cualquier estructura de producción.
Contains an upgrade for High Templar.<n/><n/><c val="ffff8a">Enables:</c><n/>- High Templar at the Gateway<n/>- Archon Merge from High Templar	Tiene una mejora para los altos templarios.<n/><n/><c val="ffff8a">Permite:</c><n/>- Altos templarios en el acceso<n/>- Fusionar arcontes desde altos templarios
Creates a distortion field at the target location. Ground units caught inside of this field have their movement speed, attack speed, and cooldowns slowed by two-thirds. Lasts <d time="30"/>.	Crea un campo de alteración en la ubicación objetivo. Las unidades terrestres dentro del campo ven reducida su velocidad de movimiento, de ataque y el tiempo de reutilización en dos tercios. Dura <d time="30"/>.
Upgrades the armor of infantry units.	Mejora la armadura de las unidades de infantería.
Further upgrades the armor of infantry units.	Mejora aún más la armadura de las unidades de infantería.
Upgrades the damage dealt by infantry units.	Mejora el daño infligido por las unidades de infantería.
Further upgrades the damage dealt by infantry units.	Mejora aún más el daño infligido por las unidades de infantería.
Upgrades the armor of units built at a Starport.	Mejora el blindaje de las unidades construidas en un puerto estelar.
Further upgrades the armor of units built at a Starport.	Mejora aún más la armadura de las unidades que se construyen en el puerto estelar.
Maximizes the armor of units built at a Starport.	Maximiza la armadura de las unidades que se construyen en el puerto estelar.
Upgrades the damage dealt by units built at a Starport.	Mejora el daño infligido por las unidades construidas en un puerto estelar.
Further upgrades the damage dealt by units built at a Starport.	Mejora aún más el daño infligido por las unidades que se construyen en el puerto estelar.
Maximizes the damage dealt by units built at a Starport.	Maximiza el daño infligido por las unidades que se construyen en el puerto estelar.
Upgrades the armor of ground vehicles.	Mejora el blindaje de los vehículos terrestres.
Further upgrades the armor of ground vehicles.	Mejora aún más el blindaje de los vehículos terrestres.
Maximizes the armor of ground vehicles.	Maximiza el blindaje de los vehículos terrestres.
Upgrades the damage dealt by ground vehicles.	Mejora el daño infligido por los vehículos terrestres.
Further upgrades the damage dealt by ground vehicles.	Mejora aún más el daño infligido por los vehículos terrestres.
Maximizes the damage dealt by ground vehicles.	Maximiza el daño infligido por los vehículos terrestres.
Heavy assault mech. Can use 330mm Barrage Cannon.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Vehículo robótico de asalto pesado. Puede utilizar un cañón de descarga de 330 mm.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas y terrestres.</c>
Places target structure in a Chrono Boost, causing it to operate 50% faster for <d time="20"/>.	Aplica aceleración cronos a la estructura seleccionada, lo que hace que funcione un 50% más rápido durante <d time="20"/>.
Heavy assault beast. Has an area-damage cleave attack. When killed, can be revived.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Bestia de asalto pesada con un ataque de rajado que inflige daño de área. Cuando lo matan puede revivir.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
Local traffic signal.	Señal de tráfico local.
Instantly restores 125 life to target biological unit or structure.	Restaura instantáneamente 125 de vida a una unidad o estructura biológica seleccionada.
Reverts the Warp Prism back to Transport Mode, allowing it to move.	Vuelve a poner el prisma de distorsión en modo transporte, lo que le permite moverse.
This cocoon contains an Overlord.	Este capullo contiene un superamo.
Orders selected units to turn toward the target area or unit.	Ordena a las unidades seleccionadas que se dirijan hacia la unidad u objetivo seleccionados.
Automated defensive structure.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c><n/><c val="FFE303">Detector</c>	Estructura defensiva automatizada. <n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas y terrestres.</c><n/><c val="FFE303">Detector</c>
Reverts to Tank Mode. In this mode Siege Tanks can move, but they do less damage.	Vuelve a modo tanque. En este modo los tanques de asedio pueden moverse, pero infligen menos daño.
Upgrades the armor of <c val="ffff8a">structures</c> by 2.	Mejora el blindaje de las <c val="ffff8a">estructuras</c> en 2.
Upgrades Command Center to a Planetary Fortress, greatly increasing its armor and arming it with a powerful defensive turret. Cannot lift off.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Mejora el centro de mando convirtiéndolo en una fortaleza planetaria. Aumenta su blindaje considerablemente y le proporciona una potente torreta defensiva como armamento. No puede despegar.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
Upgrades Command Center to a Planetary Fortress, greatly increasing its armor and arming it with a powerful defensive turret. Can not lift off.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Mejora el centro de mando convirtiéndolo en una fortaleza planetaria. Aumenta su blindaje considerablemente y le proporciona una potente torreta defensiva como armamento. No puede despegar.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
Workers can harvest vespene gas from this Vespene Geyser.	Los obreros pueden recoger gas vespeno de este géiser de vespeno.
Durable support flyer. Loaded with strong anti-capital air missiles. Can switch into Assault Mode to attack ground units.<n/><n/><c val="#ColorAttackInfo">Can attack air units.</c>	Resistente unidad de apoyo aéreo. Está armada con potentes misiles aéreos que son efectivos contra buques insignia. Puede cambiar a modo asalto para atacar a unidades terrestres.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas.</c>
Surgical strike craft. Deals increased damage with prolonged attacks.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	Nave de ataque preciso. El daño que inflige aumenta según aumente la duración del ataque.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades aéreas y terrestres.</c>
Fast skirmish unit. Can use the Spider Mine ability.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Unidad rápida de escaramuza. Puede utilizar la habilidad mina araña.<n/><n/><c val="#ColorAttackInfo">Puede atacar a unidades terrestres.</c>
Loads units into the Warp Prism's matrix.	Carga a las unidades en la matriz del prisma de distorsión.
Statue commemorating the Wolves of Korhal, a symbol of the Mengsk family.	Estatua de conmemoración de los Lobos de Korhal, un símbolo de la familia Mengsk.
Creates an artificial Wormhole allowing the Mothership to instantly travel to the target owned structure.	Crea un agujero de gusano artificial que permite a la nave nodriza viajar instantáneamente hasta una estructura objetivo adquirida.
Blasts a target with a devastating plasma cannon, causing 300 damage.	Golpea a un objetivo con un devastador cañón de plasma y causa 300 de daño.
Powerful melee warrior. Can use Charge.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Poderoso guerrero de combate cuerpo a cuerpo. Puede utilizar cargar. <n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
Extremely powerful melee warrior. Can be upgraded to use Charge.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Poderoso guerrero de combate cuerpo a cuerpo. Con una mejora, puede usar cargar.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
Powerful melee warrior. Can use Charge and Reconstruction.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Poderoso guerrero de combate cuerpo a cuerpo. Puede usar carga y reconstrucción.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
Powerful melee warrior. Has Shadow Charge ability that stuns enemies.<n/><n/><c val="ffff8a">Can attack ground units.</c>	Poderoso guerrero de combate cuerpo a cuerpo. Cuenta con la habilidad carga de las sombras que aturde a los enemigos.<n/><n/><c val="ffff8a">Puede atacar a unidades terrestres.</c>
Assault strider. Can use Barrier to absorb damage.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Zancudo de asalto. Puede utilizar barrera para absorber daño.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
Flying spy. Cloak renders the unit invisible without detection.<n/><n/><c val="FFE303">Detector</c>	Espía volador. La unidad se camufla y es invisible a menos que se tenga detección.<n/><n/><c val="FFE303">Detector</c>
Primary defensive structure. Can project itself onto the battlefield. Can use Shadow Barrier to absorb damage.<n/><n/><c val="ffff8a">Can attack ground and air units.</c><n/><c val="FFE303">Detector</c>	Estructura defensiva primaria. Puede proyectarse en el campo de batalla. Puede usar barrera de sombra para absorber daño.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c><n/><c val="FFE303">Detector</c>
Robotic support unit. Can use Shield Restoration and Reflective Shield.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Unidad robótica de apoyo. Puede utilizar restauración de escudos y escudo reflectante.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
Ranged support strider. Can automatically Blink when threatened.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	Zancudo de apoyo a distancia. Puede utilizar traslación automáticamente si se ve amenazado.<n/><n/><c val="ffff8a">Puede atacar a unidades aéreas y terrestres.</c>
Fast melee creature. Can morph into a Baneling.<n/><n/><c val="FFFF8A">Can attack ground units.</c>	Criatura rápida de combate cuerpo a cuerpo. Puede mutar en pesteling.<n/><n/><c val="FFFF8A">Puede atacar a unidades terrestres.</c>
Increase the attack range of <c val="ffff8a">Hydralisks</c> by +1.	Aumenta el alcance de ataque de los <c val="ffff8a">hidraliscos</c> en 1.
Upgrades the armor of all Zerg air units.	Mejora la armadura de todas las unidades aéreas zerg.
Further upgrades the armor of all Zerg air units.	Mejora aún más la armadura de todas las unidades aéreas zerg.
Maximizes the armor of all Zerg air units.	Maximiza la armadura de todas las unidades aéreas zerg.
Upgrades the attacks of all Zerg air units.	Mejora los ataques de todas las unidades aéreas zerg.
Further upgrades the attacks of all Zerg air units.	Mejora aún más los ataques de todas las unidades aéreas zerg.
Maximizes the attacks of all Zerg air units.	Maximiza los ataques de todas las unidades aéreas zerg.
Upgrades the armor of all Zerg ground units.	Mejora la armadura de todas las unidades terrestres zerg.
Further upgrades the armor of all Zerg ground units.	Mejora aún más la armadura de todas las unidades terrestres zerg.
Maximizes the armor of all Zerg ground units.	Maximiza la armadura de todas las unidades terrestres zerg.
Increases the attack speed of <c val="ffff8a">Zerglings</c> by 20%.	Aumenta la velocidad de ataque de los <c val="ffff8a">zergling</c> en un 20%.
Increases the movement speed of <c val="ffff8a">Zerglings</c>.	Aumenta la velocidad de movimiento de los <c val="ffff8a">zergling</c>.
Upgrades all Zerg melee attacks.	Mejora los ataques de todas las unidades cuerpo a cuerpo zerg.
Further upgrades all Zerg melee attacks.	Mejora aún más los ataques de todas las unidades cuerpo a cuerpo zerg.
Maximizes all Zerg melee attacks.	Maximiza los ataques de todas las unidades cuerpo a cuerpo zerg.
Further upgrades the attacks of all Zerg ground ranged units.	Mejora aún más los ataques de todas las unidades terrestres a distancia zerg.
Maximizes the attacks of all Zerg ground ranged units.	Maximiza los ataques de todas las unidades terrestres a distancia zerg.
Attached to Barracks	Acoplado al barracón
Cocoon	Capullo
Under Construction	En construcción
Basic Structures	Estructuras básicas
Advanced Structures	Estructuras avanzadas
Attached to Factory	Acoplado a la fábrica
Hallucinations	Alucinaciones
Attached to Starport	Acoplado al puerto estelar
Lowered	Bajado
Push your micro skills to their limits in this challenge. Use hotkeys alone to kill as many enemy units as possible before time runs out.	Lleva tu microgestión al límite con esta misión. Utiliza atajos para matar a tantos enemigos como sea posible antes de que se acabe el tiempo.
HARBINGER OF DEATH	HERALDO DE LA MUERTE
<s val="ChallengeScoreHeader">BEST SCORE:</s><n/><s val="ChallengeNoScore">NOT YET COMPLETED</s>	<s val="ChallengeScoreHeader">PUNTUACIÓN MÁXIMA:</s><n/><s val="ChallengeNoScore">AÚN NO SE HA COMPLETADO</s>
Build up a strong economy and a large army while fighting off the enemy's early attacks. Optimize your build order to get the best time possible.	Desarrolla una economía sólida y un gran ejército mientras rechazas los ataques iniciales del enemigo. Tendrás que optimizar tu orden de construcción para obtener el mejor tiempo posible.
OPENING GAMBIT	MANIOBRA DE SALIDA
Test your knowledge of Protoss units and what they counter. Defend your Pylons from all three waves, and try to keep as many units alive as possible.	Pon a prueba tu conocimiento de las unidades protoss y los enemigos que mejor contrarrestan. Defiende tus pilones de las tres oleadas y trata de mantener vivas a tantas unidades como sea posible.
PATH OF ASCENSION	EL CAMINO DE LA ASCENSIÓN
You lead a small force of Protoss psionic specialists in this challenge. Use their abilities to defeat as many waves of enemy units as you can.	En este reto diriges un pequeño escuadrón de especialistas psiónicos protoss. Utiliza sus habilidades para derrotar tantas oleadas de enemigos como sea posible.
PSIONIC ASSAULT	ASALTO PSIÓNICO
Learn how to fight off the early rush attacks that Zerg and Protoss players can bring against you in multiplayer.	Aprende a rechazar los avances iniciales que los jugadores protoss y zerg pueden lanzar contra ti en multijugador.
RUSH DEFENSE	DEFENSA CONTRA AVANCES
Send the right Terran units to destroy the units they counter. Protect your Supply Depots from all three waves, and try to keep as many units alive as possible.	Envía las unidades terran que mejor contrarresten las del enemigo. Protege tus depósitos de suministros de las tres oleadas y trata de mantener vivas a tantas unidades como sea posible.
TACTICAL COMMAND	MANDO TÁCTICO
You command a small force of Terran specialist units in this challenge. Race the clock to kill as many enemy units as possible.	En este reto diriges un pequeño escuadrón de unidades especialistas terran. Mata tantos enemigos como sea posible tan rápido como puedas.
COVERT OPS	OPERACIÓN SIGILO
Stave off waves of enemy units by sending the best Zerg units for the job. Protect your Spires from all three waves, and try to keep as many of your units alive as possible.	Rechaza las oleadas de enemigos con las unidades zerg que mejor se adapten a la situación. Protege tus espirales de las tres oleadas y trata de mantener vivas a tantas unidades como sea posible.
FOR THE SWARM	POR EL ENJAMBRE
The Queen of Blades has provided you with a small force of Roaches and Infestors. Use stealth and trickery to destroy as much of the enemy base as you can before time runs out.	La Reina de Espadas te ha enviado un pequeño destacamento de cucarachas e infestadores. Emplea el sigilo y el engaño para destruir tanto de la base enemiga como sea posible antes de que se acabe el tiempo.
INFESTATION	INFESTACIÓN
ADVANCED	AVANZADO
BASIC	BÁSICO
EXPERT	EXPERTO
Unhinged, Manic	Unhinged, Manic
Peppy, confident, a little full of herself	Peppy, confident, a little full of herself
Professional, slightly sinister	Professional, slightly sinister
Unhinged, Ego-maniac, manic	Unhinged, Ego-maniac, manic
Cunning, imperious, cruel	Cunning, imperious, cruel
A civilian scientist who has never seen combat before and is a little out of his depth. He is trying to remain calm and rely on his analytical mind, but sometimes panic can set in.	A civilian scientist who has never seen combat before and is a little out of his depth. He is trying to remain calm and rely on his analytical mind, but sometimes panic can set in.
Egon Stetmann has been on Bel'shir since before Heart of the Swarm. He has had no off-world contact in that time. Long term exposure to terrazine has affected his sanity; he frequently hallucinates and talks to his robots as if they were sentient.	Egon Stetmann has been on Bel'shir since before Heart of the Swarm. He has had no off-world contact in that time. Long term exposure to terrazine has affected his sanity; he frequently hallucinates and talks to his robots as if they were sentient.
This is the same voice as the Dominion Officer in the Terran tutorial mission. (Already cast). He is a little more cocky and sarcastic this time.	This is the same voice as the Dominion Officer in the Terran tutorial mission. (Already cast). He is a little more cocky and sarcastic this time.
A pro gamer and professional StarCraft player, Hana Song (known as D.Va to her fans), was drafted into the Korean military to pilot their mecha during a desperate time of war. She streams combat operations to her fans, making her a global icon.	A pro gamer and professional StarCraft player, Hana Song (known as D.Va to her fans), was drafted into the Korean military to pilot their mecha during a desperate time of war. She streams combat operations to her fans, making her a global icon.
Subjected to harsh physical and psychological training since childhood, ghosts are deadly covert operatives. Masters of recon and assassination, ghosts are living weapons who tend toward sadism masked as pride in a job well done.	Subjected to harsh physical and psychological training since childhood, ghosts are deadly covert operatives. Masters of recon and assassination, ghosts are living weapons who tend toward sadism masked as pride in a job well done.
Egon Stetmann has escaped from Bel'shir with help from a swarm of mechanical zerg of his own making. Now, he and his faithful bot companion, Gary, scour the galaxy in search of those in need... and more Terrazine.	Egon Stetmann has escaped from Bel'shir with help from a swarm of mechanical zerg of his own making. Now, he and his faithful bot companion, Gary, scour the galaxy in search of those in need... and more Terrazine.
Alarak's second in command, Ji'nara is a cunning and cautious manipulator who shares the Highlord's penchant for scheming and deceit. One day, she may challenge Alarak for leadership of the Tal'darim... but not today.	Alarak's second in command, Ji'nara is a cunning and cautious manipulator who shares the Highlord's penchant for scheming and deceit. One day, she may challenge Alarak for leadership of the Tal'darim... but not today.
John Bain, of The Cynical Brit fame.	John Bain, of The Cynical Brit fame.
Cartwright	Cartwright
Terran Adjutant	Ayudante terran
Faraday	Faraday
D.Va	D.Va
Izsha	Izsha
Nathanias	Nathanias
Sgt. Hammer	Sgto. Martillo
Egon Stetmann	Egon Stetmann
TotalBiscuit	TotalBiscuit
Vermillion	Vermillion
Cold but soft, intellectual	Cold but soft, intellectual
Test	Test
Nasal, Nerdy	Nasal, Nerdy
Authoritative, military	Authoritative, military
High, sweet, light	High, sweet, light
Husky, raspy, low	Husky, raspy, low
Powerful, but smooth, refined and regal	Powerful, but smooth, refined and regal
Paul Bettany	Paul Bettany
Emma Stone	Emma Stone
Nicole Oliver	Nicole Oliver
Blair Bess	Blair Bess
Full Power of the Dominion	Poder total del Dominio
<ul indent="0" gap="1"path="Assets\Textures\UI_Battlenet_Glues_PageAssets_BulletPoint.dds" width="0" height="0"><li>Recommended for experienced players</li><li>Conscript a large disposable army of Dominion Troopers</li><li>Control and level up the Royal Guard, your personal elite fighting force</li></ul><n/>	<ul indent="0" gap="1"path="Assets\Textures\UI_Battlenet_Glues_PageAssets_BulletPoint.dds" width="0" height="0"><li>Recomendado para jugadores expertos</li><li>Recluta un nutrido contingente de agentes prescindibles del Dominio</li><li>Controla y sube de nivel a la guardia real, tu cuerpo de élite personal</li></ul><n/>
Commander: Abathur	Comandante: Abathur
Commander: Alarak	Comandante: Alarak
Commander: Dehaka	Comandante: Dehaka
Commander: Fenix	Comandante: Fénix
Commander: Han and Horner	Comandante: Han y Horner
Commander: Karax	Comandante: Karax
Commander: Nova	Comandante: Nova
Commander: Stetmann	Comandante: Stetmann
Commander: Stukov	Comandante: Stukov
Commander: Swann	Comandante: Swann
Commander: Tychus	Comandante: Tychus
Commander: Vorazun	Comandante: Vorazun
Commander: Zagara	Comandante: Zagara
Commander: Zeratul	Comandante: Zeratul
You are a StarCraft expert.	Eres todo un experto en StarCraft.
You are a StarCraft expert looking for a little extra challenge.	Eres todo un experto en StarCraft y te gustan los desafíos.
You are a StarCraft II Co-op aficionado with a friend who is a StarCraft II Co-op aficionado.	Eres un aficionado a las misiones cooperativas de StarCraft II con un amigo aficionado a las misiones cooperativas de StarCraft II.
You and your StarCraft II Co-op aficionado friend roll the weekly mutation on the first try with no issue.	Tu amigo aficionado a las misiones cooperativas de StarCraft II y tú superáis la mutación semanal a la primera sin problemas.
You and your friend are wondering how hard could it really be?	Tu amigo y tú pensáis que no puede ser para tanto...
You enjoy losing.	Te gusta perder.
You enjoy losing a lot.	Te encanta perder.
You have little or no experience playing strategy games.	Has jugado poco o nada a juegos de estrategia.
You are a StarCraft veteran.	Te consideras un veterano de StarCraft.
This option is not available in the currently selected Co-op mode.	Esta opción no está disponible en el modo cooperativo seleccionado.
You do not have a valid Brutal+ game available for Retry.  Your last Brutal+ game must have ended in a loss to use Retry.	No hay partidas en brutal+ válidas que se puedan reintentar. Tu última partida en brutal+ tiene que haber terminado en derrota para reintentarla.
This option requires level 15 on your selected commander or playing in a party.	Esta opción requiere nivel 15 en el comandante seleccionado o jugar en grupo.
This option adds random mutators to a standard Brutal game to increase the challenge, and is not available for the Weekly Mutation or Custom Mutators modes.	Esta opción añade mutaciones aleatorias a una partida brutal estándar para aumentar su dificultad y no está disponible para los modos de mutación semanal o mutaciones personalizadas.
You have some experience playing strategy games.	Tienes cierta experiencia con juegos de estrategia.
This option requires playing in a party.	Esta opción requiere jugar en grupo.
You’ve already lost and want to lose again in the same way.  This option is only available when you have lost your last Brutal+ game.<n/><n/>The game will start using the same map, mutators, enemy race, and enemy composition.  You may change your selected commanders.	Ya has perdido y quieres volver a perder de la misma forma. Esta opción solo está disponible al perder tu última partida en brutal+.<n/><n/>La partida empezará con el mismo mapa, las mismas mutaciones y la misma raza y composición enemiga. Se pueden cambiar los comandantes seleccionados.
%0% is the difficulty of your current available game for retry.	El nivel de dificultad de la partida que puedes reintentar es %0%.
Retry %0%	Reintentar %0%
Brutal+ 2	Brutal+ 2
Brutal+ 3	Brutal+ 3
Brutal+ 4	Brutal+ 4
Brutal+ 5	Brutal+ 5
Brutal+ 6	Brutal+ 6
Retry Brutal+	Reintentar brutal+
Retry	Reintentar
Look at console, see only potential. Must evolve.	Mirar consola, ver solo potencial. Debo evolucionar.
Inspire your troops as you Stand as One and fight For the Alliance with this console. <n/><n/>Awarded for registering a copy of Warcraft III: Reforged Spoils of War.	Inspira a tus tropas mientras lucháis todos a una por la Alianza con esta consola.<n/><n/>Otorgado por registrar una copia de Warcraft III: Reforged Spoils of War.
Put your quarter down and bring a taste of faux wood and cheap plastic to your console.<n/><n/>This skin is exclusive to the "Vorazun: Nerazim" Twitch Prime 2019 bundle.	Déjate de lujos y dale un toque de madera falsa y plástico barato a tu consola.<n/><n/>Este aspecto es exclusivo del pack Vorazun: pack nerazim de Twitch Prime 2019.
Participate in the StarCraft 20th Anniversary Twitch Stream.	Participa en la retransmisión de Twitch del 20.º aniversario de StarCraft.
Lok'tar Ogar, Warchief. Equip this console as you charge into gruesome battle. <n/><n/>Awarded for registering a copy of Warcraft III: Reforged Spoils of War.	Lok'tar ogar. Equipa esta consola mientras cargas hacia la cruenta batalla.<n/><n/>Otorgado por registrar una copia de Warcraft III: Reforged Spoils of War.
By equipping this console, you swear your life to Ner'Zhul ...er ...or Aiur. <n/><n/>Awarded for registering a copy of Warcraft III: Reforged Spoils of War.	Al equipar esta consola, juras lealtad a Ner'zhul... o a Aiur.<n/><n/>Otorgado por registrar una copia de Warcraft III: Reforged Spoils of War.
Enchant your console with the force of nature and the moon! <n/><n/>Awarded for registering a copy of Warcraft III: Reforged Spoils of War.	Encanta tu consola con la fuerza de la naturaleza y la luna.<n/><n/>Otorgado por registrar una copia de Warcraft III: Reforged Spoils of War.
The elegant aesthetics of Aiur make for a refined console.<n/><n/>This skin is available to all players as part of the StarCraft 20th Anniversary celebration.	La estética elegante de Aiur aporta un estilo refinado a la consola.<n/><n/>Este diseño está disponible para todos los jugadores como parte de la celebración del 20.º aniversario de StarCraft.
Enhance your console with the brooding style of Tal'darim chic.	Mejora tu consola con el estilo siniestro de los tal'darim.
Rock your console with the Ihan-rii’s archaeological motif.	Decora tu consola con un motivo arqueológico Ihan-rii.
Cloak your console in elegant finery from Shakuras.	Consigue una consola sigilosa con la elegancia de Shakuras.
There's no console like a classic terran console, scratches and all.<n/><n/>This skin is available to all players as part of the StarCraft 20th Anniversary celebration.	Ninguna consola se puede comparar a la consola terran clásica, con arañazos y todo.<n/><n/>Este diseño está disponible para todos los jugadores como parte de la celebración del 20.º aniversario de StarCraft.
Outfit your console with the specialized covert technology of the Dominion Special Forces.	Personaliza tu consola con la tecnología secreta especializada de las Fuerzas Especiales del Dominio.
Customize your console with the ruthless machinery of Mira's Marauders!	¡Personaliza tu consola con la maquinaria implacable de los Persecutores de Mira!
Polish up your console with the gleaming styling of Tyrador.	Dale más brillo a tu consola con el flamante estilo de Tyrador.
Engineer your console with well-oiled parts from the Dominion military.	Haz que tu consola luzca con piezas bien engrasadas de la ingeniería del Dominio.
Unleash the ruthlessness of the zerg on your console.<n/><n/>This skin is available to all players as part of the StarCraft 20th Anniversary celebration.	Desata la crueldad de los zerg en tu consola.<n/><n/>Este diseño está disponible para todos los jugadores como parte de la celebración del 20.º aniversario de StarCraft.
Synthesize the deadly efficient machinery of the Simulant project as part of your console.	Sintetiza la maquinaria eficiente y letal del Proyecto Simulador como parte de tu consola.
Cybernetically enhance your console with the technology of Cerberus.	Mejora cibernéticamente tu consola con la tecnología de Cerbero.
Mutate your console into a ferocious Primal zerg look from the jungles of Zerus.	Haz que tu consola mute con la feroz apariencia de los zerg primigenios de las selvas de Zerus.
Upgrade your console to resemble the mighty Purifiers, a highly advanced faction of AI warriors from days past.	Mejora tu consola con la imagen de los poderosos purificadores, una facción muy avanzada que se basa en la inteligencia artificial de antiguos guerreros.
Elegant and refined, the Templar console design captures the nobility of the protoss.	El diseño elegante y refinado de la consola templaria captura la nobleza de los protoss.
Rock your console in classic terran style that remains popular from Mar Sara to Korhal.	Decora tu consola con el diseño más cañero al puro estilo terran, famoso desde Mar Sara hasta Korhal.
Adapt your console to resemble the fearsome zerg Swarm.	Adapta tu consola para que se asemeje al temible Enjambre zerg.
Alliance	Alianza
Purple Arcade	Recreativa morada
Galactic Celebration	Celebración galáctica
Horde	Horda
Sentinels	Centinelas
Ihan-rii	Ihan-rii
Nerazim	Nerazim
Special Forces	Fuerzas especiales
Mira's Marauders	Persecutores de Mira
Tyrador	Tyrador
Machined	Maquinaria
Cerberus	Cerbero
They say a man never really knows himself...	Un hombre nunca llega a conocerse a sí mismo...
until his freedom's been taken away.	... hasta que le arrebatan la libertad.
I wonder...	Y me pregunto,
how well do you know yourself?	¿hasta qué punto se conoce usted?
Prisoner, step forward onto the platform.	Prisionero, avance hasta la plataforma.
Convict 626.	Convicto 626...
Murderer.	Asesino.
Pirate.	Pirata...
Traitor.	Traidor.
Today... you go free.	Hoy... le devuelvo su libertad.
But as you'll soon learn...	Pero... pronto aprenderá…
even freedom has a price.	que incluso la libertad tiene un precio.
Combat suit sealed... and locked.	Traje de combate... sellado.
You'll carry your prison with you. That armor will be your new cell.	Cargará con su prisión. Su armadura será su nueva celda.
Make no mistake...	No se confunda:
War is coming.	la guerra se acerca,
With all its glory...	con toda su gloria
and all its horror.	y todo su horror.
Mr. Findlay - your freedom awaits.	Sr. Findlay, le aguarda su libertad.
Hell... it's about time.	Joder... Ya está bien de esperar.
Sarah.	Sarah
You reading all this?	¿Está escuchando eso?
You have your orders Mr. Findlay.  Carry them out.	Sus órdenes son claras, Sr. Findlay. No las cuestione.
Tychus what have you done?	Tychus... ¿qué has hecho?
I made a deal with the devil Jimmy.  She dies I go free.	Hice un pacto con el diablo, Jimmy. Ella muere, yo quedo libre.
We all got our choices to make.	Todos tomamos decisiones...
Damn shame.	Lástima...
Jim?	¿Jim?
It's okay I gotcha.	Está bien. Te tengo.
The zerg swarm came as was foretold.	El Enjambre zerg vino como se predijo...
And the protoss,	y los protoss,
first born of the gods, rose to fight them.	primogénitos de los dioses, se alzaron en su contra.
Now, the Xel'Naga that forged us all, are returning.	Ahora, los Xel'Naga que nos crearon a todos... regresan.
But do they come to save,	Pero, ¿vienen a salvar...?
or to destroy.	¿... o a destruir?
(Laughter)	(Risa)
I knew you'd find your way here ...	Sabía que al final...
eventually.	... vendrías.
Your very presence defiles this place, Kerrigan.	Tu mera presencia profana este lugar, Kerrigan.
Do you hear them, Zeratul?  Whispering from the stars?	¿Los oyes, Zeratul? ¿Murmurando en las estrellas?
The galaxy will burn with their coming.	La galaxia arderá cuando lleguen.
Perhaps ...	Quizás...
But you won't live to see it!	... pero tú no vivirás para verlo.
Please ... our petty conflicts mean nothing now.	Por favor. Nuestras riñas no significan nada.
A storm is coming that cannot be stopped.	Se aproxima una tormenta imparable.
Fitting, that we should face oblivion together.	Qué apropiado... que nos enfrentemos juntos a la extinción.
Never!	¡Jamás!
Fate cannot be changed.	La suerte es inmutable.
The end comes	El final se acerca.
And when it finds me ...	Y cuando me encuentre...
I shall embrace it at last.	al fin podré... entregarme a él.
The prophecy is uncertain.	La profecía es incierta.
There is always hope.	Siempre hay esperanza.
This is Kerrigan.	Aquí Kerrigan.
We've neutralized the protoss, but there's a wave of zerg advancing on this position.	Neutralizamos a los protoss, pero los zerg avanzan hacia esta posición.
We need immediate evac.	Evacuación. ¡Ahora!
Belay that order.	Ignoren esa orden.
We're moving out.	Nos vamos.
What?!	¿Qué?
You're not just going to leave her!	¿Los dejas tirados?
