Amorphous Armorcloud	Amorphe Deckungswolke
<c val="ffffff">Confine Mouse Cursor:</c><n/>Determines when the mouse cursor can leave the application window in either Windowed (Fullscreen) or Windowed Display Modes.  In the Fullscreen Display Mode this setting has no effect, the cursor is always confined.<n/><n/><c val="ffffff">Smart:</c> In Windowed Fullscreen, mouse cursor is confined during games, but unconfined in menu screens.  In windowed mode, this has no effect.<n/><c val="ffffff">On:</c> Mouse cursor is always confined.<n/><c val="ffffff">Off:</c> Mouse cursor is never confined.	<c val="ffffff">Mauszeigergrenzen:</c><n/>Legt die Grenzen des Mauszeigers fest, während sich die Anwendung im Fenstermodus (Vollbild) oder im Fenstermodus befindet. Hat keinen Effekt im Vollbildmodus, dort ist der Mauszeiger immer auf das Spiel begrenzt.<n/><n/><c val="ffffff">Intelligent:</c> Im Fenstermodus (Vollbild) sind die Mauszeigergrenzen während des Spielens aktiv, aber nicht im Menü. Hat keinen Einfluss auf den Fenstermodus.<n/><c val="ffffff">Ein:</c> Mauszeigergrenzen werden auf alle Anzeigemodi angewendet.<n/><c val="ffffff">Aus:</c> Mauszeigergrenzen werden auf keinen Anzeigemodus angewendet.
<c val="ffffff">Cursor Size:</c><n/>Determines how large your mouse cursor appears.<n/><n/>Not supported on Windows XP.	<c val="ffffff">Mauszeigergröße:</c><n/>Bestimmt die Größe Ihres Mauszeigers.<n/><n/>Von Windows XP nicht unterstützt.
<c val="ffffff">Invert Drag Scroll:</c><n/>Flips the direction the map scrolls while dragging the middle mouse button. This may feel more natural to some players.	<c val="ffffff">Ziehen/Scrollen umkehren:</c><n/>Kehrt die Richtungen beim Scrollen der Karte unter Verwendung der mittleren Maustaste um. Dies könnte sich für manche Spieler natürlicher anfühlen.
<c val="ffffff">Drag Scroll Speed:</c><n/>Determines how fast to scroll the map while dragging the middle mouse button.	<c val="ffffff">Tempo beim Ziehen/Scrollen:</c><n/>Regelt, wie schnell man die Karte scrollen kann, während man die mittlere Maustaste gedrückt hält.
<c val="ffffff">Use standard function key behavior</c><n/>When selected, the top row of the keyboard behaves as function keys. Press the Fn key to use the features printed on each key. When deselected, the top row will behave according to OS settings.	<c val="ffffff">Standardverhalten der Funktionstasten verwenden:</c><n/>Wenn aktiviert, verhalten sich die Tasten der obersten Tastaturreihe wie Funktionstasten. Drücken Sie Fn, um eine Taste entsprechend ihrer Beschriftung zu benutzen. Wenn deaktiviert, verhält sich die oberste Tastaturreihe wie vom Betriebssystem vorgegeben.
<c val="ffffff">Keyboard Scroll Speed:</c><n/>Determines how fast to scroll the map when using the keyboard's arrow keys.	<c val="ffffff">Scroll-Tempo der Tastatur:</c><n/>Regelt, wie schnell die Karte scrollt, wenn man die Pfeiltasten der Tastatur verwendet.
<c val="ffffff">Enable Mouse Sensitivity:</c><n/>Enables setting a custom mouse sensitivity to override the setting from the operating system.	<c val="ffffff">Mausempfindlichkeit aktivieren:</c><n/>Ermöglicht benutzerdefinierte Mausempfindlichkeit, um die Einstellung des Betriebssystems zu überschreiben.
<c val="ffffff">Enable Mouse Scroll:</c><n/>Enables the ability to scroll the map by placing the cursor at the edge of the screen.	<c val="ffffff">Scrollen mit Maus aktivieren:</c><n/>Ermöglicht, die Karte zu scrollen, indem man mit dem Mauszeiger an die Ränder des Bildschirms fährt.
<c val="ffffff">Mouse Scroll Speed:</c><n/>Determines how fast to scroll the map when the cursor is at the edge of the screen.	<c val="ffffff">Scroll-Tempo der Maus:</c><n/>Regelt, wie schnell die Karte scrollt, wenn man mit dem Mauszeiger an die Ränder des Bildschirms fährt.
<c val="ffffff">Mouse Sensitivity:</c><n/>Determines how sensitive your mouse is. Higher sensitivity will cause the mouse to move faster.	<c val="ffffff">Mausempfindlichkeit:</c><n/>Regelt, wie empfindlich die Maus reagiert. Bei höherer Empfindlichkeit bewegt sich der Mauszeiger schneller.
<c val="ffffff">Enable Mouse Wheel Zoom:</c><n/>Allows the camera to zoom into or out of the map while using the mouse wheel.	<c val="ffffff">Mausrad-Zoom aktivieren:</c><n/>Lässt die Kamera näher an die Karte heran- oder weiter wegzoomen, indem das Mausrad verwendet wird.
<c val="ffffff">Quick Cast:</c><n/>Determines how attack and ability targeting behaves.<n/><n/><c val="ffffff">Off:</c> Pressing a hotkey to issue an order enters target mode and then <k pre="(" val="TargetChoose" post=")"/> issues the order.<n/><c val="ffffff">On:</c> Pressing a hotkey instantly issues the order in the direction or location of your mouse cursor.<n/><c val="ffffff">On Release:</c> Pressing a hotkey enters targeting mode and releasing the hotkey issues the order in the direction of your mouse cursor.	<c val="ffffff">Schnelleinsatz:</c><n/>Legt fest, wie die Zielfindung bei Angriffen und Fähigkeiten funktioniert.<n/><n/><c val="ffffff">Aus:</c> Durch Drücken des Hotkeys wird die Anvisierung aktiviert und anschließend mit <k pre="(" val="TargetChoose" post=")"/> der Befehl erteilt.<n/><c val="ffffff">Ein:</c> Durch Drücken des Hotkeys wird der Befehl direkt in Richtung oder an der Position des Mauszeigers erteilt.<n/><c val="ffffff">Beim Loslassen:</c> Durch Drücken des Hotkeys wird die Anvisierung aktiviert und beim Loslassen des Hotkeys wird der Befehl in Richtung oder an der Position des Mauszeigers erteilt.
<c val="ffffff">Reduce Mouse Lag:</c><n/>Will make the mouse more responsive, but may drastically reduce frame rate.	<c val="ffffff">Mausverzögerung verringern:</c><n/>Lässt die Maus besser reagieren, kann aber zu einer drastischen Reduzierung der Framerate führen.
<c val="ffffff">Select All Larvae:</c><n/>When enabled, selecting a single larva will select all larvae for that Hatchery.	<c val="ffffff">Alle Larven auswählen:</c><n/>Wenn aktiviert, werden beim Anklicken einer einzelnen Larve alle Larven derselben Brutstätte ausgewählt.
<c val="ffffff">Enable Enemy Unit Selection:</c><n/>When enabled, you can select units that are not under your control including enemy and neutral units.	<c val="ffffff">Auswahl gegnerischer Einheiten:</c><n/>Wenn aktiviert, können Sie Einheiten auswählen, die Sie nicht steuern können, einschließlich neutraler und gegnerischer Einheiten.
<c val="ffffff">Show Current Order Indicator:</c><n/>When enabled, issuing an order to your units will cause an indicator to be displayed on the terrain.	<c val="ffffff">Aktiven Befehlsindikator anzeigen:</c><n/>Zeigt einen Indikator auf dem Boden an, wenn Einheiten ein Bewegungs- oder Angriffsbefehl erteilt wird.
<c val="ffffff">Display Experience Points:</c><n/>When enabled, experience points will be displayed over units and structures when created or destroyed.	<c val="ffffff">Erfahrungspunkte anzeigen:</c><n/>Wenn aktiviert, werden bei ihrer Erstellung oder Vernichtung Erfahrungspunkte über allen Einheiten und Gebäuden angezeigt.
<c val="ffffff">Enable Smart Camera Pan:</c><n/>When enabled, the camera will quickly scroll (instead of jump) to a nearby unit when you click the unit's portrait.  If the unit is not currently in view, it will jump to the location instead.<n/><n/>Double-tapping a control group hotkey will always cause the camera to jump.	<c val="ffffff">Intelligentes Kameraschwenken aktivieren:</c><n/>Wenn aktiviert, wird die Kamera, anstatt zu springen, schnell zu einer nahen Einheit scrollen, wenn man auf ihr Porträt klickt. Falls sich die Einheit nicht in der derzeitigen Ansicht befindet, wird stattdessen zu ihr gesprungen.<n/><n/>Ein doppeltes Drücken des Hotkeys der Steuerungsgruppe wird die Kamera immer zu dieser springen lassen.
<c val="ffffff"> Use Command instead of Control for hotkeys:</c><n/>Use this if you want to use the Command key modifier for the hotkey commands instead of the Control key.	<c val="ffffff">Command-Taste statt der Steuerungstaste verwenden:</c><n/>Nutzen Sie diese Option, wenn Sie die Command-Taste für Hotkey-Befehle an Stelle der Steuerungstaste verwenden möchten.
<c val="ffffff">Disable OS Keyboard Shortcuts:</c><n/>Disables the operating system keyboard shortcuts. Use this if you don't want to accidentally fire operating system shortcuts during the game.	<c val="ffffff">Tastenkombinationen des OS deaktivieren:</c><n/>Deaktiviert die Tastenkombinationen des Betriebssystems. Nutzen Sie diese Option, wenn Sie im Spiel nicht aus Versehen die Tastenkombinationsfunktionen des Betriebssystems auslösen möchten.
<c val="ffffff">Disable Windows Key:</c><n/>Disables the Windows key. Use this if you don't want to accidentally minimize the game.	<c val="ffffff">Windows-Taste deaktivieren:</c><n/>Deaktiviert die Windows-Taste. Diese Funktion verhindert, dass das Spiel aus Versehen minimiert wird.
In order to use this option accessibility needs to be in enabled. Please check the option "Enable access for assistive devices" in the Universal Access System Preferences panel. Would you like to open the System Preferences now?	Um diese Option zu nutzen, muss der Zugriff für Hilfsgeräte aktiviert sein. Bitte markieren Sie die Option "Zugriff für Hilfsgeräte aktivieren" in der Bedienungshilfen-Übersicht. Möchten Sie die Systemeinstellungen jetzt öffnen?
In order to use this option, you must grant access to "%game%" in Security & Privacy preferences, located in System Preferences. Would you like to open System Preferences now?	Um diese Option zu nutzen, muss "%game%" in den Sicherheits- und Privatssphäreneinstellungen der Systemeinstellungen Zugriff gewährt werden. Systemeinstellungen jetzt öffnen?
Mouse and Keyboard	Maus und Tastatur
Expert	Experte
Unavailable Language	Sprache nicht verfügbar
The requested language is not available to this account.  Please select a new language below from the ones available to this account.  After selecting a new language, the game must restart for this language change to take effect.	Die ausgewählte Sprache ist für diesen Account nicht verfügbar. Bitte wählen Sie eine für diesen Account verfügbare Sprache aus. Nachdem eine neue Sprache ausgewählt wurde, muss das Spiel neu gestartet werden, um die Änderung zu übernehmen.
INVITE	EINLADEN
ADD FRIEND	FREUND HINZUFÜGEN
%userName%'s Friends	Freunde von %userName%
Suggest to Lobby	Für Lobby vorschlagen
Invite to Lobby	In Lobby einladen
<h/>Join Game	Spiel <h/>beitreten
Keyboard	Tastatur
Keyboard Scroll Speed:	Scroll-Tempo der Tastatur:
Keyframe Frequency:	Keyframefrequenz:
Killed	Vernichtet
<h/>Ladder	<h/>Rangliste
Language	Sprache
Pick Game Server on Lobby Creation	Spielserverauswahl bei der Lobbyerstellung
Preferred Game Server:	Bevorzugter Spielserver:
Don't show me this message again	Diese Nachricht nicht wieder anzeigen.
Speech and Movie Language:	Sprache der Dialoge und Filmsequenzen:
Text Language:	Sprache der Texte:
Region	Region
Character Select Dialog	Charakter-Auswahldialog
<c val="ffffff">Pick Game Sites For Lobbies:</c><n/>Specifies the preferred game server to use in a Custom Game Lobby.	<c val="ffffff">Auswahl von Spielorten für Lobbys:</c><n/>Spezifiziert den bevorzugten Spielserver für Lobbys von eigenen Spielen.
<c val="ffffff">Preferred Game Server:</c><n/>Specifies the preferred game server to use when matchmaking. Only set this option if you have connection issues to certain game servers. If you're in a party and players have conflicting preferences, it will use whichever game server is most preferred.	<c val="ffffff">Bevorzugter Spielserver:</c><n/>Gibt den Spielserver an, der bevorzugt bei der Spielerzuweisung verwendet werden soll. Diese Option sollte nur verwendet werden, wenn auf bestimmte Spielserver nicht zugegriffen werden kann. In einer Gruppe mit verschiedenen Einstellungen der jeweiligen Spieler wird der Spielserver verwendet, der am meisten bevorzugt wird.
<c val="ffffff">Preferred Game Server:</c><n/>Specifies the preferred game server to use when matchmaking. Only set this option if you have connection issues to certain game servers. If you're in a party and players have conflicting preferences, it will use whichever game server is most preferred.<n/><n/><c val="FF2222">There is only one game server for your current region.</c>	<c val="ffffff">Bevorzugter Spielserver:</c><n/>Gibt den Spielserver an, der bevorzugt bei der Spielerzuweisung verwendet werden soll. Diese Option sollte nur verwendet werden, wenn auf bestimmte Spielserver nicht zugegriffen werden kann. In einer Gruppe mit verschiedenen Einstellungen der jeweiligen Spieler wird der Spielserver verwendet, der am meisten bevorzugt wird.<n/><n/><c val="FF2222">Für Ihre Region gibt es nur einen Spielserver.</c>
<c val="ffffff">Preferred Game Server:</c><n/>Specifies the preferred game server to use when matchmaking. Only set this option if you have connection issues to certain game servers. If you're in a party and players have conflicting preferences, it will use whichever game server is most preferred.<n/><n/><c val="FF2222">You must log in to set this value.</c>	<c val="ffffff">Bevorzugter Spielserver:</c><n/>Gibt den Spielserver an, der bevorzugt bei der Spielerzuweisung verwendet werden soll. Diese Option sollte nur verwendet werden, wenn auf bestimmte Spielserver nicht zugegriffen werden kann. In einer Gruppe mit verschiedenen Einstellungen der jeweiligen Spieler wird der Spielserver verwendet, der am meisten bevorzugt wird.<n/><n/><c val="FF2222">Sie müssen sich einloggen, um diesen Wert festzulegen.</c>
<c val="ffffff">Reset Game Server Latency:</c><n/>Resets and retests latency to all game servers.	<c val="ffffff">Spieleserverlatenz zurücksetzen:</c><n/>Setzt die Latenz in Bezug auf alle Spieleserver zurück und testet sie erneut.
<c val="ffffff">Reset Game Server Latency:</c><n/>Resets and retests latency to all game servers.<n/><n/><c val="FF2222">You must log in to test game server latency.</c>	<c val="ffffff">Spieleserverlatenz zurücksetzen:</c><n/>Setzt die Latenz in Bezug auf alle Spieleserver zurück.<n/><n/><c val="FF2222">Sie müssen sich einloggen, um die Latenz zum Spieleserver zu testen.</c>
Language and Region	Sprache und Region
Large	Groß
Your connection is experiencing high latency and your gameplay experience may be less than ideal.<n/><n/>Reasons for this happening may include:<n/><ul indent="2" text="•"><li>Issues with your local network configuration or internet connection.</li><li>Playing from somewhere far away from our servers.</li></ul>	Die Latenzzeit Ihrer Verbindung ist erhöht, was Ihr Spielerlebnis beeinflussen könnte.<n/><n/>Folgendes sind mögliche Gründe:<n/><ul indent="2" text="•"><li>Probleme mit den Einstellungen Ihres lokalen Netzwerks oder Ihrer Internetverbindung.</li><li>Das Spielen aus großer Entfernung zu unseren Servern.</li></ul>
The link below can't be viewed in your current region: <n/>%s	Die untenstehende Verknüpfung kann in Ihrer derzeitigen Region nicht eingesehen werden:<n/>%s
Launch	Starten
Active Forces	Aktive Truppen
EPM	EAPM
Income	Einkommen
Spending	Ausgaben
Upgrades	Upgrades
<h/>Exit Now	Jetzt <h/>verlassen
Your campaign save has not yet finished uploading to Blizzard services. It is recommended that you wait until this process is finished. Once your campaign save has finished uploading, the game will exit. Pressing Exit Now will cancel the upload and exit the game.	Ihr Kampagnenspielstand wurde noch nicht vollständig auf die Blizzard-Dienste hochgeladen. Es wird empfohlen, das Ende des Prozesses abzuwarten. Sobald Ihr Kampagnenspielstand vollständig hochgeladen wurde, wird das Spiel geschlossen. "Jetzt verlassen" bricht das Hochladen ab und schließt das Spiel sofort.
Uploading Campaign Save	Kampagnenspielstand wird hochgeladen
Lighting:	Beleuchtung:
Listening	Zuhören
LOAD	LADEN
REPLAYS	REPLAYS
Finished Loading	Laden abgeschlossen
Vs.	VS
Add Computer	Computer hinzufügen
Open	Offen
Edit Lobby Name	Lobby-Name ändern
Invite Player: %playerName%	Spieler einladen: %playerName%
Move Here	Hierhin wechseln
Computer (%difficulty%)	Computer (%difficulty%)
%playerName% (%observerType%)	%playerName% (%observerType%)
%playerName%	%playerName%
Switch to Referee	Zum Schiedsrichter ernennen
Switch to Spectator	Zum Zuschauer ernennen
Swap Player Here: %playerName%	Spieler verschieben: %playerName%
%userName% has invited you to a custom game.	%userName% hat Sie in ein benutzerdefiniertes Spiel eingeladen.
%userName% has invited you to a resume replay lobby.	%userName% hat Sie in eine Replay-Lobby eingeladen, um ein Spiel fortzusetzen.
%userName% has invited you to a multiplayer replay lobby.	%userName% hat Sie in eine Replay-Lobby eingeladen, um gemeinsam ein Spiel anzuschauen.
%senderUserName% suggests %suggestedUserName% to the game	%senderUserName% schlägt vor, %suggestedUserName% in das Spiel einzuladen.
%senderUserName% suggests %suggestedUserName% to the resume replay lobby	%senderUserName% schlägt vor, %suggestedUserName% in die Replay-Lobby einzuladen, um ein Spiel fortzusetzen.
%senderUserName% suggests %suggestedUserName% to the multiplayer replay lobby	%senderUserName% schlägt vor, %suggestedUserName% in die Replay-Lobby einzuladen.
Local Game List	Lokale Spieleliste
Location:	Ort:
Log	Log
Clear Error Messages	Fehlernachrichten löschen
Show Error Messages	Fehlernachrichten anzeigen
Show Notification Messages	Benachrichtigungen anzeigen
Show Warning Messages	Warnungen anzeigen
Connecting...	Verbinde ...
Authentication	Authentifizierung
<h/>Login	<h/>Login
Long	Lang
The players in this party are close to your skill level.	Gruppe ähnlichen Könnens
This player is close to your skill level.	Spieler ähnlichen Könnens
Request to Join	Beitreten
No players who are looking for a party were found.<n/><n/>Click the box above to let other players know you are looking for a party.	Es wurden keine Spieler gefunden, die nach einer Gruppe suchen.<n/><n/>Markieren Sie das obige Kästchen, um zu signalisieren, dass Sie eine Gruppe suchen.
Your party is currently full.	Ihre Gruppe ist derzeit vollständig.
Looking For Party	Gruppensuche
Lost	Verloren
Low Sensitivity	Niedrig
Ludicrous	Aberwitzig
<h/>Mail	<h/>Post
Map List	Kartenliste
Tiny	Winzig
Small	Klein
Huge	Riesig
Epic	Episch
Master Volume:	Gesamtlautstärke:
%result% (%points%)	%result% (%points%)
%duration% ago	Vor %duration%
Match with other players against the A.I.	Spiele mit anderen Spielern gegen die K.I.
Cooperative	Co-op
Create a private game with friends.	Erstellen Sie ein privates Spiel mit Freunden.
Compete against others for rank. Play solo or in a party of any size.	Kämpfen Sie allein oder in einer Gruppe gegen andere Spieler, um Ihren Rang zu verbessern.
Play with A.I. allies and opponents.	Spiele mit K.I.-Verbündeten und -Gegnern.
Practice	Üben
Form a team and compete for ultimate glory in the Nexus.	Schließen Sie sich mit anderen zu einem Team zusammen und kämpfen Sie im Nexus um ultimativen Ruhm.
Battle against other players of similar skill.	Spiele gegen andere Spieler ähnlichen Könnens.
This play mode is currently disabled.	Dieser Spielmodus ist zurzeit nicht verfügbar.
Retrieving queue info...	Lade Warteschlangeninformationen ...
Party members are not eligible to play:	Folgende Gruppenmitglieder verfügen nicht über die notwendigen Voraussetzungen für diesen Spielmodus:
Too many players in your party for this play mode	Ihre Gruppe hat für diesen Spielmodus zu viele Mitglieder
Enable Mature Language Filter	Schimpfwortfilter aktivieren
<c val="ffffff">Enable Mature Language Filter:</c><n/>Toggles the game's internal filtration of all mature language.	<c val="ffffff">Schimpfwortfilter aktivieren:</c><n/>Aktiviert den internen Schimpfwortfilter des Spiels.
Mega	Mega
Return to Game	Zurück zum Spiel
%regionName% (Current Region)	%regionName% (Aktuelle Region)
Log In	Einloggen
Logout	Ausloggen
Options	Optionen
Exit Game	Spiel verlassen
Click to switch to a different region.	Zu einer anderen Region wechseln
HIRED	ANGEHEUERT
Hired	Angeheuert
HIRE	ANHEUERN
SELECT A MERCENARY	SÖLDNER AUSWÄHLEN
MERCENARIES	SÖLDNER
Merging	Verschmelzen
Message Log	Nachrichtenlog
MESSAGE LOG	NACHRICHTENLOG
Microphone Boost	Mikrofonverstärkung
Mute OS Microphone	BS-Mikrofon stummschalten
Unmute OS Microphone	BS-Mikrofon aktivieren
Microphone Test:	Mikrofontest:
Microphone Volume:	Mikrofonlautstärke:
The operating system does not report any connected microphone.	Das Betriebssystem meldet kein angeschlossenes Mikrofon.
Your microphone is currently muted by the operating system.<n/>Press the <c val="ffff00">Unmute OS Microphone</c> button to unmute the microphone.	Das Mikrofon ist momentan durch das Betriebssystem in den Stumm-Zustand versetzt worden.<n/>Durch Drücken der Taste <c val="ffff00">"BS-Mikrofon aktivieren"</c> kann der Stumm-Status wieder aufgehoben werden.
1 minute ago	Vor 1 Minute
%d minutes ago	%d Minuten her
Mission Objectives	Missionsziele
New Unit	Neue Einheit
OBJECTIVE:	ZIEL:
BONUS OPPORTUNITIES:	BONUSGELEGENHEITEN:
Shows the time that has elapsed since the beginning of the game.	Zeigt die seit Beginn des Spiels verstrichene Zeit.
Mission:	Mission:
Mod:	Mod:
Models:	Modelle:
1 month ago	Vor 1 Monat
%d months ago	Vor %d Monaten
Mouse	Maus
Enable Mouse Sensitivity	Mausempfindlichkeit aktivieren
Enable Mouse Scroll	Scrollen mit Maus aktivieren
Mouse Scroll Speed:	Scroll-Tempo der Maus:
Mouse Sensitivity:	Mausempfindlichkeit:
Enable Mouse Wheel Zoom	Mausrad-Zoom aktivieren
Move & Turn	Bewegen & Drehen
Movies:	Filme:
%VAL ms	%VAL ms
Teams Even	Gleiche Teams
Favored	Favorisiert
Slightly Favored	Leicht favorisiert
<h/>Multiplayer	<h/>Mehrspielermodus
Music Disabled	Musik deaktiviert
Music Enabled	Musik aktiviert
Music:	Musik:
Mute	Stumm
New Options	Neue Optionen
New Password:	Neues Passwort:
SKIP TUTORIAL?	TUTORIAL ÜBERSPRINGEN?
SKIP TRAINING?	TRAINING ÜBERSPRINGEN?
CONGRATULATIONS!	GLÜCKWUNSCH!
SELECTING YOUR HERO	SO WÄHLEN SIE IHREN HELDEN
STEPPIN' UP!	BEREIT FÜR MEHR?
PRACTICE TIME!	JETZT HEISST ES ÜBEN!
PLAY TUTORIAL	TUTORIAL SPIELEN
SKIP TUTORIAL	TUTORIAL ÜBERSPRINGEN
PLAY TRAINING	TRAINING SPIELEN
SKIP TRAINING	TRAINING ÜBERSPRINGEN
TALENT TRAINING?	TRAINING FÜR TALENTE?
SKIP FOR NOW	VORERST ÜBERSPRINGEN
GO BACK	ZURÜCK
(New)	(Neu)
<h/>News	<h/>Neuigkeiten
No Messages To Display	Keine anzeigbaren Nachrichten
No Valid Resolutions Found	Keine gültigen Auflösungen gefunden
No Tips To Display	Keine Tipps zum Anzeigen
No Tutorials To Display	Keine Tutorials zum Anzeigen
The client you are using cannot be used in the region you have chosen.	Der von Ihnen benutzte Client kann in der gewählten Region nicht verwendet werden.
Noise Sensitivity:	Rauschempfindlichkeit:
Normal Maps:	Normale Karten:
Blocked Lists	Blockierungsliste
Objectives	Ziele
Everyone	Alle
Player Camera	Spielerkamera
Commentator	Kommentator
Observer Interface	Zuschauer-Interface
Replay Interface	Replay-Interface
<c val="ffffff">Display Game Tooltips:</c><n/>Enables the display of tooltips while observing a game.<n/><n/>If Game Tooltips are disabled, holding down<k val="GameTooltipsOn"/> will temporarily enable them.	<c val="ffffff">Tooltips im Spiel anzeigen:</c><n/>Aktiviert die Anzeige von Tooltips für Beobachter.<n/><n/>Wenn die Tooltips deaktiviert sind, können sie mittels<k val="GameTooltipsOn"/> vorübergehend eingeblendet werden.
<c val="ffffff">Observer Interface:</c><n/>Determines which custom interface file will be loaded when entering a game as an observer.	<c val="ffffff">Zuschauer-Interface:</c><n/>Legt fest, welches angepasste Interface geladen wird, wenn Sie einem Spiel als Zuschauer beitreten.
<c val="ffffff">Replay Interface:</c><n/>Determines which custom interface file will be loaded when watching a replay.	<c val="ffffff">Replay-Interface:</c><n/>Legt fest, welche benutzerdefinierte Interface-Datei beim Ansehen eines Replays geladen wird.
<c val="ffffff">Display Replay Time Information:</c><n/>Will toggle timeline information for Replays in both the Replay screen and in-game panel.	<c val="ffffff">Replay-Zeitinformationen anzeigen:</c><n/>Schaltet die Zeitinformationen für Replays sowohl in der Replay-Ansicht als auch im Spiel EIN/AUS.
Hit Point Bars	Trefferpunkteleisten
View Perspective	Perspektive wählen
VISION	SICHT
Observer and Replay	Zuschauer-Interface & Replays
Disabled in offline mode	Im Offline-Modus deaktiviert
<h/>OK	<h/>OK
Old Password:	Altes Passwort:
OPTIONS	OPTIONEN
Some of your options require a game restart to take effect. Would you like to restart now?	Einige der Einstellungen erfordern einen Neustart des Spiels, um wirksam zu werden. Soll das Spiel jetzt neu gestartet werden?
Your options have been saved, but some changes will not go into effect until you restart the game.	Die Einstellungen wurden gespeichert. Einige Änderungen treten erst mit dem Neustart des Spiels in Kraft.
Output	Ausgabe
Output Device:	Ausgabegerät:
<h/>Overview	Ü<h/>bersicht
The file <w>"%fileName%"</w> already exists. Are you sure you want to overwrite it?	Der Speicherstand <w>"%fileName%"</w> existiert bereits. Sind Sie sicher, dass Sie ihn überschreiben möchten?
Invite Pending	Einladung ausstehend
In Your Party	In Ihrer Gruppe
%userName% invited you to a party	%userName% hat Sie in eine Gruppe eingeladen.
%suggestedUserName% requests to join the party	%suggestedUserName% möchte Ihrer Gruppe beitreten.
%suggestedUserName% requests to join the party through %senderUserName%	%suggestedUserName% möchte der Gruppe über %senderUserName% beitreten.
%senderUserName% suggests %suggestedUserName% to the party	%senderUserName% schlägt vor, %suggestedUserName% in die Gruppe einzuladen.
+%amount%	+%amount%
XP	EP
%amount%%	%amount%%
<s val="StandardTooltipHeader">Stimpack currently active</s></n>%bonusXp%% additional experience per game</n>%bonusGold%% additional gold per game</n></n>Time remaining: %duration%	<s val="StandardTooltipHeader">Stimpack derzeit aktiv</s></n>%bonusXp%% mehr Erfahrung pro Spiel</n>%bonusGold%% mehr Gold pro Spiel</n></n>Läuft ab in: %duration%
Play with friends and earn more experience! To start a party, click the "Invite" button below.	Spielen Sie mit Freunden und erhalten Sie mehr Erfahrungspunkte! Um eine Gruppe zu erstellen, klicken Sie unten auf die Schaltfläche "Einladen".
<s val="StandardTooltipHeader">Friend Bonus activated</s></n>%bonus% experience	<s val="StandardTooltipHeader">Freundschaftsbonus aktiv</s></n>%bonus% mehr Erfahrungspunkte
<s val="StandardTooltipHeader">Friend Bonus inactive</s></n>Play in a party with a friend to receive %bonus% more experience</n></n>Note: You must be friends with the players in your party to receive the friend bonus	<s val="StandardTooltipHeader">Freundschaftsbonus nicht aktiv</s></n>Spielen Sie mit Freunden in einer Gruppe und erhalten sie %bonus% mehr Erfahrungspunkte.</n></n>Hinweis: Damit Sie den Freundschaftsbonus erhalten, muss sich mindestens ein Spieler Ihrer Gruppe auf Ihrer Freundesliste befinden.
Gold is used to purchase things in the Shop. You can acquire Gold by completing quests, leveling, and by playing matches.	Mit Gold können Sie im Shop Artikel kaufen. Sie erhalten Gold, indem Sie Quests abschließen, Stufen aufsteigen oder Spiele bestreiten.
%roleType% %role%	%role% (%roleType%)
Promote	Befördern
In-Game	Im Spiel
Disconnected	Verbindung getrennt
<s val="StandardTooltipHeader">Stimpack inactive</s></n>Stimpacks increase the Gold and XP you gain after a match. Visit the Shop to learn more.	<s val="StandardTooltipHeader">Stimpack nicht aktiv</s></n>Durch Stimpacks erhalten Sie nach einem Spiel mehr Gold und Erfahrung. Mehr Infos dazu gibt es im Shop.
Suggest	Vorschlagen
You're invited to play a custom game	Sie haben eine Einladung zu einem benutzerdefinierten Spiel erhalten.
You're invite to play Fun or Not	Sie haben eine Einladung zu "Top oder Flop" erhalten.
You're invited to play a %queueName% game	Sie haben eine Einladung zu einem Spiel der Kategorie %queueName% erhalten.
%readyMembers% / %totalMembers%	%readyMembers% / %totalMembers%
Waiting for party members	Warte auf Gruppenmitglieder
Remaining	verbleibend
You're invited to watch a replay	Sie haben eine Einladung zu einem Replay erhalten.
Password:	Passwort:
A new patch is required to connect to this region.<n/><n/>Restart StarCraft II to automatically install the patch or click Cancel to change regions.	Es wird ein neuer Patch benötigt, um sich mit dieser Region zu verbinden.<n/><n/>Starten Sie StarCraft II neu, um den Patch automatisch zu installieren, oder klicken Sie auf "Abbrechen", um die Region zu wechseln.
Patch Required	Patch benötigt
Peak	Spitzenwert
Physics:	Physik:
<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>   Ping Location<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Cancel	<IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/>  Ping-Ort<n/><IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/>   Abbrechen
Allows you to ping a location on the minimap or game world that only your allies will see.<n/><k val="MinimapPing"/>	Erlaubt das Anpingen eines Ortes auf der Minikarte oder der Spielwelt. Der Ping kann nur von Verbündeten gesehen werden.<n/><k val="MinimapPing"/>
Allows you to ping a location on the minimap or game world that only other observers will see.<n/><k val="MinimapPing"/>	Erlaubt das Anpingen eines Ortes auf der Minikarte oder der Spielwelt. Der Ping kann nur von anderen Beobachtern gesehen werden.<n/><k val="MinimapPing"/>
BONUS OBJECTIVE:	BONUSZIEL:
PLAY	ABSPIELEN
STOP	STOPP
MISSION CONTACT	MISSIONSKONTAKT
Current Credits: %credits%	Aktuelle Credits: %credits%
Select your difficulty	Schwierigkeit wählen
