Amorphous Armorcloud	Nimboarmadura amorfa
PATH OF ASCENSION	SENDERO DE ASCENSIÓN
You lead a small force of Protoss psionic specialists in this challenge. Use their abilities to defeat as many waves of enemy units as you can.	Comandas una fuerza pequeña de unidades especialistas psiónicas protoss. Usa sus habilidades para derrotar tantas oleadas de unidades enemigas como puedas.
PSIONIC ASSAULT	ASALTO PSIÓNICO
Learn how to fight off the early rush attacks that Zerg and Protoss players can bring against you in multiplayer.	Aprende a combatir los ataques tempranos que los jugadores zerg y protoss pueden enviarte en el modo multijugador.
RUSH DEFENSE	DEFENSA APURADA
Send the right Terran units to destroy the units they counter. Protect your Supply Depots from all three waves, and try to keep as many units alive as possible.	Envía a las unidades terran adecuadas para destruir al oponente. Protege tus Depósitos de suministros de las tres oleadas e intenta mantener con vida tantas unidades como sea posible.
TACTICAL COMMAND	COMANDO TÁCTICO
You command a small force of Terran specialist units in this challenge. Race the clock to kill as many enemy units as possible.	Comandas una fuerza pequeña de unidades especialistas terran en este desafío. Corre contra el tiempo para eliminar tantas unidades enemigas como sea posible.
COVERT OPS	OPERACIONES ENCUBIERTAS
Stave off waves of enemy units by sending the best Zerg units for the job. Protect your Spires from all three waves, and try to keep as many of your units alive as possible.	Evita las oleadas de unidades enemigas enviando las mejores unidades zerg para la tarea. Protege tus Espiras de las tres oleadas e intenta mantener con vida tantas unidades como sea posible.
FOR THE SWARM	POR EL ENJAMBRE
The Queen of Blades has provided you with a small force of Roaches and Infestors. Use stealth and trickery to destroy as much of the enemy base as you can before time runs out.	La Reina de las Cuchillas te ha dado una pequeña fuerza de Cucarachas e Infestadores. Con sigilo y artimañas destruye lo más que puedas antes de que se termine el tiempo.
INFESTATION	INFESTACIÓN
ADVANCED	AVANZADO
BASIC	BÁSICO
EXPERT	EXPERTO
Peppy, confident, a little full of herself	Vivaz, confiada y un poco arrogante
Cunning, imperious, cruel	Astuta, imperiosa, cruel
This is the same voice as the Dominion Officer in the Terran tutorial mission. (Already cast). He is a little more cocky and sarcastic this time.	NYI
A pro gamer and professional StarCraft player, Hana Song (known as D.Va to her fans), was drafted into the Korean military to pilot their mecha during a desperate time of war. She streams combat operations to her fans, making her a global icon.	Jugadora profesional y maestra de StarCraft, Hana Song (D.Va para sus fanáticos) se enroló en las filas del ejército coreano para pilotear su robot en épocas de guerra. D.Va transmite en vivo las operaciones de combate para que la vean todos sus seguidores, lo que la ha convertido en un ícono mundial.
Alarak's second in command, Ji'nara is a cunning and cautious manipulator who shares the Highlord's penchant for scheming and deceit. One day, she may challenge Alarak for leadership of the Tal'darim... but not today.	Ji'nara, la segunda de Alarak, es una manipuladora astuta y cautelosa que comparte el deleite del Señor supremo por las maquinaciones y el engaño. Puede que un día desafíe a Alarak por el liderazgo de los tal'darim... pero hoy no.
Cartwright	Cartwright
Terran Adjutant	Adjutora terran
Faraday	Faraday
D.Va	D.Va
Izsha	Izsha
Nathanias	Nathanias
Sgt. Hammer	Sargento Maza
Egon Stetmann	Egon Stetmann
TotalBiscuit	TotalBiscuit
Vermillion	Bermellón
Human	Humano
Cold but soft, intellectual	Frío pero suave, intelectual
Test	Prueba
Authoritative, military	Autoritario, militar
High, sweet, light	Agudo, dulce y suave
Husky, raspy, low	Husky, raspy, low
Powerful, but smooth, refined and regal	Potente, pero suave, refinado y regio
Emma Stone	Emma Stone
Nicole Oliver	Nicole Oliver
Full Power of the Dominion	Poder absoluto del Dominio
<ul indent="0" gap="1"path="Assets\Textures\UI_Battlenet_Glues_PageAssets_BulletPoint.dds" width="0" height="0"><li>Recommended for experienced players</li><li>Conscript a large disposable army of Dominion Troopers</li><li>Control and level up the Royal Guard, your personal elite fighting force</li></ul><n/>	<ul indent="0" gap="1"path="Assets\Textures\UI_Battlenet_Glues_PageAssets_BulletPoint.dds" width="0" height="0"><li>Recomendado para jugadores experimentados</li><li>Recluta un gran ejército descartable de Soldados del Dominio</li><li>Controla y sube el nivel de la Guardia real, tu fuerza guerrera de élite personal</li></ul><n/>
Commander: Abathur	Comandante: Abathur
Commander: Alarak	Comandante: Alarak
Commander: Dehaka	Comandante: Dehaka
Commander: Fenix	Comandante: Fénix
Commander: Han and Horner	Comandante: Han y Horner
Commander: Karax	Comandante: Karax
Commander: Nova	Comandante: Nova
Commander: Stetmann	Comandante: Stetmann
Commander: Stukov	Comandante: Stukov
Commander: Swann	Comandante: Swann
Commander: Tychus	Comandante: Tychus
Commander: Vorazun	Comandante: Vorazún
Commander: Zagara	Comandante: Zagara
Commander: Zeratul	Comandante: Zeratul
You are a StarCraft expert.	Eres un experto de StarCraft.
You are a StarCraft expert looking for a little extra challenge.	Eres un experto de StarCraft en busca de un desafío un poco más difícil.
You are a StarCraft II Co-op aficionado with a friend who is a StarCraft II Co-op aficionado.	Eres un aficionado al modo cooperativo de StarCraft II y tienes un amigo aficionado al modo cooperativo de StarCraft II.
You and your StarCraft II Co-op aficionado friend roll the weekly mutation on the first try with no issue.	Tú y tu amigo aficionado al modo cooperativo de StarCraft II superan las mutaciones semanales al primer intento y sin problemas.
You and your friend are wondering how hard could it really be?	Tú y tu amigo se están preguntando qué tan difícil puede ser.
You enjoy losing.	Te encanta perder.
You enjoy losing a lot.	Te encanta perder mucho.
You have little or no experience playing strategy games.	Tienes poco o nada de experiencia con juegos de estrategia.
You are a StarCraft veteran.	Eres un veterano de StarCraft.
This option is not available in the currently selected Co-op mode.	Esta opción no está disponible en el modo cooperativo seleccionado.
You do not have a valid Brutal+ game available for Retry.  Your last Brutal+ game must have ended in a loss to use Retry.	No tienes una partida Brutal+ válida para Reintentar. Tu última partida Brutal+ tiene que haber terminado en una derrota para poder usar Reintentar.
This option requires level 15 on your selected commander or playing in a party.	Esta opción requiere que el comandante seleccionado sea nivel 15 o bien jugar en un grupo.
This option adds random mutators to a standard Brutal game to increase the challenge, and is not available for the Weekly Mutation or Custom Mutators modes.	Esta opción agrega mutadores aleatorios a una partida Brutal estándar para que el desafío sea más difícil. No está disponible para los modos Mutación semanal o Mutadores personalizados.
You have some experience playing strategy games.	Tienes algo de experiencia con juegos de estrategia.
This option requires playing in a party.	Esta opción requiere jugar en grupo.
You’ve already lost and want to lose again in the same way.  This option is only available when you have lost your last Brutal+ game.<n/><n/>The game will start using the same map, mutators, enemy race, and enemy composition.  You may change your selected commanders.	Ya perdiste y quieres volver a perder de la misma forma. Esta opción solo está disponible cuando has perdido tu última partida en dificultad Brutal+.<n/><n/>La partida comenzará usando el mismo mapa, los mismos mutadores y la misma raza y composición enemigas. Si quieres, puedes cambiar los comandantes seleccionados.
%0% is the difficulty of your current available game for retry.	%0% es la dificultad de tu partida actual para reintentar.
Retry %0%	Reintentar %0%
Brutal+ 2	Brutal+ 2
Brutal+ 3	Brutal+ 3
Brutal+ 4	Brutal+ 4
Brutal+ 5	Brutal+ 5
Brutal+ 6	Brutal+ 6
Retry Brutal+	Reintentar Brutal+
Retry	Reintentar
Look at console, see only potential. Must evolve.	Mirar consola, ver solamente potencial. Debe evolucionar.
Inspire your troops as you Stand as One and fight For the Alliance with this console. <n/><n/>Awarded for registering a copy of Warcraft III: Reforged Spoils of War.	Inspira a tus tropas y actúen como uno para luchar por la Alianza con esta consola. <n/><n/>Se otorga con el registro de una copia de Warcraft III: Reforged Spoils of War.
Put your quarter down and bring a taste of faux wood and cheap plastic to your console.<n/><n/>This skin is exclusive to the "Vorazun: Nerazim" Twitch Prime 2019 bundle.	Prepara tus fichas para jugar y dale un toque de madera falsa y plástico barato a tu consola.<n/><n/>Este diseño es exclusivo del paquete de Twitch Prime de 2019 "Vorazún: Nerazim".
Participate in the StarCraft 20th Anniversary Twitch Stream.	Participa en la transmisión de Twitch del 20.º aniversario de StarCraft.
Lok'tar Ogar, Warchief. Equip this console as you charge into gruesome battle. <n/><n/>Awarded for registering a copy of Warcraft III: Reforged Spoils of War.	Lok'tar Ogar, jefe de guerra. Equipa esta consola para lanzarte a la batalla más feroz. <n/><n/>Se otorga con el registro de una copia de Warcraft III: Reforged Spoils of War.
By equipping this console, you swear your life to Ner'Zhul ...er ...or Aiur. <n/><n/>Awarded for registering a copy of Warcraft III: Reforged Spoils of War.	Si equipas esta consola, juras entregar la vida a Ner'Zhul ...ejem... o Aiur. <n/><n/>Se otorga con el registro de una copia de Warcraft III: Reforged Spoils of War.
Enchant your console with the force of nature and the moon! <n/><n/>Awarded for registering a copy of Warcraft III: Reforged Spoils of War.	¡Encanta tu consola con la fuerza de la naturaleza y la luna! <n/><n/>Se otorga con el registro de una copia de Warcraft III: Reforged Spoils of War.
Enhance your console with the brooding style of Tal'darim chic.	Mejora tu consola con el estilo amenazante de los tal'darim.
Rock your console with the Ihan-rii’s archaeological motif.	Mejora tu consola con el tema arqueológico de los Ihan-rii.
Cloak your console in elegant finery from Shakuras.	Camufla a tu consola con atavíos elegantes de Shakuras.
There's no console like a classic terran console, scratches and all.<n/><n/>This skin is available to all players as part of the StarCraft 20th Anniversary celebration.	No hay como una consola terran clásica, con sus rayones y todo.<n/><n/>Este diseño está disponible para todos los jugadores como parte de la celebración del 20.º aniversario de StarCraft.
Outfit your console with the specialized covert technology of the Dominion Special Forces.	Equipa tu consola con la tecnología encubierta y especializada de las Fuerzas Especiales del Dominio.
Customize your console with the ruthless machinery of Mira's Marauders!	¡Personaliza tu consola con la despiadada maquinaria de los Merodeadores de Mira!
Polish up your console with the gleaming styling of Tyrador.	Pule tu consola con el estilo reluciente de Tyrador.
Engineer your console with well-oiled parts from the Dominion military.	Modifica tu consola con piezas bien aceitadas del ejército del Dominio.
Unleash the ruthlessness of the zerg on your console.<n/><n/>This skin is available to all players as part of the StarCraft 20th Anniversary celebration.	Desata toda la crueldad de los zerg en tu consola.<n/><n/>Este diseño está disponible para todos los jugadores como parte de la celebración del 20.º aniversario de StarCraft.
Synthesize the deadly efficient machinery of the Simulant project as part of your console.	Sintetiza la maquinaria letal y eficiente del proyecto Réplica para tu consola.
Cybernetically enhance your console with the technology of Cerberus.	Añade una mejora cibernética a tu consola con la tecnología de Cerberus.
Mutate your console into a ferocious Primal zerg look from the jungles of Zerus.	Muta tu consola para obtener una feroz apariencia de los zerg primigenios provenientes de las junglas de Zerus.
Upgrade your console to resemble the mighty Purifiers, a highly advanced faction of AI warriors from days past.	Mejora tu consola para que se asemeje a los poderosos Purificadores, una facción muy avanzada de guerreros del pasado controlados por una IA.
Elegant and refined, the Templar console design captures the nobility of the protoss.	El diseño de Templario para la consola es elegante y refinado, y logra capturar la esencia noble de los protoss.
Rock your console in classic terran style that remains popular from Mar Sara to Korhal.	Dale estilo a tu consola con un diseño terran clásico que mantiene su popularidad desde Mar Sara hasta Korhal.
Adapt your console to resemble the fearsome zerg Swarm.	Adapta tu consola para que se asemeje al temible Enjambre zerg.
Alliance	Alianza
Purple Arcade	Arcade púrpura
Galactic Celebration	Celebración galáctica
Horde	Horda
Sentinels	Centinelas
Remastered Protoss	Protoss remasterizado
Ihan-rii	Ihan-rii
Nerazim	Nerazim
Remastered Terran	Terran remasterizado
Special Forces	Fuerzas Especiales
Tyrador	Tyrador
Machined	Mecanizado
Evolved	Evolucionada
Remastered Zerg	Zerg remasterizado
Simulant	Réplica
Cerberus	Cerberus
Primal	Primigenio
Purifier	Purificador
They say a man never really knows himself...	Dicen que un hombre no se conoce a sí mismo...
until his freedom's been taken away.	...hasta que le quitan la libertad.
I wonder...	Me pregunto,
how well do you know yourself?	¿qué tan bien se conoce usted?
Prisoner, step forward onto the platform.	Prisionero, avance hasta la plataforma.
Convict 626.	Convicto 626
Murderer.	...Asesino.
Pirate.	Pirata...
Traitor.	Traidor.
Today... you go free.	Hoy... queda en libertad.
But as you'll soon learn...	Pero pronto verá que...
even freedom has a price.	hasta la libertad tiene precio.
Combat suit sealed... and locked.	Traje de combate sellado... y cerrado.
You'll carry your prison with you. That armor will be your new cell.	Llevará consigo su prisión. Esa armadura será su nueva celda.
Make no mistake...	No lo dude
War is coming.	se acerca la guerra
With all its glory...	con toda su gloria...
and all its horror.	y todo su horror.
Mr. Findlay - your freedom awaits.	Señor Findlay: lo espera su libertad.
Hell... it's about time.	Maldición... Ya era hora.
Sarah.	Sarah
You reading all this?	¿Estás recibiendo todo esto?
You have your orders Mr. Findlay.  Carry them out.	Tiene sus órdenes, señor Findlay. Cumpla con ellas.
Tychus what have you done?	Tychus... ¿qué has hecho?
I made a deal with the devil Jimmy.  She dies I go free.	Hice un pacto con el diablo, Jimmy. Ella muere, yo quedo libre.
We all got our choices to make.	Pues cada uno elige su camino...
Damn shame.	Es triste...
Jim?	¿Jim?
It's okay I gotcha.	Tranquila. Te tengo.
The zerg swarm came as was foretold.	El enjambre zerg llegó como se predijo...
And the protoss,	y los protoss,
first born of the gods, rose to fight them.	primogénitos de los dioses, los enfrentaron.
Now, the Xel'Naga that forged us all, are returning.	Ahora, los Xel'Naga que nos forjaron... están regresando.
But do they come to save,	¿Pero vienen a salvar...?
or to destroy.	¿...O a destruir?
(Laughter)	(Risas)
I knew you'd find your way here ...	Sabía que eventualmente
eventually.	llegarías aquí.
Your very presence defiles this place, Kerrigan.	Tu mera presencia es profana aquí, Kerrigan.
Do you hear them, Zeratul?  Whispering from the stars?	¿Los escuchas, Zeratul, susurrando desde las estrellas?
The galaxy will burn with their coming.	La galaxia arderá con su llegada.
Perhaps ...	Quizás...
But you won't live to see it!	¡...pero no vivirás para verlo!
Please ... our petty conflicts mean nothing now.	Vamos. Nuestros pequeños conflictos ya no tienen significado.
A storm is coming that cannot be stopped.	Viene una tormenta y NADA la detendrá.
Fitting, that we should face oblivion together.	Es oportuno que caigamos juntos en el olvido.
Never!	¡Nunca!
Fate cannot be changed.	El DESTINO no puede cambiarse.
The end comes	El FIN llegará.
And when it finds me ...	Y cuando lo haga...
I shall embrace it at last.	lo recibiré en mis brazos.
The prophecy is uncertain.	La profecía es incierta.
There is always hope.	Siempre hay esperanza.
This is Kerrigan.	Habla Kerrigan.
We've neutralized the protoss, but there's a wave of zerg advancing on this position.	Hemos neutralizado a los protoss, pero hay una ola de zerg avanzando hacia este sector.
We need immediate evac.	Necesitamos evacuar...
Belay that order.	Ignoren esa orden.
We're moving out.	Nos vamos de aquí.
What?!	¿Qué?
You're not just going to leave her!	¿No piensas abandonarlos, o sí?
All ships prepare to move away from Tarsonis on my mark.	Que todas las naves se preparen a salir de Tarsonis a mi orden.
Boys ... how about that evac?	¿Eh, chicos? ¿Y la evacuación qué?
Damn you Arcturus.  Don't do this.	¡Carajo, Arcturus! No lo hagas.
It's done.	Está hecho.
Helmsman, signal the fleet and take us out of orbit.	Timonel, notifique a la flota y sáquenos de órbita.
Now!	¡Ahora!
Commander?	¿Comandante?
What the hell is going on up there?	¿Qué diablos pasa allá arriba...?
Note: We should be able to simply put these together from the mod support dialogue the designers requested.	Note: We should be able to simply put these together from the mod support dialogue the designers requested.
Warning	Advertencia
Terran covert ops	Operaciones encubiertas terran
Zerg Infestation	Infestación
Protoss Psionics	Habilidades psiónicas protoss
Terran Combat	Combate terran
Protoss Combat	Combate protoss
Zerg Combat	Combate zerg
Terran Defense	Defensa terran
Unit Tactics	Tácticas de unidades
Protoss Advanced Commands	Comandos avanzados protoss
For all challenges	Para todos los desafíos
Death from above	Muerte desde arriba
For all challenges terran	Para todos los desafíos terran
For all challenges zerg	Para todos los desafíos zerg
For all challenges protoss	Para todos los desafíos protoss
Opening Strategies	Estrategias de apertura
Terran Opening	Apertura terran
Protoss Opening	Apertura protoss
Zerg Opening	Apertura zerg
Ready	Listo
What	What
Yes	Sí
Pissed	Pissed
Energy Low	Energy Low
Ent Bunk	Ent Bunk
Death	Death
Exit Bunk	Exit Bunk
Evac	Evac
Ghost reporting.	Fantasma a la orden.
Utility	Utilidad
Numbers	Números
Letters	Letras
Outcomes	Resultados
Directions	Direcciones
X Place	X lugar
Greetings/Goodbyes	Saludos/Despedidas
Compliments	Elogios
Colors	Colores
Commentary	Comentario
Progression	Progreso
Events	Eventos
Miscellaneous	Varios
Arcturus	Arcturus
TIP: In the upper left of the screen you will find the Message Log button. Clicking on this will bring up all previous conversations.	CONSEJO: en la esquina superior izquierda de la pantalla encontrarás el botón "Registro de mensajes". Haciendo clic en él abrirás todas las conversaciones pasadas.
Second Objective: Construct a Refinery	Segundo objetivo: construir una Refinería
First Objective: Gather Minerals (0/300)	Primer objetivo: recolectar minerales (0/300)
First Objective: Scroll Camera with Mouse	Primer objetivo: desplazar la cámara con el mouse
Second Objective: Left-Click on Mini Map	Segundo objetivo: hacer clic izquierdo en el Minimapa
First Objective: Select Marine	Primer objetivo: seleccionar Marine
Second Objective: Move Marine	Segundo objetivo: mover Marine
Third Objective: Move Marine into Black Mask	Tercer objetivo: hacer que un Marine entre a la Capa negra
Fourth Objective: Select all Marines	Cuarto objetivo: seleccionar a todos los Marines
Fifth Objective: Move all Marines	Quinto objetivo: mover a todos los Marines
First Objective: Kill the Red Marines	Primer objetivo: matar a los Marines rojos
Second Objective: Kill the Red Marines and Supply Depot	Segundo objetivo: matar a los Marines rojos y destruir el Depósito de suministros
First Objective: Select SCV	Primer objetivo: seleccionar VCE
Second Objective: Build a Command Center	Segundo objetivo: construir un Centro de mando
Third Objective: Gather Vespene Gas (0/100)	Tercer objetivo: recolectar gas vespeno (0/100)
First Objective: Train Marines (0/3)	Primer objetivo: entrenar Marines (0/3)
Second Objective: Construct a Tech-Lab	Segundo objetivo: construir un Tecnolab
Third Objective: Train a Marauder (0/1)	Tercer objetivo: entrenar un Merodeador (0/1)
First Objective: Build a Supply Depot	Primer objetivo: construir un Depósito de suministros
First Objective: Mutate a Hatchery	Primer objetivo: mutar un Larvario
Second Objective: Morph a Drone (0/3)	Segundo objetivo: transformar un Obrero (0/3)
Third Objective: Mutate a Spawning Pool	Tercer objetivo: mutar un Estanque de engendración
Fourth Objective: Morph an Overlord (0/1)	Cuarto objetivo: transformar un Amo Supremo (0/1)
First Objective: Warp in a Nexus	Primer objetivo: transposicionar un Nexo
Second Objective: Warp in a Pylon	Segundo objetivo: transposicionar un Pilón
Three Objective: Warp in a Gateway	Tercer objetivo: transposicionar un Portal
Below is a gentle reminder that plays if the player sits at the tutorial main screen for too long:	A continuación, un dulce recordatorio que se reproducirá si el jugador se queda demasiado tiempo en la pantalla principal del tutorial sin hacer nada:
Easter Egg line if the player leaves the Tutorial main screen idle for 5 minutes.	Línea sorpresa oculta si el jugador deja sin actividad la pantalla principal del tutorial durante 5 minutos.
Tutorial	Tutorial
Movement	Movimiento
Combat	Combate
Terran Base Construction	Construcción de base terran
Terran Resource Collection	Recolección de recursos terran
Terran Unit Production	Producción de unidades terran
Terran Supply	Suministro terran
Zerg Creep	Talo zerg
Zerg Base Construction	Construcción de base zerg
Zerg Unit Production	Producción de unidades zerg
Protoss Base Construction	Construcción de base protoss
Protoss General	Protoss general
Battlefield Features	Características del campo
Control Groups	Grupos de control
Queuing Orders	Órdenes en espera
Chat	Conversación
Unit Abilities	Habilidades de unidades
Assigning Building Rally Points	Asignar puntos de reunión de estructuras
Hotkeys	Teclas rápidas
Scouting	Exploración
Tutorial Intro	Introducción del tutorial
Zerg Base Construction - Queen VO	Zerg - Construcción de base - Reina VO
Zerg - Queen VO	Zerg - Reina VO
Zerg Unit Production - Queen VO	Zerg - Producción de unidades - Reina VO
Protoss General - Executor VO	Protoss- General - Ejecutor VO
Protoss Base Construction - Executor VO	Protoss - Construcción de base - Ejecutor VO
Zerg Creep -- Queen VO	Talo zerg - Reina VO
OBSOLETE LINES	LÍNEAS OBSOLETAS
To increase the maximum number of units available, you must build supply depots. To do this, select an SCV and left-click the Build Structures button.	Para aumentar el máximo de unidades disponibles, debes construir Depósitos de suministros. Selecciona un VCE y haz un clic izquierdo en el botón "Construir estructura",
Left-click on Build Supply Depot and left-click anywhere to place the Supply Depot.	otro en "Construir Depósito de suministros" y otro en un lugar para colocarlo.
Tutorial Load Screen Text	Tutorial - Cargar texto de pantalla
These tutorials will explain basic gameplay in StarCraft II. An introduction to protoss and zerg gameplay is also covered. If you miss anything the Adjutant says you can press Message Log [F11] at any time to see a transcript.	Estos tutoriales explicarán los conocimientos básicos para jugar al StarCraft II. También habrá una introducción al juego con protoss y zerg. Si te pierdes de algo que diga la Adjutora, puedes oprimir Registro de mensajes [F11] cuando quieras para ver una transcripción.
Raynor's Rattler	Cascabel de Raynor
Classic StarCraft	StarCraft clásico
250mm Strike Cannons (Apply Behavior)	Cañones de asalto de 250 mm (Aplicar comportamiento)
250mm Strike Cannons (Create Persistent)	Cañones de asalto de 250 mm (Crear persistente)
250mm Strike Cannons (Damage)	Cañones de asalto de 250 mm (Daño)
250mm Strike Cannons (Dummy)	Cañones de asalto de 250 mm (Simulación)
250mm Strike Cannons (Set)	Cañones de asalto de 250 mm (Establecer)
Arclite Cannon (Damage)	Cañón Arclite (Daño)
AIDanger Damage Large	IA - Peligro - Daño - Grande
AIDanger Damage Small	IA - Peligro - Daño - Pequeño
AIDanger Effect	IA - Peligro - Efecto
Needle Spines (Missile)	Espinas punzantes (Misil)
Arena Turret (Damage)	Torreta con plataforma (Daño)
Assimilator Rich AB	Assimilator Rich AB
Assimilator Rich RB	Assimilator Rich RB
Assimilator Rich Search	Assimilator Rich Search
Assimilator Rich Set	Assimilator Rich Set
Attack Cancel	Atacar - Cancelar
Twin Autocannons (Damage)	Cañones gemelos automáticos (Daño)
Auto Turret Release	Torreta automática - Liberar
Auto Turret Release Launch	Torreta automática - Liberar lanzamiento
Auto Turret (Set)	Torreta automática (Establecer)
Auto turret Timed Life	Torreta automática - Duración limitada
Suicide (Remove Buff)	Suicidio (Quitar potenciación)
Blink (Teleport)	Parpadeo (Teleportar)
Broodling Attack	Ácaro - Ataque
Broodling Escort	Ácaro - Escolta
Broodling Escort CU	Ácaro - Escolta - CU
Broodling Escort Damage	Ácaro - Escolta - Daño
Broodling Escort Damage Set	Ácaro - Escolta - Daño - Configurar
Broodling Escort Damage Unit	Ácaro - Escolta - Daño - Unidad
Broodling Escort Fallback Missile	Ácaro - Escolta - Reserva - Misil
Broodling Escort Impact	Ácaro - Escolta - Impacto
Broodling Escort Impact A	Ácaro - Escolta - Impacto A
Broodling Escort Impact B	Ácaro - Escolta - Impacto B
Broodling Escort Impact Transfer	Ácaro - Escolta - Impacto - Transferir
Broodling Escort Launch	Ácaro - Escolta - Lanzar
Broodling Escort Launch A	Ácaro - Escolta - Lanzamiento A
Broodling Escort Launch B	Ácaro - Escolta - Lanzamiento B
Broodling Escort Launch B Transfer	Ácaro - Escolta - Lanzar B - Transferir
Broodling Escort Missile	Ácaro - Escolta - Misil
Broodling Escort Missile B	Ácaro - Escolta - Misil B
Broodling Escort Release	Ácaro - Escolta - Liberar
Broodling Escort Structure	Ácaro - Escolta - Estructura
Broodling Escort Unit Set	Ácaro - Escolta - Unidad - Configurar
Broodling Timed Life	Ácaro - Duración limitada
Burndown Damage	Incineración - Daño
CCBirthSet	CCBirthSet
CCCreateSet	CCCreateSet
CC Load Dummy	CC - Cargar simulación
CC Unload Dummy	CC - Descargar simulación
Calldown MULE (Create Persistent)	Llamado EMUL (Crear persistente)
Calldown MULE (Create Set)	Llamar EMUL (Crear - Establecer)
Calldown MULE (Create Unit)	Llamar EMUL (Crear unidad)
Calldown MULE (Final Set)	Llamar EMUL (Final - Establecer)
Calldown MULE (Issue Order)	Llamar EMUL (Emitir orden)
Calldown MULE (Timed Life)	Llamado EMUL (Duración limitada)
Cancel Attack Orders	Cancelar órdenes de ataque
Launch Interceptor (Magazine)	Lanzar Interceptor (Cargador)
Timed Life	Duración limitada
Charge (Apply Buff)	Carga (Aplicar potenciación)
Contaminate Apply Behavior	Contaminar - Aplicar comportamiento
Contaminate Dummy	Contaminar - Simulación
Contaminate Launch Missile	Contaminar - Lanzar misil
Crucio Shock Cannon Blast	Cañón de impacto Crucio - Disparo
Crucio Shock Cannon Blast Set	Crucio - Explosión de cañón de impacto - Configurar
Crucio Shock Cannon Directed	Cañón de impacto Crucio - Dirigido
Crucio Shock Cannon Dummy	Cañón de impacto Crucio - Simulación
Crucio Shock Cannon Set	Crucio - Cañón de impacto - Configurar
Disable Caster Energy Regen (Apply Behavior)	Desactivar regen. de energía del lanzador (Aplicar comportamiento)
Disable Caster Weapons Apply Behavior	Deshabilitar armas del lanzador - Aplicar comportamiento
Birth	Nacimiento
Disguise As Marine With Shield Issue Order	Mimetizar como Marine con escudo - Emitir orden
Disguise As Marine Without Shield Issue Order	Mimetizar como Marine sin escudo - Emitir orden
Disguise As Zealot Issue Order	Mimetizar como Zelot - Emitir orden
Disguise As Zergling With Wings Issue Order	Mimetizar como Zerguezno con alas - Emitir orden
Disguise As Zergling Without Wings Issue Order	Mimetizar como Zerguezno sin alas - Emitir orden
Disguise Mimic	Mimetizar - Imitación
Extractor Rich AB	Extractor Rich AB
Extractor Rich RB	Extractor Rich RB
Extractor Rich Search	Extractor Rich Search
Extractor Rich Set	Extractor Rich Set
Force Field Placement	Campo de fuerza - Emplazamiento
Force Field Timed Life	Campo de fuerza - Duración limitada
Frenzy Apply Behavior	Frenesí - Aplicar comportamiento
Frenzy Launch Missile	Frenesí - Lanzar misil
Frenzy Weapon Impact	Frenesí - Impacto de arma
Fungal Growth Apply Movement Behavior	Crecimiento fungoideo - Aplicar comportamiento de movimiento
Fungal Growth (Initial Set)	Crecimiento fungoideo (Establecer inicial)
Fungal Growth Search Dummy	Crecimiento fungoideo - Buscar simulación
Fungal Growth Set	Crecimiento fungoideo - Establecer
Fusion Cutter (Damage)	Cortadora de fusión (Daño)
Ghost Hold Fire B	Ghost Hold Fire B
Ghost Hold Fire Set	Ghost Hold Fire Set
Anti Gravity (Persistent)	Antigravedad (Persistente)
Anti Gravity (Apply Behavior)	Antigravedad (Aplicar comportamiento)
Anti Gravity (Caster Energy Drain)	Antigravedad (Extraer energía del lanzador)
Anti Gravity	Antigravedad
Graviton Beam Halt Terran Build	Rayo de gravitón - Detener - Construcción terran
Anti Gravity (Height Behavior)	Antigravedad (Comportamiento de altura)
Anti Gravity (Initial Set)	Antigravedad (Establecer inicial)
Anti Gravity (Periodic Set)	Antigravedad (Establecer periódico)
GravitonBeamUnburrowTake2	GravitonBeamUnburrowTake2
Guass Rifle	Rifle Gauss
Hallucination (Create Archon)	Alucinación (Crear Arconte)
Hallucination (Create Colossus)	Alucinación (Crear Coloso)
Hallucination (Create High Templar)	Alucinación (Crear Alto Templario)
Hallucination (Create Immortal)	Alucinación (Crear Inmortal)
Hallucination (Create Phoenix)	Alucinación (Crear Fénix)
Hallucination (Create Probe)	Alucinación (Crear Sonda)
Hallucination (Create Stalker)	Alucinación (Crear Persecutor)
Hallucination (Apply Behavior)	Alucinación (Aplicar comportamiento)
Hallucination Create Unit B Hal	Alucinación (Crear unidad B - Hal)
Hallucination Create Unit B Timer	Alucinación (Crear unidad B - temporizador)
Hallucination (Create Void Ray)	Alucinación (Crear Mantarraya del Vacío)
Hallucination (Create Warp Prism)	Alucinación (Crear Prisma de Transposición)
Hallucination (Create Zealot)	Alucinación (Crear Zelot)
HatcheryBirthSet	HatcheryBirthSet
HatcheryCreateSet	HatcheryCreateSet
Herd Interact Move Persistent	Rebaño - Interacción - Movimiento persistente
Herd Interact Set	Rebaño - Interacción - Establecer
Herd Issue Move Order Self	Rebaño - Emitir orden de movimiento - A sí mismo
Herd Issue Stop Order Self	Rebaño - Emitir orden de detención - A sí mismo
Spine Crawler (Launch Missile)	Rastrero punzante (Lanzar misil)
Spine Crawler (Damage)	Rastrero punzante (Daño)
Infested Guass Rifle	Rifle Gauss infestado
Infested Swarm (Create Egg)	Tropa infestada (Crear huevo)
Infested Swarm (Initial Set)	Tropa infestada (Establecer inicial)
Infested Swarm (Launch Missile)	Tropa infestada (Lanzar misil)
