Amorphous Armorcloud	Zasłona amorficzna
<s val="SocialTooltipStatusCategory">Party:</s> In a party with %names%.	<s val="SocialTooltipStatusCategory">Drużyna:</s> w drużynie: %names%.
<s val="SocialTooltipStatusCategory">Party:</s> In a party with %names% and %others%.	<s val="SocialTooltipStatusCategory">Drużyna:</s> w grupie: %names% oraz %others%.
%n0%	%n0%
%n0% and %n1%	%n0% oraz %n1%
%n0%, %n1% and %n2%	%n0%, %n1% i %n2%
%n0%, %n1%, %n2% and %n3%	%n0%, %n1%, %n2% i %n3%
%n0%, %n1%	%n0%, %n1%
%n0%, %n1%, %n2%	%n0%, %n1%, %n2%
%n0%, %n1%, %n2%, %n3%	%n0%, %n1%, %n2%, %n3%
<s val="SocialTooltipStatusCategory">Party:</s> Not in a party.	<s val="SocialTooltipStatusCategory">Drużyna:</s> brak drużyny.
<s val="SocialTooltipStatusCategory">Party:</s> In a party with %others%.	<s val="SocialTooltipStatusCategory">Drużyna:</s> w drużynie: %others%.
In your party.	Gracz jest w twojej drużynie.
<s val="SocialTooltipPenalty">This player is currently silenced and can only speak to friends and party members.</s>	<s val="SocialTooltipPenalty">Gracz jest obecnie uciszony i może rozmawiać jedynie ze znajomymi i członkami drużyny.</s>
Accept Friend Invite	Przyjmij zaproszenie do znajomych
Block Communication	Zablokuj komunikację
Block Friend Requests	Zablokuj zaproszenia do znajomych
This player is already in a party.	Ten gracz jest już w drużynie.
This player is in a game.	Gracz prowadzi rozgrywkę.
This player is already in your party!	Ten gracz jest już w twojej drużynie!
Your party is full.	Twoja drużyna jest pełna.
You can't invite offline players.	Nie można zapraszać niepołączonych graczy.
You must accept or decline your current party invitation.	Musisz przyjąć lub odrzucić bieżące zaproszenie do drużyny.
You can't invite yourself to a party	Nie można zaprosić siebie do drużyny.
This player's party is full.	Drużyna tego gracza jest pełna.
Change Portrait	Zmień portret
Change Name	Zmień nazwę
Ignore Friend Invite	Zignoruj zaproszenie do znajomych
Set Friend Note	Ustaw notatkę
Invite to Game	Zaproś do gry
Invite to Party	Zaproś do drużyny
Join Game	Dołącz do gry
Leave Party	Opuść drużynę
Leave Whisper	Szepnij
Mute Voice	Wycisz głos
Promote to Leader	Awansuj na dowódcę
Remove Friend	Usuń znajomego
Remove From Party	Usuń z drużyny
Report Player	Zgłoś gracza
Request to Join Party	Zaproś mnie
Unblock	Odblokuj
Unmute Voice	Wyłącz wyciszenie głosu
View Friends	Wyświetl znajomych
View Profile	Wyświetl profil
Whisper	Szepnij
Bind Hotkey:	Przypisz skrót klawiszowy:
Bit Depth:	Głębia koloru:
bits	bit
Blob	Plama
BLOCK PLAYER	ZABLOKUJ GRACZA
Are you sure you want to block all communication from %userName%?	Czy na pewno chcesz zablokować wszelką wymianę wiadomości z użytkownikiem %userName%?
Are you sure you want to block friend requests from %userName%?	Czy na pewno chcesz zablokować zaproszenia do znajomych od użytkownika %userName%?
Blocked Friend Requests:	Zablokowane zaproszenia do znajomych:
Bloom	Funkcja Bloom
BONUS MISSION	MISJA DODATKOWA
Stimpack Expired	Koniec działania Stymulatora
Stimpack Expiring	Kończy się działanie Stymulatora
Time Remaining: %duration%	Pozostały czas: %duration%
Display Build Grid	Wyświetl siatkę budowy
Build Time:	Czas tworzenia:
Build:	Twórz:
Set status to busy when playing a game	Ustaw status na „Zajęty” podczas gry
x	x
bytes	b
GB	GB
KB	KB
MB	MB
Blocked Communication:	Zablokowana komunikacja:
<c val="ffffff">Unblock User:</c><n/>Allow selected user to chat with you again.	<c val="ffffff">Odblokuj użytkownika:</c><n/>Wybrany użytkownik ponownie będzie mógł z tobą rozmawiać.
<s val="CreditsSmallHeading_HotS">GAME DESIGN</s></n>Blizzard Entertainment	<s val="CreditsSmallHeading_HotS">PROJEKT GRY</s></n>Blizzard Entertainment
LEADERSHIP	LEADERSHIP
BUSINESS OPERATIONS	BUSINESS OPERATIONS
DESIGN	DESIGN
ENGINEERING	ENGINEERING
SUPPORT	SUPPORT
TESTING	TESTING
STORY & FRANCHISE DEVELOPMENT	STORY & FRANCHISE DEVELOPMENT
CUSTOMER SUPPORT & SERVICE TECHNOLOGIES	CUSTOMER SUPPORT & SERVICE TECHNOLOGIES
HUMAN RESOURCES & INTERNAL COMMUNICATIONS	HUMAN RESOURCES & INTERNAL COMMUNICATIONS
QUALITY ASSURANCE & LOCALIZATION	QUALITY ASSURANCE & LOCALIZATION
BUSINESS DEVELOPMENT & CORPORATE ALLIANCES	BUSINESS DEVELOPMENT & CORPORATE ALLIANCES
INTERNATIONAL PUBLISHING & OPERATIONS MANAGEMENT	INTERNATIONAL PUBLISHING & OPERATIONS MANAGEMENT
INTEGRATED MARKETING	INTEGRATED MARKETING
ESPORTS	ESPORTS
WEB & MOBILE	WEB & MOBILE
VAULT	VAULT
INTERNS & CONTRACTORS	INTERNS & CONTRACTORS
FACILITIES & PURCHASING	FACILITIES & PURCHASING
TECHNOLOGY, STRATEGY, & PLANNING	TECHNOLOGY, STRATEGY, & PLANNING
BATTLE.NET	BATTLE.NET
Security	Security
Strategy & Planning	Strategy & Planning
Information Systems	Information Systems
Program Management Office	Program Management Office
Service Intelligence	Service Intelligence
Corporate Applications	Corporate Applications
CUSTOMER SERVICE & SERVICE TECHNOLOGIES	CUSTOMER SERVICE & SERVICE TECHNOLOGIES
GLOBAL HUMAN RESOURCES	GLOBAL HUMAN RESOURCES
GLOBAL SECURITY	GLOBAL SECURITY
CORPORATE ALLIANCES & BUSINESS DEVELOPMENT	CORPORATE ALLIANCES & BUSINESS DEVELOPMENT
WORLDWIDE REGIONAL OPERATIONS	WORLDWIDE REGIONAL OPERATIONS
GLOBAL PUBLISHING	GLOBAL PUBLISHING
GLOBAL INSIGHTS	GLOBAL INSIGHTS
CORPORATE COMMUNICATIONS	CORPORATE COMMUNICATIONS
FORGE	FORGE
CUSTOMER SUPPORT	CUSTOMER SUPPORT
FINANCE, BUSINESS INTELLIGENCE, & FACILITIES	FINANCE, BUSINESS INTELLIGENCE, & FACILITIES
SCII 2017	SCII 2017
Art Manager	Kierownik ds. grafiki
Campaign Artists	Graficy kampanii
Lead User Interface Artist	Główny grafik interfejsu użytkownika
User Interface Artist	Grafik interfejsu użytkownika
Technical Artist	Grafik techniczny
Lead Technical Artist	Główny grafik techniczny
Lead Artist	Główny grafik
Additional Artists	Dodatkowi graficy
Assistant Art Director	Zastępca dyrektora artystycznego
Story Directors	Dyrektorzy fabularni
Art Director	Dyrektor artystyczny
Game Director	Reżyser gry
Executive Producer	Główny producent
Production Director	Kierownik produkcji
Game Design Lead	Główny projektant gry
Graphics Engineers	Inżynierowie graficzni
Game Systems Engineers	Inżynierowie systemów gry
Lead Online Platform Engineer	Główny inżynier platformy online
Lead Mac Engineer	Główny inżynier dla komputerów Mac
Lead Tools Engineer	Główny inżynier narzędzi
Online Platform Engineers	Inżynierowie platformy online
User Interface Engineers	Inżynierowie interfejsu użytkownika
Online Engineers	Inżynierowie gry online
Tools Engineers	Inżynierowie narzędzi
Lead Automation Engineers	Główny inżynier automatyzacji
Mac Engineers	Inżynierowie dla komputerów Mac
Design Manager	Kierownik ds. projektowania
Lead Co-Op Designer	Główny projektant trybu współpracy
Lead Multiplayer Designer	Główny projektant trybu wieloosobowego
Automation Producers	Producenci automatyzacji
Game Producers	Producenci gry
Human Resources Manager	Kierownik działu kadr
Administration	Administracja
Sound Supervisor	Nadzór nad udźwiękowieniem
Test Analyst	Analityk działu testów
Video & Post Production, Production	Dział wideo i postprodukcji – produkcja
Senior Vice President, Story & Franchise Development Operations	Starszy wiceprezes działu operacyjnego ds. rozwoju fabuły i marki
Additional Sound Design & Implementation	Dodatkowe udźwiękowienie i implementacja
Consumer Products Team	Zespół ds. produktów konsumenckich
Director, Video & Post Production	Dyrektor ds. wideo i postprodukcji
Vice President, Global Consumer Products	Wiceprezes globalnego działu produktów
Director of Production, Blizzard Animation & Creative Development	Kierownik produkcji w dziale animacji i twórczym Blizzard
Blizzard Animation, Leadership	Kierownictwo działu animacji Blizzarda
Blizzard Animation, Artists	Artyści działu animacji Blizzarda
Blizzard Animation, Technology	Technolodzy działu animacji Blizzarda
Director of Operations, Story & Franchise Development	Dyrektor ds. operacji w dziale rozwoju fabuły i marki
Creative Development, Writers	Scenarzyści w dziale rozwoju twórczego
Creative Development, Production	Produkcja w dziale rozwoju twórczego
Director, Operations and Product Planning	Dyrektor ds. operacji i planowania produktów
Consumer Products, Leadership	Kierownictwo działu produktów konsumenckich
Blizzard Animation, Production	Produkcja w dziale animacji Blizzarda
Blizzard Animation, VFX Supervisor	Dział animacji Blizzarda – nadzór nad efektami specjalnymi
Blizzard Animation, Director of Technology	Dział animacji Blizzarda – dyrektor ds. technicznych
Blizzard Animation, Show Leadership	Dział animacji Blizzarda – kierownictwo ds. prezentacji
Additional Artists, Technology, and Production	Dodatkowi artyści technologii i produkcji
Video & Post Production, Filming & Capture	Filmowanie i ujęcia dla działu wideo i postprodukcji
Video & Post Production, Editorial	Montaż dla działu wideo i postprodukcji
Story & Franchise Development Administrative Support	Wsparcie administracyjne działu rozwoju fabuły i marki
Audio, Cinematics	Dźwięk w sekwencjach filmowych
Operations Team, Story & Franchise Development	Zespół ds. operacyjnych, dział rozwoju fabuły i marki
Video & Post Production, Creative	Dział wideo i postprodukcji – zespół kreatywny
Creative Development, Lore	Specjaliści ds. tła fabularnego w dziale rozwoju kreatywnego
Blizzard Animation, Show Leads	Dział animacji Blizzarda – główni specjaliści ds. prezentacji
Creative Development, Editors	Redaktorzy działu rozwoju kreatywnego
Senior Vice President, Story & Franchise Development	Starszy wiceprezes ds. rozwoju fabuły i marki
The Vault, Curation	Nadzór nad archiwami
The Vault, Digital Assets	Archiwum zasobów cyfrowych
The Vault, Library and Archive	Biblioteka i archiwum
Senior Vice President, Global Customer Service & Service Technologies	Starszy wiceprezes globalnego działu obsługi klienta i technologii usług
Senior Director, Customer Service Americas	Starszy dyrektor działu obsługi klienta w obu Amerykach
Senior Manager Regional Planning and Support Services, Customer Service Americas	Starszy kierownik ds. planowania regionalnego i usług wsparcia w dziale obsługi klienta w obu amerykach
Senior Regional Director, Customer Service Europe	Starszy regionalny dyrektor ds. obsługi klienta w Europie
Director of Service Delivery, Europe	Dyrektor ds. dostarczania usług – Europa
Regional Director, Customer Service Asia	Starszy regionalny dyrektor ds. obsługi klienta w Azji
Customer Service Americas	Dział obsługi klienta – Ameryki
Customer Service Korea	Dział obsługi klienta – Korea
Group Management, Customer Service Americas	Kierownictwo grup, dział obsługi klienta – Ameryki
Customer Service Europe	Dział obsługi klienta – Europa
Regional Planning and Support Services Management, Customer Service Americas	Zarządzanie planowaniem regionalnym i usługami wsparcia w dziale obsługi klienta w obu amerykach
Regional Planning and Support Services Team, Customer Support Americas	Zespół ds. planowania regionalnego i obsługi klienta w dziale obsługi klienta w obu amerykach
Learning and Development Team, Customer Service Americas	Zespół ds. badań i rozwoju, dział obsługi klienta – Ameryki
Group Management, Customer Service Europe	Kierownictwo grup, dział obsługi klienta – Europa
Regional Planning and Support Services Management, Customer Service Europe	Regionalne kierownictwo ds. planowania i usług wsparcia, dział obsługi klienta – Europa
Regional Planning and Support Services Team, Customer Service Europe	Regionalny zespół ds. planowania i usług wsparcia, dział obsługi klienta – Europa
Learning and Development Team, Customer Service Europe	Zespół ds. badań i rozwoju, dział obsługi klienta – Europa
Group Management, Customer Service Korea	Kierownictwo grup, dział obsługi klienta – Korea
Regional Planning and Support Services Manager, Customer Service Korea	Regionalny kierownik ds. planowania i usług wsparcia, dział obsługi klienta – Korea
Regional Planning and Support Services Team, Customer Service Korea	Regionalny zespół ds. planowania i usług wsparcia, dział obsługi klienta – Korea
Learning and Development Team, Customer Service Korea	Zespół ds. badań i rozwoju, dział obsługi klienta – Korea
Customer Service Manager, Customer Support Taiwan	Kierownik działu obsługi klienta w Tajwanie
Support Information Team, Customer Service Taiwan	Zespół ds. pomocy technicznej, dział obsługi klienta – Tajwan
Customer Service Manager, Customer Service China	Kierownik działu obsługi klienta w Tajwanie
Customer Service Operations Team, Customer Service China	Zespół operacyjny ds. obsługi klienta w Chinach
Director, Global Customer Service Operations	Dyrektor globalnego zespołu operacyjnego ds. obsługi klienta
Global Customer Service Operations Management	Zarządzanie globalnym zespołem operacyjnym ds. obsługi klienta
Global Customer Service Operations Team	Zespół operacyjny ds. obsługi klienta
Director, Service Technologies	Dyrektor działu technologii usług
Service Technologies Team	Zespół ds. technologii usług
Service Technologies Leadership	Kierownictwo działu technologii usług
Service Technologies Management	Zarządzanie technologią usług
Customer Service & Service Technologies Administrative Support	Wsparcie administracyjne działu usług dla klienta i technologii usług
Finance, Accounting, & Administration Team	Zespół ds. finansów, księgowości i administracji
Vice President, Global Finance	Globalny wicedyrektor finansowy
Finance Directors	Dyrektorzy finansowi
Internal Communications Team	Zespół ds. komunikacji wewnętrznej
Vice President, Global Human Resources	Wiceprezes ds. globalnych kadr
Human Resources Team	Zespół działu kadr
Vice President, Human Resources	Wiceprezes działu kadr
Senior Human Resources Director, Product Development	Starszy dyrektor ds. kadr w dziale rozwoju projektu
Senior Director, Talent & Organizational Development	Starszy dyrektor działu rozwoju talentów i organizacji
Human Resources Directors	Kierownicy działu kadr
Global Rewards Team	Globalny zespół ds. nagród
Talent Acquisition Team	Zespół ds. pozyskiwania talentów
Talent & Organizational Development Team	Zespół ds. rozwoju talentów i organizacji
Legal Team	Zespół działu prawnego
Vice President & General Counsel	Wiceprezes i generalny doradca
Game Product Lead	Główny specjalista ds. produktu i gry
Vice President, Global Quality Assurance & Localization	Wiceprezes globalnego działu kontroli jakości i lokalizacji
Director, Operations	Dyrektor działu operacji
Business Manager	Kierownik biznesowy
Director, Global Localization	Dyrektor globalnego działu lokalizacji
Quality Assurance Management	Kierownictwo działu kontroli jakości
Compatibility Management	Kierownictwo działu kompatybilności
Senior Manager, Quality Assurance	Starszy kierownik działu kontroli jakości
Localization QA Team	Zespół ds. KJ lokalizacji
Quality Assurance Team	Zespół ds. kontroli jakości
Localization Department Management	Kierownictwo działu lokalizacji
Localization and QA Director, Europe	Dyrektor ds. KJ i lokalizacji na Europę
QA and Localization Administrative Support	Wsparcie administracyjne działu KJ i lokalizacji
Localization Project Management	Kierownictwo działu lokalizacji
Localization Team	Zespół ds. lokalizacji
Director, Quality Assurance	Dyrektor działu kontroli jakości
Vice President, Global Business Development & Corporate Alliances	Wiceprezes działu rozwoju biznesowego i współpracy korporacyjnej
Business Development & Corporate Alliances Director	Dyrektor działu rozwoju biznesowego i współpracy korporacyjnej
Business Development & Corporate Alliances Management	Kierownictwo działu rozwoju biznesowego i współpracy korporacyjnej
Business Development & Corporate Alliances Team	Zespół działu rozwoju biznesowego i współpracy korporacyjnej
International Operations, Game Project Management	Operacje międzynarodowe, zarządzanie projektami gier
Managing Director, Latin America	Dyrektor zarządzający w Ameryce Łacińskiej
Managing Director, Australia and New Zealand	Dyrektor zarządzający w Australii i Nowej Zelandii
Director of Operations, South East Asia	Dyrektor operacyjny w Azji południowo-wschodniej
Managing Director, Taiwan	Dyrektor zarządzający w Tajwanie
Vice President & Managing Director, China	Wicedyrektor i dyrektor zarządzający w Chinach
Director of Operations, Korea	Dyrektor operacyjny w Korei
Vice President & Managing Director, Asia	Wicedyrektor i dyrektor zarządzający w Azji
Vice President & Managing Director, Europe	Wicedyrektor i dyrektor zarządzający w Europie
Senior Director of Business Operations, Europe	Starszy dyrektor operacyjny ds. handlowych – Europa
Regional Operations Management	Regionalne kierownictwo operacjami
International Publishing & Operations Management Administrative Support	Wsparcie administracyjne kierownictwa ds. międzynarodowej działalności wydawniczej i operacyjnej
Business Strategy & Planning Director, Asia	Dyrektor działu strategii biznesowej i planowania na Azję
International Operations, Game Product Management	Operacje międzynarodowe, zarządzanie produktem i grą
President & Chief Executive Officer	Prezes i dyrektor generalny
Executive Support	Wsparcie kierownictwa
Chief Development Officer	Dyrektor ds. rozwoju
Chief Technology Officer	Dyrektor ds. technicznych
Executive Vice President of Corporate Operations	Dyrektor wykonawczy ds. operacji
Chief Financial Officer	Dyrektor finansowy
Executive Vice President of International & Customer Service	Dyrektor wykonawczy ds. zarządzania usługami międzynarodowymi i obsługą klienta
Chief of Staff	Dyrektor ds. personalnych
Executive Leadership	Kierownictwo wykonawcze
Public Relations Management	Kierownictwo działu PR
Public Relations Team	Zespół działu PR
Community Management	Kierownictwo ds. społeczności
Community Team	Zespół ds. społeczności
Marketing Management	Kierownictwo marketingu
Marketing Team	Zespół ds. marketingu
Public Relations Directors	Dyrektorzy działu PR
Creative Directors	Dyrektorzy kreatywni
Marketing Directors	Dyrektorzy działu marketingu
Community Directors	Dyrektorzy ds. społeczności
Global Esports Team	Globalny zespół ds. e-sportu
Senior Manager	Starszy kierownik
Collegiate and Amateur Esports Managers	Kierownicy ds. studenckich i amatorskich rozgrywek e-sportowych
Collegiate and Amateur Esports Team	Zespół ds. studenckich i amatorskich rozgrywek e-sportowych
Esports Administrative Support	Wsparcie administracyjne działu e-sportu
Additional Team Members	Dodatkowi członkowie zespołu
Senior Director	Starszy kierownik
Web & Mobile Team Leadership	Kierownictwo zespołu ds. Internetu i urządzeń przenośnych
Director of Web & Mobile	Dyrektor działu Internetu i urządzeń przenośnych
Web & Mobile, Design	Projektowanie w dziale Internetu i urządzeń przenośnych
Web & Mobile, Program Management	Zarządzanie programem w dziale Internetu i urządzeń przenośnych
Web & Mobile, Editorial	Redakcja działu Internetu i urządzeń przenośnych
Web & Mobile, Engineering	Inżynierowie działu Internetu i urządzeń przenośnych
Web & Mobile Group Managers	Kierownicy grupy ds. Internetu i urządzeń przenośnych
Web & Mobile Administrative Support	Wsparcie administracyjne działu Internetu i urządzeń przenośnych
Interns & Contractors	Praktykanci i kontrahenci
Senior Director, Business Intelligence & Risk	Starszy dyrektor ds. wywiadu biznesowego i szacowania ryzyka
Business Intelligence & Risk Management	Kierownictwo ds. wywiadu biznesowego i szacowania ryzyka
BI & Risk Systems	Systemy analityczne i zarządzania ryzykiem
Project Management	Zarządzanie projektem
Data Engineering	Dział programowania danych
Data Science	Zespół naukowy ds. danych
Business and Gameplay Insights	Analizy biznesu i rozgrywki
Report Development	Rozwój sprawozdawczości
Senior Director, Global Purchasing & Facility Management	Starszy dyrektor ds. zarządzania globalnymi zakupami i zapleczem
Facilities & Purchasing Team	Zespół ds. zakupów i zaplecza
Facilities & Purchasing Management	Zarządzanie zakupami i zapleczem
Vice President of Technology, Strategy, & Planning	Wiceprezes działu technologii, strategii i planowania
Engineering	Inżynieria
Production	Produkcja
Art	Grafika
Director, Engineering	Dyrektor inżynierii
Director, Program Management	Dyrektor ds. zarządzania programem
Group Leadership	Kierownictwo grupy
Battle.net Engineering	Inżynieria platformy Battle.net
Battle.net User Experience	Wrażenia użytkowników platformy Battle.net
Battle.net Administrative Support	Wsparcie administracyjne platformy Battle.net
Battle.net Knowledge Management	Zarządzanie wiedzą na platformie Battle.net
Battle.net Program Management	Zarządzanie programowe na platformie Battle.net
Senior Vice President, Global Technology Operations	Starszy wiceprezes ds. globalnych operacji technologicznych
Information Technology Department Management	Kierownictwo działu technologii informacyjnej
IT Administrative Support	Wsparcie administracyjne działu IT
Corporate Applications Management	Kierownictwo działu zastosowań korporacyjnych
Corporate Applications Analysts	Analitycy działu zastosowań korporacyjnych
Corporate Applications Engineering	Inżynieria w dziale zastosowań korporacyjnych
Corporate Applications Product Design	Projektowanie produktu w dziale zastosowań korporacyjnych
Corporate Applications Program Management	Kierownictwo działu zastosowań korporacyjnych
Director, Information Systems	Dyrektor działu systemów informatycznych
Information Systems Management	Kierownictwo działu systemów informatycznych
Information Systems Administration	Zarządzanie działem systemów informatycznych
Information Systems Engineering	Inżynieria działu systemów informatycznych
Information Systems Technicians	Technicy działu systemów informatycznych
Director, Infrastructure Engineering	Dyrektor działu inżynierii infrastrukturalnej
Infrastructure Engineering Management	Kierownictwo działu inżynierii infrastrukturalnej
Data Center Management	Kierownictwo centrum danych
Infrastructure Administration	Administracja infrastrukturalna
Senior Manager, Operations Center	Starszy kierownik ośrodka operacji
Operations Center Management	Kierownictwo ośrodka operacji
Process Engineering	Inżynieria procesów
Operations Engineering	Dział programowania operacyjnego
Program Management	Zarządzanie programem
Director, Service Engineering	Dyrektor ds. inżynierii usług
Director, Service Intelligence	Dyrektor ds. wywiadu usługowego
Service Management	Kierownictwo działu usług
Project Analyst	Analityk projektu
Senior Manager, Strategy & Planning	Starszy kierownik działu strategii i planowania
Strategy & Planning Analyst	Analityk działu strategii i planowania
Technical Writing	Tworzenie dokumentacji technicznej
Program Management Leads	Kierownictwo zarządzania programowego
Security Management	Zarządzanie bezpieczeństwem
Security Engineering	Inżynieria działu bezpieczeństwa
Security Operations	Operacje zabezpieczeń
Director, Global Security Operations	Dyrektor ds. operacji bezpieczeństwa globalnego
Vice President, Global Security	Wiceprezes ds. zabezpieczeń globalnych
Technical Director	Dyrektor techniczny
Business Operations	Operacje biznesowe
Game Designers	Projektanci gry
Technical Designers	Projektanci techniczni
Lead User Interface Designer	Główny projektant interfejsu
Lead Writer	Główny scenarzysta
Writers	Scenarzyści
Additional Designers	Dodatkowi projektanci
Engineering Manager	Kierownik działu inżynierii
Lead Graphics Engineer	Główny inżynier graficzny
Lead Game Systems Engineer	Główny inżynier systemów gry
Automation Engineers	Inżynierowie automatyzacji
Additional Engineers	Dodatkowe prace inżynieryjne
Localization Producers	Producenci lokalizacji
Mac Producer	Producenci dla komputerów Mac
Voice Over Producer	Producent nagrań
Additional Production	Dodatkowa produkcja
Sound Designers	Projektanci udźwiękowienia
Lead Composer	Główny kompozytor
Casting & Voice Director	Obsada i reżyseria
Additional Sound Design	Dodatkowe udźwiękowienie
Sound Supervisor, Cinematics	Nadzór nad udźwiękowieniem filmów
Cinematic Sound Producer	Produkcja udźwiękowienia filmów
Community Team Manager	Kierownik zespołu ds. społeczności
Marketing Director	Dyrektor działu marketingu
Public Relations Manager	Kierownik ds. PR
Test Leads	Główni testerzy
Test Manager	Kierownik ds. testów
Additional Development	Dodatkowe prace twórcze
Lead User Interface Engineer	Główny inżynier interfejsu
Concept Artist	Graficy koncepcyjni
Editor Engineers	Inżynierowie edytora
Lead Technical Designer	Główny projektant techniczny
Voice Over Designer	Projektant ds. nagrań
Lead Editor Engineer	Główny inżynier edytora
User Interface Designer	Projektant interfejsu
Test Analysts	Analityk ds. testów
Director of Technology, Blizzard Animation	Dyrektor ds. technologii w dziale animacji Blizzarda
Audio, Voice Over	Dział audio, Dubbing
Senior Casting & Voice Director	Starszy kierownik ds. obsady i dubbingu
Supervising Sound Designer, Cinematics	Kierownik ds. dźwięku w sekwencjach filmowych
The Vault	Archiwum
Vice President, Story & Franchise Development	Wiceprezes ds. rozwoju fabuły i marki
Director, Creative Development	Dyrektor działu rozwoju kreatywnego
Vice President, Customer Service EU & Asia	Wiceprezes działu obsługi klienta – Azja i Europa
Customer Service & Service Technologies Admin Support and HQ Receptionists	Wsparcie administracyjne i sekretarki głównej siedziby działu usług dla klienta i technologii usług
Customer Service Taiwan	Dział obsługi klienta – Tajwan
Regional Planning and Support Services Team, Customer Service Taiwan	Regionalny zespół ds. planowania i usług wsparcia, dział obsługi klienta – Europa
Regional Planning and Support Services Manager, Customer Service Taiwan	Regionalny kierownik ds. planowania i usług wsparcia, dział obsługi klienta – Tajwan
Customer Service Operations Manager, Customer Service Taiwan	Kierownik operacyjny działu obsługi klienta – Tajwan
Senior Manager, Customer Service Korea	Starszy kierownik działu obsługi klienta – Korea
Finance Vice Presidents	Wiceprezes działu finansowego
Vice President, Talent Acquisition	Wiceprezes działu pozyskiwania talentów
Human Resources Information Systems Team	Zespół ds. systemów informatycznych w dziale kadr
General Counsel	Ogólny doradca
Business Management	Kierownictwo biznesowe
Operations Management	Kierownictwo działu operacyjnego
Localization and QA Regional Department Management	Regionalne kierownictwo działu KJ i lokalizacji
Localization and QA Regional Directors	Regionalni dyrektorzy ds. KJ i lokalizacji
Localization, Project Management	Kierownictwo działu lokalizacji
Quality Assurance Directors	Dyrektorzy działu kontroli jakości
Localization, Audio-Visual	Dział lokalizacji, Lokalizacja audiowizualna
Localization, Editing	Dział lokalizacji, Redakcja
Localization Translation	Dział lokalizacji, Tłumaczenie
Localization Specialists	Specjaliści ds. lokalizacji
Vice President, Global Corporate Alliances & Business Development	Wiceprezes działu globalnego rozwoju biznesowego i współpracy korporacyjnej
Director, Corporate Alliances	Dyrektor działu współpracy korporacyjnej
Corporate Alliances Management	Kierownictwo działu współpracy korporacyjnej
Corporate Alliances & Business Development Team	Zespół ds. współpracy korporacyjnej i rozwoju biznesowego
Business Development Management	Kierownictwo działu rozwoju biznesowego
Regional Publishing Operations, Game Project Management	Regionalne operacje wydawnicze, zarządzanie projektami gier
Regional Publishing Management	Regionalne kierownictwo ds. wydawniczych
Regional Publishing & Operations Management Administrative Support	Regionalne wsparcie administracyjne kierownictwa ds. działalności wydawniczej i operacyjnej
Chief Development & Technology Officer	Główny dyrektor ds. rozwoju i technologii
Executive Vice President, Corporate Operations	Wiceprezes wykonawczy ds. operacji korporacyjnych
Executive Vice President, Worldwide Regional Operations	Wiceprezes wykonawczy ds. regionalnych operacji międzynarodowych
Chiefs of Staff	Dyrektor ds. personalnych
Senior Vice President, Global Publishing	Starszy wiceprezes ds. globalnych operacji wydawniczych
Community Team Management	Kierownictwo zespołu ds. społeczności
Public Relations Director	Dyrektor działu PR
Sr. Director, Global Community and Publishing Operations	Starszy kierownik działu operacji wydawniczych i globalnej społeczności
Global Publishing Administrative Support	Wsparcie administracyjne globalnego działu wydawniczego
Events Director	Dyrektor działu wydarzeń
Events Management	Kierownictwo działu wydarzeń
Events Team	Zespół działu wydarzeń
Esports Directors	Kierownicy ds. e-sportu
Senior Global Director, Esports	Starszy globalny kierownik ds. e-sportu
Director, Web & Mobile	Dyrektor działu Internetu i urządzeń przenośnych
Web & Mobile, Administrative Support	Wsparcie administracyjne działu Internetu i urządzeń przenośnych
Game Franchise Analytics	Analitycy ds. marki gry
Blizzard Analytics	Analitycy Blizzarda
Publishing Analytics	Analitycy ds. wydawniczych
Software Engineering	Inżynieria oprogramowania
Director, Program Management and User Experience	Dyrektor ds. zarządzania programem i wrażeń użytkownika
Senior Director, Program Management	Starszy kierownik ds. zarządzania programem
Director, Site Reliability Engineering	Dyrektor działu inżynierii niezawodności strony
Site Reliability Engineering	Inżynierowie ds. niezawodności strony
Service Intelligence Analyst	Analityk działu wywiadu usługowego
Program Management Leadership	Kierownictwo działu zarządzanie programem
Director, Corporate Applications	Dyrektor działu zastosowań korporacyjnych
Site Reliability Engineering Management	Kierownictwo działu inżynierii niezawodności strony
Director, Operations Center	Dyrektor ośrodka operacji
Database Engineering	Inżynieria baz danych
Senior Director, Business Operations	Starszy dyrektor działu operacji biznesowych
Senior Group Program Management	Starszy kierownik ds. programu grupowego
Security Operations Manager	Kierownik ds. operacje zabezpieczeń
Chief Information Security Officer	Główny kierownik ds. bezpieczeństwa informacji
Security Vulnerability Research	Dział badań nad lukami bezpieczeństwa
Security Development	Dział rozwoju bezpieczeństwa
Risk Operations Management	Kierownictwo działu operacji zarządzania ryzykiem
Security Administrative Support	Wsparcie administracyjne działu bezpieczeństwa
Director, Global Security Software Development	Dyrektor ds. rozwoju oprogramowania bezpieczeństwa globalnego
Director, Global Vulnerability Research	Dyrektor ds. badań nad globalnymi lukami bezpieczeństwa
Director, Global Risk Operations	Dyrektor ds. globalnych operacji zarządzania ryzykiem
Site Security Management	Zarządzanie bezpieczeństwem strony
Site Security	Dział bezpieczeństwa strony
Security Project Delivery	Dział projektu zabezpieczeń
Director, Security Project Delivery	Dyrektor ds. projektu zabezpieczeń
Corporate Communications	Dział komunikacji korporacyjnej
