Amorphous Armorcloud	Blindagem Nebulosa Amorfa
Nathanias Terran Voice Pack	Pacote de Voz Terrana de Nathanias
Nova Terran Voice Pack	Pacote de Voz Terrana de Nova
Raynor Terran Voice Pack	Pacote de Voz Terrana de Raynor
scboy Terran Voice Pack	Pacote de Voz Terrano scboy
Swann Terran Voice Pack	Pacote de Voz Terrana de Swann
VoicePackTerranTastosis	VoicePackTerranTastosis
VoicePackTerranTastosisArenaCrowd	VoicePackTerranTastosisArenaCrowd
TotalBiscuit Terrain Voice Pack	Pacote de Voz Terrana TotalBiscuit
VoicePackTerraniNcontrol	VoicePackTerraniNcontrol
Abathur Zerg Voice Pack	Pacote de Voz Zerg de Abathur
Alarak Zerg Voice Pack	Pacote de Voz Zerg de Alarak
Artanis Zerg Voice Pack	Pacote de Voz Zerg de Artanis
D.Va Zerg Voice Pack	Pacote de Voz Zerg de D.Va
Default Zerg Voice Pack	Pacote de Voz Zerg Padrão
Dehaka Zerg Voice Pack	Pacote de Voz Zerg de Dehaka
VoicePackZergHornerHan	VoicePackZergHornerHan
Kerrigan Zerg Voice Pack	Pacote de Voz Zerg de Kerrigan
Nathanias Zerg Voice Pack	Pacote de Voz Zerg de Nathanias
Nova Zerg Voice Pack	Pacote de Voz Zerg de Nova
Raynor Zerg Voice Pack	Pacote de Voz Zerg de Raynor
scboy Zerg Voice Pack	Pacote de Voz Zerg scboy
Swann Zerg Voice Pack	Pacote de Voz Zerg de Swann
VoicePackZergTastosis	VoicePackZergTastosis
VoicePackZergTastosisArenaCrowd	VoicePackZergTastosisArenaCrowd
TotalBiscuit Zerg Voice Pack	Pacote de Voz Zerg TotalBiscuit
VoicePackZergiNcontrol	VoicePackZergiNcontrol
Void Brutal05	Void - Brutal 05
Void Brutal10	Void - Brutal 10
Void Brutal15	Void - Brutal 15
Void Brutal20	Void - Brutal 20
Void Brutal25	Void - Brutal 25
Void Hard05	Void - Difícil 05
Void Hard10	Void - Difícil 10
Void Hard15	Void - Difícil 15
Void Hard20	Void - Difícil 20
Narud (Xel'Naga)	Narud (Xel'Naga)
Void Hard25	Void - Difícil 25
Void Meta SC2 Completed	Void - Meta - SC2 Concluído
Void Meta	Void - Meta
Void Normal05	Void - Normal 05
Void Normal10	Void - Normal 10
Void Normal15	Void - Normal 15
Void Normal20	Void - Normal 20
Void Normal25	Void - Normal 25
Shakuras	Shakuras
WarpPrismSkinBase	WarpPrismSkinBase
WingsofLiberty	WingsofLiberty
WingsofLibertyBrutal10	WingsofLibertyBrutal10
WingsofLibertyBrutal15	WingsofLibertyBrutal15
WingsofLibertyBrutal20	WingsofLibertyBrutal20
WingsofLibertyBrutal25	WingsofLibertyBrutal25
WingsofLibertyBrutal5	WingsofLibertyBrutal5
WingsofLibertyHard10	WingsofLibertyHard10
WingsofLibertyHard15	WingsofLibertyHard15
WingsofLibertyHard20	WingsofLibertyHard20
WingsofLibertyHard25	WingsofLibertyHard25
WingsofLibertyHard5	WingsofLibertyHard5
WingsofLiberty_Portrait	WingsofLiberty_Portrait
ZChar01_1	ZChar01_1
ZChar01_2	ZChar01_2
ZChar01_3	ZChar01_3
ZChar02_1	ZChar02_1
ZChar02_2	ZChar02_2
ZChar02_3	ZChar02_3
ZChar03_1	ZChar03_1
ZChar03_2	ZChar03_2
ZChar03_3	ZChar03_3
ZERGCONSOLESKIN	ZERGCONSOLESKIN
ZExpedition01_3	ZExpedition01_3
ZHybrid01_1	ZHybrid01_1
ZHybrid01_2	ZHybrid01_2
ZHybrid01_3	ZHybrid01_3
ZHybrid02_1	ZHybrid02_1
ZHybrid02_2	ZHybrid02_2
ZHybrid02_3	ZHybrid02_3
ZHybrid03_1	ZHybrid03_1
ZHybrid03_2	ZHybrid03_2
ZHybrid03_3	ZHybrid03_3
ZKaldir01_1	ZKaldir01_1
ZKaldir01_2	ZKaldir01_2
ZKaldir02_1	ZKaldir02_1
ZKaldir02_2	ZKaldir02_2
ZKaldir02_3	ZKaldir02_3
ZKaldir03_1	ZKaldir03_1
ZKaldir03_2	ZKaldir03_2
ZKaldir03_3	ZKaldir03_3
ZKorhal01_1	ZKorhal01_1
ZKorhal01_2	ZKorhal01_2
ZKorhal01_3	ZKorhal01_3
ZKorhal02_1	ZKorhal02_1
ZKorhal02_2	ZKorhal02_2
ZKorhal02_3	ZKorhal02_3
ZKorhal03_1	ZKorhal03_1
ZKorhal03_2	ZKorhal03_2
ZKorhal03_3	ZKorhal03_3
ZLab01_1	ZLab01_1
ZLab01_2	ZLab01_2
ZLab01_3	ZLab01_3
ZLab02_1	ZLab02_1
ZLab02_2	ZLab02_2
ZLab02_3	ZLab02_3
ZLab03_1	ZLab03_1
ZLab03_2	ZLab03_2
ZLab03_3	ZLab03_3
ZSpace01_1	ZSpace01_1
ZSpace01_2	ZSpace01_2
ZSpace01_3	ZSpace01_3
ZSpace02_1	ZSpace02_1
ZSpace02_2	ZSpace02_2
ZSpace02_3	ZSpace02_3
ZStoryConversation	ZStoryConversation
ZStoryEvolve	ZStoryEvolve
ZStoryMutate	ZStoryMutate
ZStoryNewLook	ZStoryNewLook
ZStoryRally	ZStoryRally
ZStorySwarmDomination	ZStorySwarmDomination
ZZerus01_1	ZZerus01_1
ZZerus01_2	ZZerus01_2
ZZerus01_3	ZZerus01_3
ZZerus02_1	ZZerus02_1
ZZerus02_2	ZZerus02_2
ZZerus02_3	ZZerus02_3
ZZerus03_1	ZZerus03_1
ZZerus03_2	ZZerus03_2
ZZerus03_3	ZZerus03_3
ZeratulDestination	ZeratulDestination
ZeratulMissions	ZeratulMissions
ZerusMissions	ZerusMissions
Allied Commanders Achievements	Allied Commanders Achievements
Allied Commanders BI	Allied Commanders BI
Allied Commanders Experience	Allied Commanders Experience
Allied Commanders Root	Allied Commanders Root
Allied Commanders Score Screen	Allied Commanders Score Screen
Army Size	Tamanho do exército
Build Order	Ordem de construção
Callouts	Chamadas
Economy Breakdown	Análise da economia
Experience	Experiência
Graphs	Gráficos
Performance	Desempenho
Resources	Recursos
Score Summary	Resumo da pontuação
Structures	Estruturas
Technology	Tecnologia
Units	Unidades
ALLIED COMMANDERS	COMANDANTES ALIADOS
ARMY SIZE	TAMANHO DO EXÉRCITO
BUILD ORDER	ORDEM DE CONSTRUÇÃO
ECONOMY BREAKDOWN	ANÁLISE DA ECONOMIA
EXPERIENCE	EXPERIÊNCIA
GRAPHS	GRÁFICOS
OVERVIEW	VISÃO GERAL
PERFORMANCE	DESEMPENHO
RESOURCE COLLECTION	COLETA DE RECURSOS
RESOURCES	RECURSOS
SCORE SUMMARY	RESUMO DA PONTUAÇÃO
STANDARD	PADRÃO
STRUCTURES	ESTRUTURAS
TECHNOLOGY	TECNOLOGIA
UNITS	UNIDADES
APM	APM
Biomass Collected	Biomassa coletada
Healing Received from Abathur	Cura Recebida de Abathur
Damage Dealt by Ultimate Evolutions	Dano Causado por Evoluções Supremas
AchievementScoreValue	AchievementScoreValue
AdvancedDifficulty	Dificuldade Avançada
Damage Dealt by Alarak	Dano causado por Alarak
Life Sacrificed to Alarak	Vida sacrificada para Alarak
Armor Upgrades Researched	Aprimoramentos de blindagem pesquisados
Point Value of Armor Upgrades Researched	Valor em pontos de aprimoramentos de blindagem pesquisados
Damage Absorbed by Shield Overcharge	Dano Absorvido pela Sobrecarga de Escudo
Damage Dealt by Spear of Adun	Dano Causado pela Lança de Adun
BaseScoreValue	BaseScoreValue
Damage Taken by Harvesters	Dano recebido por Extratores
Optional Objective XP	EXP de Objetivo Opcional
Sgt. Hammer's Fortress Life Remaining	Vida Restante da Fortaleza da Sgto. Marreta
Combat Efficiency	Eficiência em combate
Commander Placeholder	Comandante Temporário
Commander Selection	Seleção de Comandante
Damage Dealt to Constructs	Dano causado aos constructos
Damage Taken by Aurana's Transport	Dano recebido pelo Transporte de Aurana
Damage Dealt to Void Slivers	Dano Causado às Lascas do Vazio
Total Supply Consumed By Dehaka	Total de suprimentos consumidos por Dehaka
Damage Dealt by Dehaka	Dano causado por Dehaka
Enemies Destroyed:	Inimigos destruídos:
Difficulty	Dificuldade
Enemy Personality	Personalidade do Inimigo
Total Energy Healed	Total de energia curada
Total Energy Spent	Total de energia gasta
Damage Dealt by Champions	Dano causado por Campeões
Damage Dealt by Fenix Suits	Dano causado por Trajes de Fenix
Time Supply Capped	Tempo com Suprimento no máximo
Supplies Built	Suprimentos construídos
Food Made Killed	Alimento criado Morto
Food Made Lost	Alimento criado Perdido
Food Upkeep Level	Comida do Nível de Conservação
Supplies Used	Suprimentos consumidos
Food Used Army	Alimento usado Exército
Food Used Economy	Alimento usado Economia
Food Used Killed	Alimento usado Morto
Food Used Lost	Alimento usado Perdido
Food Used None	Alimento usado Nenhum
Food Used Technology	Alimento usado Tecnologia
Food Used Upgrade	Comida Usada no Aprimoramento
Damage Dealt by Mag Mines	Dano Causado por Minas Magnéticas
Total Scrap Resources Collected	Total de recursos de sucata coletados
Idle Production Time	Tempo de produção ocioso
Infested Killed	Infestados mortos
Damage Dealt to Shuttles	Dano Causado aos Ônibus Espaciais
Units Made during Chrono Wave	Unidades Fabricadas durante a Onda Temporal
Assimilated Resources Collected	Recursos Assimilados Coletados
Damage Dealt by Kerrigan	Dano Causado por Kerrigan
Damage Dealt to Shards	Dano Causado aos Fragmentos
Total Life Damage Dealt	Total de danos à vida causados
Total Life Damage Taken	Total de danos à vida sofridos
Total Life Healed	Total de pontos vitais curados
Total Life Spent	Total de pontos vitais gastos
Bonus Completion Speed	Velocidade de Conclusão Bônus
Bonus Completion Speed II	Bônus de Velocidade de Conclusão II
Completion Speed	Velocidade de Conclusão
Fortress Life Remaining	Vida Restante da Fortaleza
Harvesting Bot Life Remaining	Vida restante do Robô de Extração
Lava Deaths	Mortes na Lava
Lock Overload Time	Tempo de Sobrecarga de Trava
Scientist Health Remaining	Vida restante do cientista
Shuttle Uptime	Tempo Ativo de Ônibus Espacial
Temple Life Remaining	Vida Restante do Templo
Thrasher Uptime	Tempo Ativo de Devastador
Train Uptime	Tempo Ativo do Trem
MasteryLevel	MasteryLevel
MasteryPoints1	MasteryPoints1
MasteryPoints2	MasteryPoints2
MasteryPoints3	MasteryPoints3
MasteryPoints4	MasteryPoints4
MasteryPoints5	MasteryPoints5
MasteryPoints6	MasteryPoints6
Infested Structures Killed	Estruturas Infestadas destruídas
Damage Dealt by Royal Guards	Dano causado por Guardas Reais
Damage Dealt by Troopers	Dano causado por Combatentes
Minerals Gathered	Minérios coletados
Mineral Collection Rate	Taxa de coleta de minérios
MineralsCurrent	MineralsCurrent
Minerals Traded Away	Minérios enviados
Average Minerals Stockpiled	Média de minérios estocados
MineralsFriendlyFireArmy	MineralsFriendlyFireArmy
MineralsFriendlyFireEconomy	MineralsFriendlyFireEconomy
MineralsFriendlyFireNone	MineralsFriendlyFireNone
MineralsFriendlyFireTechnology	MineralsFriendlyFireTechnology
Mineral Value of Enemies Killed	Valor em minérios de inimigos mortos
Mineral Value of Units Lost	Valor em minerais de unidades perdidas
MineralsLostEconomy	MineralsLostEconomy
MineralsLostNone	MineralsLostNone
MineralsLostTechnology	MineralsLostTechnology
Minerals Received from Trade	Minérios recebidos em troca
Minerals Spent	Minérios gastos
Mineral Value of Units Owned	Valor em pontos de unidades próprias
Technology Researched	Tecnologia pesquisada
Point Value of Technology Researched	Valor em pontos de tecnologias pesquisadas
Main Objective XP	EXP de Objetivo Principal
MutatorIsWeeklyChallenge	MutatorIsWeeklyChallenge
MutatorTryAgain1	Nova Tentativa de Mutador 1
MutatorTryAgain2	Nova Tentativa de Mutador 2
MutatorTryAgain3	Nova Tentativa de Mutador 3
MutatorTryAgain4	Nova Tentativa de Mutador 4
Damage Dealt by Nova	Dano causado por Nova
Damage Healed and Prevented by Nova	Dano curado e prevenido por Nova
Parts Collected	Peças coletadas
Prevent Defeat Count (Active)	Evitar derrota Contador Ativo
Prevent Destroy Count (Active)	Evitar destruição Contador Ativo
Prevent Reveal Count (Active)	Evitar revelação Contador Ativo
Damage Dealt by Hyperion	Dano Causado pela Hipérion
Healing Received from Medics	Cura Recebida dos Médicos
Resource Collection Rate	Taxa de coleta de recursos
Average Resources Stockpiled	Média de recursos estocados
Total Resource Value of Enemies Killed	Valor de recursos totais de unidades mortas
ResourceLostAll	ResourceLostAll
Total Resource Value of Units Lost	Valor de recursos totais de unidades perdidas
Total Resource Value of Units Built	Valor de recursos totais de estruturas construídas
Total Resource Value of Army	Valor total de recursos de exército
Total Resources Traded Away	Total de recursos trocados
Resources Gathered	Recursos Coletados
Total Shield Damage Dealt	Total de danos de escudo causados
Total Shield Damage Taken	Total de danos de escudo sofridos
ShieldsDamageDealtTotal	ShieldsDamageDealtTotal
ShieldsDamageTakenTotal	ShieldsDamageTakenTotal
Total Shields Healed	Total de escudos curados
Total Shields Spent	Total de escudos gastos
Distance Ji'nara Was Pushed Back	Distância pela qual Ji'nara foi empurrada
Resources Spent:	Recursos gastos:
Damage Dealt by Gary	Dano causado por Gary
Units Overloaded	Unidades Sobrecarregadas
Structures Owned	Estruturas próprias
Point Value of Structures Owned	Valor em pontos de estruturas próprias
Structures Built	Estruturas construídas
Point Value of Structures Built	Valor em pontos de estruturas construídas
StructuresCanceledCount	StructuresCanceledCount
StructuresFriendlyFireCount	StructuresFriendlyFireCount
Enemy Structures Razed	Estruturas inimigas destruídas
Structures Killed Points	Pontos de Estruturas Mortas
Point Value of Enemy Structures Razed	Valor em pontos de estruturas inimigas destruídas
Structures Lost	Estruturas perdidas
Point Value of Structures Lost	Valor em pontos de estruturas perdidas
Structures Made Points	Pontos de Estruturas Criadas
Peak Structures Owned	Valor máximo de estruturas próprias
Point Value of Peak Structures Owned	Valor em pontos de estruturas de valor máximo próprias
StructuresSalvagedCount	StructuresSalvagedCount
StructuresStartCount	StructuresStartCount
Total Structures Owned	Total de estruturas particulares
Point Value of Total Structures Owned	Valor em pontos do total de estruturas próprias
Damage Dealt by Infested Infantry	Dano causado por infantaria infestada
Damage Done by Monstrosities	Dano causado por monstruosidades
Damage Dealt by Drakken Laser Drill	Dano Causado pela Furadeira Laser Drakken
Healing Received from Science Vessels	Cura Recebida das Cosmonaves Científicas
Damage Dealt to Trains	Dano Causado aos Trens
Percentage of Available Technology Researched	Porcentagem da tecnologia disponível pesquisada
Technology Points	Pontos de Tecnologia
Total Mission Score	Pontuação Total da Missão
Total Overview Score	Pontuação geral total
Total Points	Pontos totais
Total Resources Score	Pontuação total de recursos
Total Structures Score	Pontuação total de estruturas
Total Technology Score	Pontuação total de tecnologia
Total Units Score	Pontuação total de unidades
Damage Dealt by Oil Spill	Dano causado pelo Vazamento de Óleo
Damage Dealt by Dominated Units	Dano causado por unidades Dominadas
Damage Dealt by Shredder Grenade	Dano causado pela Granada de Retalhação
Heavy Impact Stun Duration	Duração do Atordoamento do Impacto Pesado
Damage Healed by Rattlesnake	Dano curado por Cascavel
Damage Healed and Prevented by Nikara	Dano curado e evitado por Nikara
Damage Dealt by Odin	Dano causado pela Odin
Damage Dealt by Demolition Charge	Dano causado pela Carga de Demolição
Damage Dealt by Ultrasonic Pulse	Dano causado pelo Pulso Ultrassônico
Damage Dealt by Warhound Turrets	Dano causado pelas Torres Cão de Guerra
Overload Percentage	Porcentagem de Sobrecarga
UncontestedCombatTime	UncontestedCombatTime
UnitKillsPeakCount	UnitKillsPeakCount
Units Owned	Unidades próprias
Point Value of Units Owned	Valor de pontos de unidades próprias
UnitsCanceledCount	UnitsCanceledCount
UnitsFriendlyFireCount	UnitsFriendlyFireCount
UnitsInProgressCount	UnitsInProgressCount
Enemy Units Killed	Unidades inimigas mortas
Units Killed Points	Pontos de Unidades Mortas
Point Value of Units Killed	Valor em pontos de unidades mortas
UnitsLostAll	UnitsLostAll
Units Lost	Unidades perdidas
Point Value of Units Lost	Valor em pontos de unidades perdidas
Units Made Points	Pontos de Unidades Criadas
Peak Army Size	Tamanho máximo do exército
Point Value of Peak Units Owned	Valor em pontos do máximo de unidades próprias
Units Produced	Unidades Produzidas
UnitsSalvagedCount	UnitsSalvagedCount
UnitsStartCount	UnitsStartCount
Units and Structures Killed	Unidades e Estruturas Abatidas
Total Units Owned	Total de unidades próprias
Point Value of Total Units Owned	Apontar valor do total das unidades particulares
Units Trained	Unidades treinadas
Point Value of Units Trained	Valor em pontos das unidades treinadas
Upgrade Spending	Gastos com aprimoramentos
Amount of time carrying crystals	Quantidade de tempo carregando cristais
Vespene Gathered	Vespeno coletado
Vespene Collection Rate	Taxa de coleta de vespeno
VespeneCurrent	VespeneCurrent
Vespene Traded Away	Vespeno enviado
Average Vespene Stockpiled	Média de vespeno estocado
VespeneFriendlyFireArmy	VespeneFriendlyFireArmy
VespeneFriendlyFireEconomy	VespeneFriendlyFireEconomy
VespeneFriendlyFireNone	VespeneFriendlyFireNone
VespeneFriendlyFireTechnology	VespeneFriendlyFireTechnology
Vespene Value of Enemies Killed	Valor em vespeno de inimigos mortos
Vespene Value of Units Lost	Valor em vespeno de unidades perdidas
VespeneLostEconomy	VespeneLostEconomy
VespeneLostNone	VespeneLostNone
VespeneLostTechnology	VespeneLostTechnology
Vespene Received from Trade	Vespeno recebido em troca
Vespene Spent	Vespeno gasto
Vespene Value of Units Owned	Valor em vespeno de unidades próprias
Damage Dealt to Units in a Black Hole	Dano causado a unidades num Buraco Negro
Damage Dealt by Cloaked Units	Dano causado por unidades camufladas
Units Killed during Time Stop	Unidades mortas durante Parar o Tempo
Weapon Upgrades Researched	Aprimoramentos de armamentos pesquisados
Point Value of Weapon Upgrades Researched	Valor em pontos de aprimoramentos de armamentos pesquisados
Workers Lost	Trabalhadores perdidos
Workers Trained	Trabalhadores treinados
Damage Dealt by Frenzied Units	Dano causado por unidades em Frenesi
Damage Done by Banelings and Scourge	Dano causado por Tatus-bomba e Flagelo
Damage Dealt by Zeratul	Dano causado por Zeratul
Shields Restored	Escudos restaurados
Armor Upgrades Count	Número dos aprimoramentos de blindagem
Armor Upgrades Value	Valor dos aprimoramentos de blindagem
Food Made	Alimento criado
Food Used	Alimento usado
Minerals Collected	Minérios coletados
Minerals Traded Out	Minérios enviados
Average Unspent Minerals	Média de minérios não gastos
Military Mineral Value Killed	Valor em minerais de unidades militares mortas
Military Mineral Value Lost	Valor em minerais de unidades militares perdidas
Minerals Traded In	Minérios recebidos
Military Mineral Value	Valor em minerais de unidades militares
Technology Upgrades	Aprimoramentos de tecnologia
Average Unspent Resources	Média de recursos não gastos
Military Resource Value Killed	Valor de recurso militar morto
Military Resource Value Lost	Valor de recurso militar perdido
Military Resource Value	Valor em recursos de unidades militares
Army Value	Valor do exército
Resources Traded Out	Recursos trocados
Structures Active Count	Contagem de estruturas ativas
Structures Active Value	Valor de estruturas ativas
Structures Razed Count	Estruturas destruídas
Structures Razed XP	EXP de Estruturas Demolidas
Structures Razed Value	Valor de estruturas demolidas
Structures Lost Count	Contagem de estruturas perdidas
Structures Lost Value	Valor de estruturas perdidas
Structures Produced XP	EXP de Estruturas Produzidas
Structures Peak Count	Contagem máxima de estruturas
Structures Peak Value	Valor máximo de estruturas
Structures Produced Count	Contagem de estruturas produzidas
Structures Produced Value	Valor de estruturas produzidas
Technology Level	Nível tecnológico
Technology XP	EXP de Tecnologia
Active Unit Count	Contagem de unidades ativas
Active Unit Value	Valor de unidades ativas
Killed Unit Count	Unidades abatidas
Killed Unit XP	EXP de Unidades Mortas
Killed Unit Value	Unidades mortas - Valor
Lost Unit Count	Contagem de estruturas perdidas
Lost Unit Value	Valor de unidades perdidas
Units Produced XP	EXP de Unidades Produzidas
Peak Unit Count	Contagem do máximo de unidades
Peak Unit Value	Unidade de valor máximo - Valor
Produced	Produzido
Total Value	Valor total
Vespene Collected	Vespeno - Coletado
Vespene Traded Out	Vespeno enviado
Average Unspent Vespene	Média de vespeno não gasto
Military Vespene Value Killed	Valor em vespeno de unidades militares mortas
Military Vespene Value Lost	Valor em vespeno de unidades militares perdidas
Vespene Traded In	Vespeno recebido
Military Vespene Value	Militar - Vespeno - Valor
Weapon Upgrades Count	Contagem de aprimoramentos de armas
Weapon Upgrades Value	Armas - Aprimoramentos - Valor
Workers Active	Trabalhadores ativos
Workers Created	Trabalhadores criados
How many actions you complete per minute (Actions per Minute)	Quantas ações você completou por minuto (Ações por minuto)
Percentage indicating your efficiency at destroying enemy forces versus your losses	Porcentagem que indica sua eficiência em derrotar forças inimigas em relação às suas perdas.
Experience earned for destroying enemy units and buildings	Experiência obtida ao destruir unidades e prédios inimigos
Total seconds spent during the match at supply cap (at e.g. 50/50 supply)	Total de tempo de jogo em segundos com suprimentos bloqueados (p. ex., 50/50 de suprimentos)
Time spent under supply cap	Tempo gasto com suprimentos no máximo
Total seconds buildings or larvae spent idle. Two buildings counts two per second, etc.	Total em segundos com estruturas ou larvas ociosas. Duas estruturas contam como dois por segundo etc.
Average number of resources gathered but not spent	Número médio de recursos coletados mas não gastos
Experience earned for spending resources on units, buildings, and upgrades	Experiência obtida ao gastar recursos em unidades, prédios e aprimoramentos
<s val="@@@SimpleCommandRow">%hotkey</c> then</s> <IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> <s val="@@@SimpleCommandRow">ground to Auto-attack</s>	<s val="@@@SimpleCommandRow">%hotkey</c> depois</s> <IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> <s val="@@@SimpleCommandRow">no chão para atacar automaticamente</s>
<s val="@@@SimpleCommandRow">%hotkey</c> then</s> <IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> <s val="@@@SimpleCommandRow">to Attack</s>	<s val="@@@SimpleCommandRow">%hotkey</c> depois</s> <IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> <s val="@@@SimpleCommandRow">para atacar</s>
<IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> <s val="@@@SimpleCommandRow">to Gather Resources</s>	<IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> <s val="@@@SimpleCommandRow">para coletar recursos</s>
<IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> <s val="@@@SimpleCommandRow">to Move</s>	<IMG path="Assets\Textures\tutorialmouserightbuttondown.dds" alignment="absolutemiddle"/> <s val="@@@SimpleCommandRow">para se mover</s>
Highly trained battlefield commanders, adepts utilize Purifier technology to amplify their psionic potential. They are capable of projecting shades of themselves and teleporting across great distances.	Comandantes de campo de batalha altamente treinadas, adeptas usam tecnologia de purificador para amplificar seu potencial psiônico. Elas são capazes de projetar vultos e teleportar-se a longas distâncias.
The Daelaam's starforges may be capable of reconstructing the Purifier ordnance from Glacius, but they have yet to match the optimal performance of Karax's original prototypes.	As forjas estelares de Daelaam podem até ser capazes de reconstruir a munição Purificadora de Glacius, mas ainda não conseguiram igualar o desempenho ideal dos protótipos originais de Karax.
Nostalgic sentiment has been growing among the templar after the End War. Some adepts show their pride by wearing formal ceremonial armor from bygone days.	Um sentimento de nostalgia vem crescendo entre os templários desde a Guerra Final. Algumas adeptas exibem seu orgulho vestindo a armadura cerimonial formal de outrora.
Even battle-hardened Ihan-rii adepts needed time to get their bearings after a distress signal woke them from deep stasis on the fringes of the Koprulu Sector.	Até mesmo as experientes adeptas Ihan-rii levaram tempo para se situar quando um sinal de socorro as despertou de uma estase profunda nos limites do setor Koprulu.
Refined by Phase-smith Karax, these AI warriors have become central figures in Purifier armies, impressing all who see them with their agility and refinement.	Refinados pelo Modulador Karax, esses guerreiros de I.A. se tornaram figuras centrais nos exércitos purificadores, impressionando a todos com sua agilidade e refinamento.
Despite its recent development, the psionic amplification technology used by the Daelaam's adepts has already been reverse engineered by the Tal'darim and equipped on their most promising warriors.	Apesar de seu desenvolvimento recente, a tecnologia de amplificação psiônica usada pelas adeptas de Daelaam já sofreu engenharia reversa pelos Tal'darim e está sendo usada pelos seus guerreiros mais promissores.
Archons boast overwhelming psionic power, but it comes at a high cost. Two templar must sacrifice themselves for an archon to be formed, making each one an embodiment of unparalleled heroism.	Arcontes têm poder psiônico impressionante, mas o custo é alto. Dois templários precisam se sacrificar para que um arconte seja formado, tornando-o a encarnação de um heroísmo sem igual.
The armory is built around several turbines. These keep the building within temperature specifications while researchers work tirelessly to improve terran war machinery.	O arsenal é construído em volta de diversas turbinas. Elas mantêm a temperatura da construção dentro das especificações enquanto os pesquisadores trabalham sem parar para aprimorar o maquinário de guerra terrano.
The Dominion's latest advances in neosteel armor were developed through the molecular examination of xel'naga constructs recovered by special forces teams.	Os avanços mais recentes da Supremacia em armadura de novoaço foram desenvolvidos graças à análise molecular de construtos xel'naga recuperados por equipes de forças especiais.
Reports of protoss wandering into Tyrador IX's armories led to accusations of espionage, though Ihan-rii leadership insisted that these incidents were the result of settlers mistaking the gleaming structures for terran museums.	Os relatos de protoss zanzando nos arsenais de Tyrador IX geraram acusações de espionagem, embora a liderança Ihan-rii tenha insistido que esses incidentes foram causados por colonos que confundiram as estruturas reluzentes com museus terranos.
Even the highly advanced protoss appreciate the myriad applications of vespene gas. They developed assimilators to harvest this useful resource.	Até mesmo os avançadíssimos protoss apreciam as várias utilidades do gás vespeno. Eles desenvolveram assimiladores para extrair esse recurso útil.
Tal'darim assimilators greedily wrench vespene gas from the ground, triggering earthquakes that decimate surrounding ecosystems.	Assimiladores tal'darim arrancam gananciosamente o gás vespeno do chão, causando terremotos que dizimam os ecossistemas ao redor.
The Ihan-rii protoss consider themselves very generous for allowing terrans to continue living on, let alone mining vespene gas from, their ancient and sacred homeworld, which they call Arakyr.	Os protoss Ihan-rii se consideram muito generosos por permitirem que os terranos continuem vivendo em seu antigo e sagrado mundo natal, Arakyr, ainda por cima extraindo gás vespeno.
First observed during the Siege of Cask, the baneling is a highly volatile and explosive combat strain evolved from the zergling. Few materials can resist the acidic burst released upon their detonation.	Visto pela primeira vez durante o Cerco de Cask, o Tatu-bomba é uma cepa de combate altamente volátil e explosiva evoluída a partir dos zergnídeos. Poucos materiais conseguem resistir ao jorro ácido liberado quando ele detona.
The recreation of the baneling posed a unique problem for engineers, as their carefully harvested acid sacs kept melting through the surrounding plate infrastructure. Eventually, they made it work.	A recriação do tatu-bomba foi um problema especial para os engenheiros, já que suas bolsas de ácido cuidadosamente armazenadas derretiam a infraestrutura de placas externas. No fim das contas, eles conseguiram resolver o problema.
The zerg hive cluster must have a baneling nest to add the baneling breed's genetic code. Once a nest is in place, any zergling on the field can be commanded to form a fleshy chrysalis for a brief pupation state, and then it will burst forth as a baneling--a foul, bloated creature with bulbous, acid-filled green sacs pulsating on its back.	O aglomerado de colmeias dos zergs precisa de um ninho de tatu-bomba para adicionar o código genético da espécie. Quando um ninho é posicionado, qualquer zergnídeo em campo pode ser levado a formar uma crisálida carnal em um breve período como pupa. Em seguida, ele desabrochará como um tatu-bomba: uma criatura inchada e vil, com glândulas verdes bulbosas cheias de ácido pulsando nas costas.
The upper half of the Simulant baneling nest is held aloft by the same antigravity technology deployed in terran battlecruisers.	A parte de cima do ninho de tatu-bomba simulante é sustentada pela mesma tecnologia antigravidade empregada em cruzadores de batalha terranos.
To trigger the collapse of key terran fortifications, Cerberus baneling nests have been rigged to detonate in cave networks across Tyrador IX.	Para causar o colapso de fortificações terranas essenciais, ninhos de tatu-bomba Cerberus foram posicionados para explodir redes de cavernas em Tyrador IX.
Inspired by the banelings in Kerrigan's Swarm, Dehaka has encouraged the mutation of a similar strain of creatures within his pack.	Inspirando-se nos tatus-bomba do Enxame de Kerrigan, Dehaka estimulou a mutação de uma variante de criaturas similares em sua matilha.
