Amorphous Armorcloud	Protezione informe
Customer Service Director Ireland, Customer Services Europe	Direttore assistenza clienti Irlanda, assistenza clienti Europa
Senior Learning and Development Manager, Customer Support Europe	Responsabile senior apprendimento e sviluppo assistenza clienti Europa
Customer Support Americas	Assistenza clienti Americhe
Customer Support Korea	Assistenza clienti Corea
Group Management, Customer Support Americas	Responsabile gruppo assistenza clienti Americhe
Customer Support Europe	Assistenza clienti Europa
Learning and Development Team, Customer Support Americas	Squadra apprendimento e sviluppo assistenza clienti Americhe
Group Management, Customer Support Europe	Responsabile gruppo assistenza clienti Europa
Regional Planning and Support Services Management, Customer Support Europe	Direzione pianificazione regionale e servizi di supporto assistenza clienti Europa
Regional Planning and Support Services Team, Customer Support Europe	Squadra pianificazione regionale e servizi di supporto assistenza clienti Europa
Learning and Development Team, Customer Support Europe	Squadra apprendimento e sviluppo assistenza clienti Europa
Group Management, Customer Support Korea	Responsabile gruppo assistenza clienti Corea
Regional Planning and Support Services Manager, Customer Support Korea	Squadra pianificazione regionale e servizi di supporto assistenza clienti Corea
Regional Planning and Support Services Team, Customer Support Korea	Squadra pianificazione regionale e servizi di supporto assistenza clienti Corea
Learning and Development Team, Customer Support Korea	Squadra apprendimento e sviluppo assistenza clienti Corea
Support Information Team, Customer Support Taiwan	Squadra informazioni di supporto assistenza clienti Taiwan
Customer Service Manager, Customer Support China	Responsabile assistenza clienti Cina
Customer Service Operations Team, Customer Support China	Squadra assistenza clienti e operazioni Cina
Director, Global Rewards	Direttore ricompense globali
Director, Global Talent Acquisition	Direttore reclutamento risorse globale
Director of Localization, Europe	Direttore localizzazione Europa
Additional Engineering Leadership	Direzione programmazione aggiuntiva
Director of Operations, Europe	Direttore operazioni Europa
Executive Vice President of International & Customer Service Management	Vicepresidente esecutivo gestione internazionale e assistenza clienti
Battle.net Design	Progettazione Battle.net
Battle.net Support	Assistenza Battle.net
Battle.net Technical Writing	Autori tecnici Battle.net
Business Intelligence Management	Manager analisi commerciale
Risk Team Management	Manager analisi rischi
Vice President, Global Integrated Marketing	Vicepresidente marketing globale integrato
Vice President, Global Sales	Vicepresidente vendite globali
Vice President, Global Communications	Vicepresidente comunicazioni globali
Executive Vice President, Global Marketing	Vicepresidente esecutivo marketing globale
Business Strategy & Planning Director	Direttore strategia e pianificazione commerciale
IT Administrators	Amministratori IT
IT Management	Gestione IT
IT Technicians	Tecnici IT
IT Engineers	Programmatori IT
IT PMO	PMO IT
Vice President, Global IT	Vicepresidente IT globale
IT Directors	Direttori IT
IT Security	Sicurezza IT
IT Analysts	Analisti IT
Test Lead	Responsabile testing
Collegiate and Amateur eSports Managers	Responsabili eSports università e dilettanti
Collegiate and Amateur eSports Team	Squadra eSports università e dilettanti
Blizzard Animation Leadership	Direzione animazione Blizzard
Blizzard Animation Artists	Grafici animazione Blizzard
Blizzard Animation Technology	Tecnologia animazione Blizzard
Director of Operations	Direttore operazioni
Vice President, Art and Cinematic Development	Vicepresidente sviluppo grafica e filmati
Creative Development Artists	Grafici sviluppo creativo
Creative Development Writers	Scrittori sviluppo creativo
Creative Development Production	Produzione sviluppo creativo
Consumer Products Leadership	Direzione prodotti consumer
Design	Progettazione
Editorial	Editoriale
Engineers	Programmatori
Blizzard Animation Production	Produzione animazione Blizzard
VFX Supervisor	Supervisore VFX
Director of Technology	Direttore tecnologia
Audio Design	Progettazione audio
Show Leadership	Direzione show
Analysts	Analisti
Group Managers	Responsabili squadra
Sound Design	Progettazione audio
Coordinator	Coordinatore
Additional Artists, Technology, & Production	Grafici, tecnologia e produzione aggiuntivi
Video & Post Production, Live Broadcast	Trasmissioni in diretta filmati e postproduzione video
IT Technical Writing	Autori tecnici IT
IT Design	Progettazione IT
Vault Production	Produzione asset
Vice President, Asia Marketing	Vicepresidente marketing Asia
Product Lead	Capo prodotto
Director, Global Security	Direttore sicurezza globale
Strategy & Planning Analysts	Analisti strategia e pianificazione
Corporate Applications Design	Progettazione applicazioni aziendali
Corporate Applications Production	Produzione applicazioni aziendali
Database Administrators	Amministratori database
Database Administration Management	Gestione amministrazione database
Technicians	Tecnici
Director, Database Administration	Direttore amministrazione database
Senior Manager, Information Systems	Responsabile senior sistemi informativi
Process Administration	Amministrazione processi
Operations Technicians	Tecnici operativi
Project Analysis	Analisi progetto
Security Analysts	Analisti sicurezza
Security Administration	Amministrazione sicurezza
Security Specialists	Specialisti sicurezza
System Administration	Amministrazione sistema
Service Engineers	Programmatori servizi
Service Manager	Responsabile servizi
Infrastructure Technicians	Tecnici infrastruttura
Video & Post Production, Producers	Produttori filmati e postproduzione video
Web & Mobile Design	Progettazione web e dispositivi mobili
Web & Mobile Program Management	Gestione programma web e dispositivi mobili
Web & Mobile Editorial	Editoriale web e dispositivi mobili
Web & Mobile Engineers	Programmatori web e dispositivi mobili
Vice President of Public Relations and Communications, Europe	Vicepresidente pubbliche relazioni e comunicazione Europa
Vice President and Managing Director, Korea	Vicepresidente e amministratore delegato Corea
TECHNOLOGY DEVELOPMENT AND PRODUCT SUPPORT	SVILUPPO TECNOLOGIA E SUPPORTO PRODOTTO
BLIZZARD DEVELOPMENT FAMILY	FAMIGLIA DI SVILUPPO BLIZZARD
THIRD PARTY CREDITS	RICONOSCIMENTI TERZE PARTI
SPECIAL THANKS	RINGRAZIAMENTI SPECIALI
ACKNOWLEDGEMENTS	RICONOSCIMENTI
THIRD PARTY CREDITING	CREDITI TERZE PARTI
Camera Follow Disabled	Visuale a seguire disabilitata
Camera Follow Enabled	Visuale a seguire abilitata
Camera:	Visuale:
Press any key to continue	Premi un tasto qualsiasi per continuare
There has been a problem streaming the movie.  Please try again later.	Si è verificato un problema nello streaming del filmato. Riprova più tardi.
Skip	Salta
There has been a problem streaming the movie.  Would you like to retry playing the movie or skip the movie and begin playing the campaign?	Si è verificato un problema nello streaming del filmato. Vuoi provare a riprodurre nuovamente il filmato o preferisci saltarlo e iniziare a giocare la campagna?
Achievements: %achievementPercent%%	Imprese: %achievementPercent%%
<h/>MASTER ARCHIVES	ARCHIVIO <h/>PRINCIPALE
CONTINUE	CONTINUA
Cost:	Costo:
Credits Available:	Crediti disponibili:
A series of tutorials that will teach you basic and advanced concepts of the game.	Una serie di tutorial che illustrano i concetti base e avanzati del gioco.
TUTORIALS	TUTORIAL
<h/>TUTORIAL	<h/>TUTORIAL
CHOOSE A CAMPAIGN	SCEGLI UNA CAMPAGNA
Get started by playing the tutorial	Inizia giocando il tutorial
C<h/>ANCEL	<h/>ANNULLA
<h/>CANCEL	<h/>ANNULLA
Achievement Progress: %completedAchievements% / %totalAchievements%	Progressi imprese: %completedAchievements% / %totalAchievements%
<h/>PLAY	<h/>GIOCA
You must upgrade to access this feature. Click here to learn more.	Questa funzione richiede la versione completa. Clicca qui per saperne di più.
UPGRADE	AGGIORNA
Enter a new name.  You will be logged out and back in again after changing your name.  You are provided only one name change per season.	Inserisci un nuovo nome. Dopo aver cambiato il nome, eseguirai nuovamente l'accesso. È consentito un solo cambio di nome per stagione.
Change Player Name	Cambia nome giocatore
Name change unavailable.	Cambio di nome non disponibile.
Name change is currently unavailable.  A new name change will become available after the next season roll.	Cambio di nome al momento non disponibile. Un nuovo cambio di nome sarà disponibile all'arrivo della prossima stagione.
Your chat message was not sent.  You have sent too many chat messages recently.	Il messaggio non è stato inviato. Hai inviato troppi messaggi di chat di recente.
%userName% has been blocked.	%userName% è stato bloccato.
%userName% has been unblocked.	%userName% è stato sbloccato.
Chat Channels	Canali di chat
%count% in chat	%count% nella chat
Chat Members	Membri della chat
Enable Allied Chat	Abilita chat alleati
Press %chatRecipientHotkey% to cycle chat recipients	Premi%chatRecipientHotkey% per passare in rassegna i destinatari della chat
Copy Message	Copia messaggio
Press %chatEnableHotkey% or click the chat bar to resume chatting	Premi %chatEnableHotkey% o clicca sulla barra di chat per riprendere la conversazione
Click the chat bar to resume chatting	Clicca sulla barra di chat per riprendere la conversazione
Press %chatHotkey% to chat	Premi%chatHotkey% per chattare
<s val="@@StandardTooltipHeader">Chat Help</s><n/><n/>	<s val="@@StandardTooltipHeader">Aiuto per la chat</s><n/><n/>
To Everyone%allHotkey%<n/>	Tutti%allHotkey%<n/>
To Allies%alliesHotkey%<n/>	Alleati%alliesHotkey%<n/>
Cancel%cancelHotkey%	Annulla%cancelHotkey%
Cycle Recipient Group%cycleHotkey%<n/>	Scorri gruppi interlocutori%cycleHotkey%<n/>
To Specific Player%individualHotkey%<n/>	Giocatore specifico%individualHotkey%<n/>
Cycle Specific Player%individualHotkey%<n/>	Scorri giocatori specifici%individualHotkey%<n/>
<c val="ffffff">TO INITIATE CHAT</c><n/>	<c val="ffffff">PER INIZIARE LA CHAT</c><n/>
Send%sendHotkey%<n/>	Invia%sendHotkey%<n/>
<n/><c val="ffffff">WHILE CHAT IS ACTIVE</c><n/>	<n/><c val="ffffff">MENTRE LA CHAT È ATTIVA</c><n/>
All Chat	Chat generale
(%messageCount%)	(%messageCount%)
%chatName% Members (%memberCount%)	Membri di %chatName% (%memberCount%)
Whispers	Messaggi privati
<c val="#ColorChatSystem">You have disabled Allied Chat. Go to the Options menu to enable Allied Chat.</c>	<c val="#ColorChatSystem">Chat alleati disabilitata. Apri il menu Opzioni per abilitare la chat alleati.</c>
<c val="#ColorChatSystem">You have disabled Allied Chat. Click <a name="%optionName%" href="%value%"><c val="#ColorWhite">[HERE]</c></a> to enable Allied Chat.</c>	<c val="#ColorChatSystem">Hai disabilitato la chat alleati. Clicca <a name="%optionName%" href="%value%"><c val="#ColorWhite">[QUI]</c></a> per abilitare la chat alleati.</c>
<c val="#ColorChatSystem">You have enabled Allied Chat. Go to the Options menu to disable Allied Chat.</c>	<c val="#ColorChatSystem">Chat alleati abilitata. Apri il menu Opzioni per disabilitare la chat alleati.</c>
<c val="#ColorChatSystem">Allied Chat is enabled. Click <a name="%optionName%" href="%value%"><c val="#ColorWhite">[HERE]</c></a> to disable Allied Chat.</c>	<c val="#ColorChatSystem">Chat alleati abilitata. Clicca <a name="%optionName%" href="%value%"><c val="#ColorWhite">[QUI]</c></a> per disabilitare la chat alleati.</c>
<a name="%optionName%" href="%value%"><c val="#ColorWhite">[UNDO]</c></a>	<a name="%optionName%" href="%value%"><c val="#ColorWhite">[ANNULLA]</c></a>
<c val="#ColorChatSystem">Chat Message Privacy is off. Go to the Options menu to mute non-friend messages.</c>	<c val="#ColorChatSystem">Privacy dei messaggi di chat disattivata. Apri il menu Opzioni per silenziare i messaggi da parte di giocatori non amici.</c>
<c val="#ColorRed">Allied Chat is disabled. Go to the Options menu to enable Allied Chat.</c>	<c val="#ColorRed">Chat alleati disabilitata. Apri il menu Opzioni per abilitare la chat alleati.</c>
<s val="BattleChatSystem">Chat Help:</n>- /join &lt;channel name&gt; - joins the specified channel</n>- /leave &lt;channel name&gt; - leaves the specified channel</n>- /list - lists available channels</n>- /who - lists members in active channel</n>- /&lt;channel index&gt; - changes active channel to specified channel index</n>- /w &lt;player name&gt; &lt;message&gt; - send a private whisper</n>- /r &lt;message&gt; - reply to a recent whisper</s>	<s val="BattleChatSystem">Aiuto per la chat:</n>- /entra <nome canale> - entra nel canale specificato</n>- /abbandona <nome canale> - lascia il canale specificato</n>- /elenco - elenca i canali disponibili</n>- /chi - elenca i partecipanti al canale attivo</n>- /<indice canale> - assegna al canale attivo l'indice di canale specificato</n>- /w <nome giocatore> <messaggio> - invia un messaggio privato</n>- /r <messaggio> - rispondi a un messaggio privato recente</s>
Press Enter to chat or / for commands	Premi Invio per aprire la chat o / per l'elenco dei comandi.
Press / for a list of commands	Premi / per un elenco dei comandi.
<s val="BattleChatChannel">Listing chat channels:</s>	<s val="BattleChatChannel">Elenco dei canali di chat:</s>
<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">%chatName%</a></s>	<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">%chatName%</a></s>
%message% %link%	%message% %link%
<s val="%style%"><a name="" href="">%time%</a></s> %message%	<s val="%style%"><a name=" href=">%time%</a></s> %message%
<a name="" href="">[%chatName%]:</a>	<a name=" href=">[%chatName%]:</a>
You must join a chat channel to chat. Type /join [channelName] or /list to list channels	Per conversare è necessario accedere a un canale di chat. Digita /entra [nome canale] o /elenco per un elenco dei canali.
<s val="BattleChatSystem">Local Time: %time%</s>	<s val="BattleChatSystem">Ora locale: %time%</s>
Press Enter to confirm or Esc to cancel	Premi Invio per confermare o Esc per annullare.
Begin typing a name	Inizia col digitare un nome
Unknown slash command. Type /help to list slash commands.	Comando di chat sconosciuto. Digita /aiuto per un elenco dei comandi di chat.
<s val="BattleChatSystem">Showing members for %chatName%:</n><s val="%chatStyle%">%chatMembers%</s>	<s val="BattleChatSystem">Visualizzazione dei partecipanti a %chatName%:</n><s val="%chatStyle%">%chatMembers%</s>
<s val="#ColorChatSystem">Member list unavailable.</s>	<s val="#ColorChatSystem">Elenco dei membri non disponibile.</s>
Member list command unavailable until player level %level%.	Elenco dei membri non disponibile fino al livello giocatore %level%.
Only allow friends to send me messages	Permetti solo agli amici di mandarmi messaggi
Only allow friends to send me invites	Permetti solo agli amici di mandarmi inviti
Set status to Busy when playing a game	Imposta lo stato su Occupato durante una partita
Enable Players Near You List	Abilita elenco Giocatori vicini
Privacy	Privacy
<c val="ffffff">Chat Message Privacy:</c><n/>When enabled, all chat messages from players not on your friends list will be rejected.	<c val="ffffff">Privacy messaggi di chat:</c><n/>quando è attivo, tutti i messaggi di chat inviati da giocatori non presenti nel tuo elenco amici verranno respinti.
<c val="ffffff">Invite Privacy:</c><n/>When enabled, all party, game, and chat channel invites from players not on your friends list will be rejected.	<c val="ffffff">Privacy inviti:</c><n/>quando è attivo, tutti gli inviti a gruppi, partite e canali di chat inviati da giocatori non presenti nel tuo elenco amici verranno respinti.
<c val="ffffff">Automatic Busy Status:</c><n/>When enabled, your status will be automatically set to Busy while playing matches. While in a match, features such as toasts and in-line chat from outside the match will be suppressed.  When you return to the main menu, your status will be restored to its previous setting.	<c val="ffffff">Stato occupato automatico:</c><n/>imposta automaticamente su Occupato il tuo stato su Battle.net mentre giochi. Durante le partite, le funzioni come notifiche e chat esterne alla partita saranno annullate. Terminata la partita, lo stato tornerà alle impostazioni originarie.
<c val="ffffff">Players Near You:</c><n/>When enabled, this feature allows you to see other players on your network who are currently online. These players will be displayed by their character ID. Disabling this feature prevents both you from seeing other players on your network and them from seeing you.<n/><n/>Note: Toggling this feature may require some time to take effect.	<c val="ffffff">Giocatori vicini:</c><n/>consente di vedere altri giocatori attualmente online sulla tua rete. Tali giocatori verranno visualizzati con l'ID del loro personaggio. Disabilitando la funzione non potrai vedere altri giocatori, né loro potranno vedere te.<n/><n/>Nota: il cambio di questa funzione potrebbe richiedere un po' di tempo per attivarsi.
(Friend)	(Amico)
(Game)	(Gioco)
(Party)	(Gruppo)
Filter Chat	Filtra chat
Leave All Whispers	Abbandona tutti i messaggi privati
Leave %name%	Abbandona %name%
Unfilter Chat	Rimuovi filtri da chat
View Members	Visualizza membri
Show Timestamps	Mostra data e ora
<c val="ffffff">Show Timestamps:</c><n/>When enabled, timestamps will appear in chat.<n/>Note: only new chat messages will have timestamps.	<c val="ffffff">Mostra data e ora:</c><n/>mostra data e ora nella chat.<n/>Nota: data e ora vengono visualizzate solo per i nuovi messaggi.
<c val="ffffff">Enable Allied Chat:</c><n/>When enabled you will automatically join Allied Chat at the start of the game. This option can be toggled at the beginning of the game.	<c val="ffffff">Abilita chat alleati:</c><n/>consente di unirsi automaticamente alla chat alleati all'inizio delle partite. L'opzione può essere attivata a inizio partita.
<h/>Chat	<h/>Chat
C<h/>lan	C<h/>lan
Clear Selection<n/><k val="ObserveClearSelection"/>	Elimina selezione<n/><k val="ObserveClearSelection"/>
Right-Click Through Minimap	Clic col destro sulla minimappa
Member	Membro
No Rank	Nessun grado
Owner	Proprietario
Click the "Find" button below to browse and search for groups	Clicca sul pulsante "Trova" per cercare un club.
Groups & Clans allow you to chat in moderated channels, to read the latest news, and to see members who are online.  Use the buttons below to find a group or to create a group or clan.	I club e i clan ti permettono di chattare in canali moderati, consultare le ultime notizie e vedere i membri online. Usa i pulsanti sottostanti per trovare un club o per creare un club o un clan.
Groups & Clans	Club e clan
You are not a member of a clan	Non fai parte di un clan.
%0% in Chat, %1% <lang rule="plural">player,players</lang> Online	%0% nella chat, %1% <lang rule="plural">giocatore,giocatori</lang> online
Disable Cmd-Tab Shortcut	Disabilita Comando+Tab
Collapse All	Riduci tutto
Color units using colors selected in the Color Blind Alliance Colors section of the Color Options Menu.<n/><k val="MinimapColors"/>	Colora le unità con i colori selezionati nella sezione Colori alleanza (Modalità daltonici) del menu delle opzioni.<n/><k val="MinimapColors"/>
Color Blind Mode	Modalità daltonici
Color units using colors selected in the Alliance Colors section of the Color Options Menu.<n/><k val="MinimapColors"/>	Colora le unità con i colori selezionati nella sezione Colori alleanza del menu delle opzioni.<n/><k val="MinimapColors"/>
Color units using player colors.<n/><k val="MinimapColors"/>	Colora le unità con i colori dei giocatori.<n/><k val="MinimapColors"/>
Color units using team colors.<n/><k val="MinimapColors"/>	Colora le unità con i colori delle squadre.<n/><k val="MinimapColors"/>
Color Blind Alliance Colors	Colori alleanza (Daltonici)
Ally color:	Colore alleati:
Hostile color:	Colore nemici:
Neutral color:	Colore neutrali:
Your color:	Il tuo colore:
Your minimap color:	Il tuo colore (Minimappa):
Alliance Colors	Colori alleanza
<c val="ffffff">Additional Team Color Textures:</c><n/>When enabled, uses textures with additional team color for selected effects and units. Requires a restart.	<c val="ffffff">Texture colori squadra aggiuntivi:</c><n/>impiega texture con più colori della squadra per effetti e unità selezionati. Richiede un riavvio.
<c val="ffffff">Enable Color Blind Mode:</c><n/>When enabled, different colors will be used for the build grid and alliance color mode and the terrain on the minimap will be slightly darker.	<c val="ffffff">Abilita modalità daltonici:</c><n/>utilizza diversi colori per la griglia di costruzione e i colori delle squadre sulla minimappa. Il terreno è leggermente più scuro.
<c val="ffffff">Ally color:</c><n/>Adjusts what color your ally's units and structures appear when using the alliance color option on the minimap.	<c val="ffffff">Colore alleati:</c><n/>regola il colore delle unità e strutture dell'alleato se si usa l'opzione Colore alleanza sulla minimappa.
<c val="ffffff">Hostile color:</c><n/>Adjusts what color your enemy's units and structures appear when using the alliance color option on the minimap.	<c val="ffffff">Colore nemici:</c><n/>regola il colore delle unità e strutture dei nemici se si usa l'opzione Colore alleanza sulla minimappa.
<c val="ffffff">Neutral color:</c><n/>Adjusts what color neutral units and structures appear when using the alliance color option on the minimap.	<c val="ffffff">Colore neutrali:</c><n/>regola il colore delle unità e strutture neutrali se si usa l'opzione Colore alleanza sulla minimappa.
<c val="ffffff">Your minimap color:</c><n/>Adjusts what color your units and structures appear on the minimap when using the alliance color option on the minimap.	<c val="ffffff">Il tuo colore (Minimappa):</c><n/>regola il colore delle unità e strutture del giocatore se si usa l'opzione Colore alleanza sulla minimappa.
<c val="ffffff">Your color:</c><n/>Adjusts what color your units and structures appear when using the alliance color option on the minimap.	<c val="ffffff">Il tuo colore:</c><n/>regola il colore delle unità e strutture del giocatore se si usa l'opzione Colore alleanza sulla minimappa.
<c val="ffffff">Team Color Intensity:</c><n/>Adjusts the intensity of team color shown in the game world.	<c val="ffffff">Intensità colore squadra:</c><n/>regola l'intensità del colore della squadra nel gioco.
<c val="ffffff">Display Team Colored Life Bar:</c><n/>When enabled, displays a unit's life bar using the color of the player controlling it.	<c val="ffffff">Abilita barra vitale con colore squadra:</c><n/>se abilitata, mostra la barra vitale usando il colore del giocatore che controlla l'unità.
%unit% - %card%	%unit% - %card%
You cannot control this unit.	Non puoi controllare questa unità.
Enemy Unit	Unità nemica
Neutral Unit	Unità neutrale
Invalid clan tag.	Tag di clan non valido.
[PH] Clan Tag Tooltip, what this is for and examples of legal tags.	[PH] Clan Tag Tooltip, what this is for and examples of legal tags.
Create a Clan	Crea un clan
Rename Clan	Rinomina il clan
Clan Name:	Nome del clan:
Clan Tag:	Tag del clan:
Awaiting server response from previous request.	In attesa della risposta del server per la richiesta precedente.
Create	Crea
You don't have enough gold.	Oro insufficiente.
Invalid tag.	Tag non valido.
Invalid name.	Nome non valido.
Valid names can be %minimum% to %maximum% characters long and contain letters, numbers, single spaces between words, apostrophes, and commas.	I nomi validi possono avere da %minimum% a %maximum% caratteri e contenere lettere, numeri, spazi singoli fra le parole, apostrofi e virgole.
Clans	Clan
Groups	Gruppi
Group	Club
Teams	Squadre
Team	Squadra
Private	Privato
Public	Pubblico
[PH] Group Category Tooltip, what this is for and usage examples.	[PH] Group Category Tooltip, what this is for and usage examples.
Create a Group	Crea club o clan
Rename Group	Rinomina il club
Category:	Categoria:
Group Name:	Nome gruppo:
A.I. SLOT	SLOT I.A.
Concussive	Concussiva
Confirm	Conferma
SAVE	SALVA
Constructed	Fabbricata
Check out the Help section by pressing the Menu button and select Help<n/>- Tutorial<n/>- Controls<n/>- Game Mechanics<n/>- Maps	Consulta la sezione Aiuto cliccando sul pulsante del Menu e selezionando Aiuto<n/>- Tutorial<n/>- Comandi<n/>- Meccaniche di gioco<n/>- Mappe
WANT MORE INFORMATION?	TI SERVONO ALTRE INFORMAZIONI?
Play games, level up, and earn rewards!	Gioca, avanza di livello e ottieni ricompense!
%userName%'s Progress	Progressi di %userName%
WELCOME!	BENVENUTO!
CLOSE	CHIUDI
Continue	Continua
Continuous Music	Musica senza interruzioni
Right-click to set this control group to all currently selected units.<n/>Alt-right-click to set this control group to all currently selected units, and remove them from your other control groups and your allies' selections and control groups.	Clicca col pulsante destro per impostare questo gruppo di controllo per tutte le unità attualmente selezionate.<n/>Clicca col pulsante destro premendo Alt per impostare questo gruppo di controllo per tutte le unità attualmente selezionate e rimuoverle dalla selezione e dai gruppi di controllo degli alleati.
Left-click to select all units in this control group.<n/>Right-click to set this control group to all currently selected units.<n/>Alt-right-click to set this control group to all currently selected units, and remove them from your other control groups and your allies' selections and control groups.	Clicca col pulsante sinistro per selezionare tutte le unità in questo gruppo di controllo.<n/>Clicca col pulsante destro per impostare questo gruppo di controllo per tutte le unità attualmente selezionate.<n/>Clicca col pulsante destro premendo Alt per impostare questo gruppo di controllo per tutte le unità attualmente selezionate e rimuoverle dalla selezione e dai gruppi di controllo degli alleati.
Left-click to select all units in this control group.	Clicca col pulsante sinistro per selezionare tutte le unità in questo gruppo di controllo.
Unassignable	Non assegnabili
Unclickable	Non cliccabili
Control Groups:	Gruppi di controllo:
Left-click to select all units in this unit control group.	Clicca col pulsante sinistro per selezionare tutte le unità in questo gruppo di controllo.
Tag:	Tag:
Tags can be 2 to 6 characters long and can have letters and numbers.	I tag possono avere da 2 a 6 caratteri e contenere lettere e numeri.
Language:	Lingua:
Select the primary language used in this group.  You can change this setting at any time.	Seleziona la lingua principale utilizzata. Questa impostazione può essere modificata in qualsiasi momento.
Categories help others find your groups when browsing.  You can change this setting at any time.	Le categorie aiutano gli altri a trovare il tuo club durante la ricerca. Puoi cambiare questa impostazione in qualsiasi momento.
Groups don't have a member limit and players can join many groups.<n/><n/>Clans have a member limit and players can join one clan only.	I club hanno un numero di membri illimitato, e i giocatori possono unirsi a più club.<n/><n/>I clan hanno un numero di membri limitato, e i giocatori possono unirsi a un solo clan.
Group or Clan:	Club o clan:
Private groups require an invite to join.  Only members have access to certain features.  You can change this setting at any time.	Per unirsi a club privati è necessario un invito. Solo i membri hanno accesso a determinate funzioni. Puoi cambiare questa impostazione in qualsiasi momento.
Privacy:	Privacy:
CREATE	CREA
Create Game	Crea partita
<h/>Create Game	<h/>Crea partita
Create Profile	Crea profilo
Created By:	Creata da:
ACCOUNT AND TECHICAL SERVICES MANAGERS	RESPONSABILI ACCOUNT E SERVIZI TECNICI
ACCOUNT AND TECHNICAL SERVICES MANAGER	RESPONSABILE ACCOUNT E SERVIZI TECNICI
ACCOUNT AND TECHNICAL SUPPORT MANAGER	RESPONSABILE ACCOUNT E SUPPORTO TECNICO
ADDITIONAL ART	GRAFICA AGGIUNTIVA
ADDITIONAL ARTISTS	GRAFICI AGGIUNTI
ADDITIONAL CASTING ASSISTANCE	ASSISTENZA CASTING AGGIUNTIVA
ADDITIONAL CHARACTERS	PERSONAGGI AGGIUNTIVI
ADDITIONAL DESIGN	PROGETTAZIONE AGGIUNTIVA
ADDITIONAL ENGINEERING ASSISTANCE	ASSISTENZA PROGRAMMAZIONE AGGIUNTIVA
ADDITIONAL GUITAR/FX	CHITARRA AGGIUNTA/EFFETTI
ADDITIONAL LOCALIZATION	LOCALIZZAZIONE AGGIUNTIVA
ADDITIONAL MUSIC BY	MUSICA AGGIUNTIVA DI
ADDITIONAL ORCHESTRATION	ORCHESTRAZIONE AGGIUNTIVA
ADDITIONAL PRODUCTION	PRODUZIONE AGGIUNTIVA
ADDITIONAL PROGRAMMING	PROGRAMMAZIONE AGGIUNTIVA
ADDITIONAL RECORDING SERVICES	SERVIZI REGISTRAZIONE AGGIUNTIVI
ADDITIONAL SOUND DESIGN	PROGETTAZIONE AUDIO AGGIUNTIVA
ADDITIONAL VOICE-OVER DESIGN/EDITING	IDEAZIONE/ELABORAZIONE DOPPIAGGIO AGGIUNTIVA
ADDITIONAL VOICE-OVER DIRECTION	DIREZIONE AUDIO AGGIUNTIVA
ADDITIONAL VOICES	VOCI AGGIUNTIVE
Ike Amadi, David Andriole, Robin Atkin-Downes, Dee Bradley Baker, Guerin Barry, Adam Bitterman, Julianne Buescher, Jonathan Cook, Grey DeLisle, Danilo Di Julio, Paul Eiding, Dave Fouquette, Dave Fennoy, Nika Futterman, John Giosa, Ali Hillis, Ed Hopkins, Neil Kaplan, David Lodge, Rachael MacFarlane, Chris Metzen, Jim Miller, Lani Minella, Mark Mintz, Julie Nathanson, Liam O'Brien, Khary Payton, Pat Pinney, Jamieson Price, Gerald C. Rivers, Matt Samia, Patrick Seitz, Keith Silverstein, Isaac Singleton, Debra Skelton, Andre Sogliuzzo, Glenn Stafford, Doug Stone, Fred Tatasciore, Robert Torti, Armando Valdes-Kennedy, Rick Wasserman	Marco Balbi, Diego Baldoin, Vittorio Bestoso, Andrea Bolognini, Beatrice Caggiula, Gabriele Calindri, Oliviero Corbetta, Jenny De Cesarei, Paolo De Santis, Alessandro D’Errico. Donatella Fanfani, Leonardo Gajo, Davide Garbolino, Gianni Gaude, Cristina Giolitti, Iolanda Granato, Francesco Mei, Elda Olivieri, Dario Oppido, Emanuela Pacotto, Stefania Patruno, Alex Poli, Luigi Rosa, Diego Sabre, Luca Sandri, Lorenzo Scattorin, Pietro Ubaldi, Matteo Zanotti
ADDITIONAL WRANGLING	ORGANIZZAZIONE AGGIUNTIVA
ADMINISTRATION	AMMINISTRAZIONE
ADMINISTRATIVE ASSISTANT	ASSISTENTE AMMINISTRATIVO
ALTOS	CONTRALTI
ANALYSTS	ANALISTI
ART DIRECTOR	DIRETTORE GRAFICA
ARTIST	GRAFICO
ARTISTS	GRAFICI
ART LEADS	CAPI GRAFICI
ART MANAGERS	RESPONSABILI GRAFICA
ASSISTANT ENGINEERS	ASSISTENTE INGEGNERE
ASSISTANT LEAD QA ANALYSTS	VICECAPI ANALISTI CQ
ASSISTANT MANAGER	VICEDIRETTORE
ASSISTANT MANAGERS	VICEDIRETTORI
ASSISTANT QA MANAGERS	VICEDIRETTORI CQ
ASSISTANT TEAM LEADS	VICE CAPISQUADRA
ASSOCIATE PRODUCER	PRODUTTORE ASSOCIATO
Julianne Buescher	Lorella De Luca
Ajendarro Ybarra	Ajendarro Ybarra
Ricardo Molina	Leonardo Gajo
Annabelle	Annabelle
Arcturus Mengsk	Arcturus Mengsk
James Harper	Oliviero Corbetta
Ariel Hanson	Ariel Hanson
Ali Hillis	Donatella Fanfani
BASS/CHAPMAN STICK	BASSO/CHAPMAN STICK
BASSES	CONTRABBASSI
