Amorphous Armorcloud	Armure de brume
Design	Dessin
Editorial	Édition
Engineers	Ingénieurs
Blizzard Animation Production	Production de l’animation Blizzard
VFX Supervisor	Superviseur des effets visuels
Director of Technology	Direction technologique
Audio Design	Conception audio
Show Leadership	Encadrement des présentations
Analysts	Analystes
Group Managers	Managers de groupe
Sound Design	Conception audio
Coordinator	Coordination
Additional Artists, Technology, & Production	Conception graphique additionnelle, technologie et production
Video & Post Production, Live Broadcast	Vidéo et postproduction, diffusion en direct
IT Technical Writing	Rédaction technique informatique
IT Design	Conception informatique
Vault Production	Production Vault (documentation)
Vice President, Asia Marketing	Vice-président, marketing Asie
Product Lead	Responsable produits
Director, Global Security	Directeur, sécurité monde
Strategy & Planning Analysts	Analystes en stratégie et planification
Corporate Applications Design	Conception des applications organisationnelles
Corporate Applications Production	Production des applications organisationnelles
Database Administrators	Administration de la base de données
Database Administration Management	Gestion de l’administration de la base de données
Technicians	Techniciens
Director, Database Administration	Directeur, administration de la base de données
Senior Manager, Information Systems	Manager senior, systèmes d’information
Process Administration	Administration des processus
Operations Technicians	Techniciens des opérations
Project Analysis	Analyse de projet
Security Analysts	Analystes en sécurité
Security Administration	Administration de la sécurité
Security Specialists	Spécialistes sécurité
System Administration	Administration des systèmes
Service Engineers	Ingénieurs des services
Service Manager	Manager des services
Infrastructure Technicians	Techniciens des infrastructures
Video & Post Production, Producers	Production vidéo et postproduction
Web & Mobile Design	Conception web & mobile
Web & Mobile Program Management	Gestion des programmes web & mobile
Web & Mobile Editorial	Édition web & mobile
Web & Mobile Engineers	Ingénieurs web & mobile
Vice President of Public Relations and Communications, Europe	Vice-président des relations publiques et des communications, Europe
Vice President and Managing Director, Korea	Vice-président et directeur général, Corée
TECHNOLOGY DEVELOPMENT AND PRODUCT SUPPORT	DÉVELOPPEMENT DES TECHNOLOGIES ET ASSISTANCE PRODUIT
BLIZZARD DEVELOPMENT FAMILY	FAMILLE DU DÉVELOPPEMENT BLIZZARD
THIRD PARTY CREDITS	PARTENAIRES ET TIERS
SPECIAL THANKS	REMERCIEMENTS SPÉCIAUX
ACKNOWLEDGEMENTS	REMERCIEMENTS
THIRD PARTY CREDITING	PARTENAIRES
Camera Follow Disabled	Suivi caméra désactivé
Camera Follow Enabled	Suivi caméra activé
Camera:	Caméra :
Press any key to continue	Appuyer sur n’importe quelle touche pour continuer
There has been a problem streaming the movie.  Please try again later.	Il y a eu un problème avec la lecture du flux de données de la vidéo. Veuillez réessayer plus tard.
Skip	Passer
There has been a problem streaming the movie.  Would you like to retry playing the movie or skip the movie and begin playing the campaign?	Il y a eu un problème avec la lecture du flux de données de la vidéo. Voulez-vous essayer de relancer la vidéo ou passer la vidéo pour commencer à jouer la campagne ?
Achievements: %achievementPercent%%	Hauts faits : %achievementPercent%%
<h/>MASTER ARCHIVES	<h/>ARCHIVES CENTRALES
CONTINUE	CONTINUER
Cost:	Coût :
Credits Available:	Crédits disponibles :
A series of tutorials that will teach you basic and advanced concepts of the game.	Une séries de didacticiels pour vous apprendre les concepts de base et avancés du jeu.
TUTORIALS	DIDACTICIELS
<h/>TUTORIAL	DIDAC<h/>TICIEL
CHOOSE A CAMPAIGN	CHOISISSEZ UNE CAMPAGNE
Get started by playing the tutorial	Commencez par jouer le didacticiel
C<h/>ANCEL	<h/>ANNULER
<h/>CANCEL	A<h/>NNULER
Achievement Progress: %completedAchievements% / %totalAchievements%	Progression des hauts faits : %completedAchievements% / %totalAchievements%
<h/>PLAY	<h/>JOUER
You must upgrade to access this feature. Click here to learn more.	Vous devez mettre à niveau pour avoir accès à cette fonction. Cliquez ici pour en savoir plus.
UPGRADE	MISE À NIVEAU
Enter a new name.  You will be logged out and back in again after changing your name.  You are provided only one name change per season.	Indiquez un nouveau nom. Vous serez en suite déconnecté puis reconnecté. Vous pouvez effectuer un seul changement de nom par saison.
Change Player Name	Changer le nom de joueur
Name change unavailable.	Changement de nom indisponible.
Name change is currently unavailable.  A new name change will become available after the next season roll.	Le changement de nom est temporairement indisponible. Vous pourrez en choisir un nouveau après le prochain changement de saison.
Your chat message was not sent.  You have sent too many chat messages recently.	Votre message de discussion n’a pas été envoyé. Vous avez envoyé trop de messages de discussion récemment.
%userName% has been blocked.	%userName% a été bloqué.
%userName% has been unblocked.	%userName% a été débloqué.
Chat Channels	Canaux de discussion
%count% in chat	%count% dans la discussion
Chat Members	Membres de la discussion
Enable Allied Chat	Activer la discussion alliée
Press %chatRecipientHotkey% to cycle chat recipients	Appuyez sur%chatRecipientHotkey% pour naviguer entre les différents destinataires
Copy Message	Copier le message
Press %chatEnableHotkey% or click the chat bar to resume chatting	Appuyez sur%chatEnableHotkey% ou cliquez sur la barre de discussion pour écrire un message
Click the chat bar to resume chatting	Cliquez sur la barre de discussion pour reprendre la discussion
Press %chatHotkey% to chat	Appuyez sur%chatHotkey% pour discuter
<s val="@@StandardTooltipHeader">Chat Help</s><n/><n/>	<s val="@@StandardTooltipHeader">Aide à la discussion</s><n/><n/>
To Everyone%allHotkey%<n/>	Pour tous%allHotkey%<n/>
To Allies%alliesHotkey%<n/>	Pour les alliés%alliesHotkey%<n/>
Cancel%cancelHotkey%	Annuler%cancelHotkey%
Cycle Recipient Group%cycleHotkey%<n/>	Naviguer entre les groupes de destinataires%cycleHotkey%<n/>
To Specific Player%individualHotkey%<n/>	Pour un joueur spécifique%individualHotkey%<n/>
Cycle Specific Player%individualHotkey%<n/>	Naviguer entre des joueurs spécifiques%individualHotkey%<n/>
<c val="ffffff">TO INITIATE CHAT</c><n/>	<c val="ffffff">POUR LANCER LA DISCUSSION</c><n/>
Send%sendHotkey%<n/>	Envoyer%sendHotkey%<n/>
<n/><c val="ffffff">WHILE CHAT IS ACTIVE</c><n/>	<n/><c val="ffffff">TANT QUE LA DISCUSSION EST ACTIVE</c><n/>
All Chat	Toutes les discussions
(%messageCount%)	(%messageCount%)
%chatName% Members (%memberCount%)	%chatName% Membres (%memberCount%)
Whispers	Chuchotements
<c val="#ColorChatSystem">You have disabled Allied Chat. Go to the Options menu to enable Allied Chat.</c>	<c val="#ColorChatSystem">Vous avez désactivé la discussion alliée. Rendez-vous dans le menu Options pour activer la discussion alliée.</c>
<c val="#ColorChatSystem">You have disabled Allied Chat. Click <a name="%optionName%" href="%value%"><c val="#ColorWhite">[HERE]</c></a> to enable Allied Chat.</c>	<c val="#ColorChatSystem">Vous avez désactivé la discussion alliée. Cliquez <a name="%optionName%" href="%value%"><c val="#ColorWhite">[ICI]</c></a> pour activer la discussion alliée.</c>
<c val="#ColorChatSystem">You have enabled Allied Chat. Go to the Options menu to disable Allied Chat.</c>	<c val="#ColorChatSystem">Vous avez activé la discussion alliée. Rendez-vous dans le menu Options pour désactiver la discussion alliée.</c>
<c val="#ColorChatSystem">Allied Chat is enabled. Click <a name="%optionName%" href="%value%"><c val="#ColorWhite">[HERE]</c></a> to disable Allied Chat.</c>	<c val="#ColorChatSystem">Discussion alliée activée. Cliquez <a name="%optionName%" href="%value%"><c val="#ColorWhite">[ICI]</c></a> pour désactiver la discussion alliée.</c>
<a name="%optionName%" href="%value%"><c val="#ColorWhite">[UNDO]</c></a>	<a name="%optionName%" href="%value%"><c val="#ColorWhite">[ANNULER]</c></a>
<c val="#ColorChatSystem">Chat Message Privacy is off. Go to the Options menu to mute non-friend messages.</c>	<c val="#ColorChatSystem">Filtre des messages de discussion désactivé. Rendez-vous dans le menu Options pour bloquer les messages ne figurant pas dans votre liste d’amis.</c>
<c val="#ColorRed">Allied Chat is disabled. Go to the Options menu to enable Allied Chat.</c>	<c val="#ColorRed">Discussion alliée désactivée. Rendez-vous dans le menu Options pour activer la discussion alliée.</c>
<s val="BattleChatSystem">Chat Help:</n>- /join &lt;channel name&gt; - joins the specified channel</n>- /leave &lt;channel name&gt; - leaves the specified channel</n>- /list - lists available channels</n>- /who - lists members in active channel</n>- /&lt;channel index&gt; - changes active channel to specified channel index</n>- /w &lt;player name&gt; &lt;message&gt; - send a private whisper</n>- /r &lt;message&gt; - reply to a recent whisper</s>	<s val="BattleChatSystem">Aide des discussions :</n>- /join &lt;nom du canal&gt; - rejoint le canal spécifié</n>- /leave &lt;nom du canal&gt; - quitte le canal spécifié</n>- /list - liste les canaux disponibles</n>- /who - liste les membres dans le canal actif</n>- /&lt;channel index&gt; - change le canal actif pour le canal spécifié</n>- /w &lt;nom du joueur&gt; &lt;message&gt; - envoie un message privé</n>- /r &lt;message&gt; - répond à un message privé récent</s>
Press Enter to chat or / for commands	Appuyez sur Entrée pour parler ou / pour les commandes
Press / for a list of commands	Appuyez sur / pour une liste des commandes
<s val="BattleChatChannel">Listing chat channels:</s>	<s val="BattleChatChannel">Liste des canaux de discussion :</s>
<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">%chatName%</a></s>	<s val="BattleChatChannel"><a name="ChannelName" href="%rawChatName%">%chatName%</a></s>
%message% %link%	%message% %link%
<s val="%style%"><a name="" href="">%time%</a></s> %message%	<s val="%style%"><a name=" href=">%time%</a></s> %message%
<a name="" href="">[%chatName%]:</a>	<a name=" href=">[%chatName%] :</a>
You must join a chat channel to chat. Type /join [channelName] or /list to list channels	Vous devez rejoindre un canal pour pouvoir discuter. Tapez /join [nom de canal] ou /list pour obtenir la liste des canaux
<s val="BattleChatSystem">Local Time: %time%</s>	<s val="BattleChatSystem">Heure locale : %time%</s>
Press Enter to confirm or Esc to cancel	Entrée pour confirmer ou Echap pour annuler
Begin typing a name	Commencez à saisir un nom
Unknown slash command. Type /help to list slash commands.	Commande / inconnue. Tapez /help pour obtenir la liste des commandes /.
<s val="BattleChatSystem">Showing members for %chatName%:</n><s val="%chatStyle%">%chatMembers%</s>	<s val="BattleChatSystem">Afficher les membres du canal  %chatName%:</n><s val="%chatStyle%">%chatMembers%</s>
<s val="#ColorChatSystem">Member list unavailable.</s>	<s val="#ColorChatSystem">Liste des membres indisponible.</s>
Member list command unavailable until player level %level%.	Contrôle de la liste de membres indisponible tant que vous n’avez pas atteint le niveau %level%.
Only allow friends to send me messages	Autoriser uniquement les messages de discussion de la part des contacts
Only allow friends to send me invites	Autoriser uniquement les invitations de la part des contacts
Set status to Busy when playing a game	Se mettre en statut Occupé pendant les parties
Enable Players Near You List	Activer la liste des Joueurs proches
Privacy	Confidentialité
<c val="ffffff">Chat Message Privacy:</c><n/>When enabled, all chat messages from players not on your friends list will be rejected.	<c val="ffffff">Filtre des messages de discussion :</c><n/>Une fois l’option activée, tous les messages de joueurs ne figurant pas dans votre liste de contacts seront rejetés.
<c val="ffffff">Invite Privacy:</c><n/>When enabled, all party, game, and chat channel invites from players not on your friends list will be rejected.	<c val="ffffff">Filtre des invitations :</c><n/>Une fois l’option activée, toutes les invitations à des groupes, parties ou canaux de discussion de joueurs ne figurant pas dans votre liste de contacts seront rejetées.
<c val="ffffff">Automatic Busy Status:</c><n/>When enabled, your status will be automatically set to Busy while playing matches. While in a match, features such as toasts and in-line chat from outside the match will be suppressed.  When you return to the main menu, your status will be restored to its previous setting.	<c val="ffffff">Statut Occupé automatique :</c><n/>Une fois l’option activée, votre statut Battle.net passera automatiquement en Occupé(e) pendant les matchs. Les fonctions comme les annonces ou les discussions en ligne extérieures au match seront suspendues. Lors de votre retour au menu principal, votre statut reprendra son état antérieur.
<c val="ffffff">Players Near You:</c><n/>When enabled, this feature allows you to see other players on your network who are currently online. These players will be displayed by their character ID. Disabling this feature prevents both you from seeing other players on your network and them from seeing you.<n/><n/>Note: Toggling this feature may require some time to take effect.	<c val="ffffff">Joueurs proches de vous :</c><n/>Une fois l’option activée, cette fonction vous permet de voir les autres joueurs sur votre réseau qui sont actuellement en ligne. Ces joueurs seront affichés via leurs identifiants de personnage. Désactiver cette option vous empêche de les voir et les empêche de vous voir.<n/><n/>Note : l’activation ou la désactivation peut ne prendre effet qu’après un certain temps.
(Friend)	(Ami)
(Game)	(Partie)
(Party)	(Groupe)
Filter Chat	Filtrer la discussion
Leave All Whispers	Quitter tous les chuchotements
Leave %name%	Quitter %name%
Unfilter Chat	Ne plus filtrer la discussion
View Members	Voir les membres
Show Timestamps	Afficher l’heure
<c val="ffffff">Show Timestamps:</c><n/>When enabled, timestamps will appear in chat.<n/>Note: only new chat messages will have timestamps.	<c val="ffffff">Afficher l’heure :</c><n/>Une fois l’option activée, l’heure est affichée dans la discussion.<n/>Remarque : l’heure n’est indiquée que pour les nouveaux messages.
<c val="ffffff">Enable Allied Chat:</c><n/>When enabled you will automatically join Allied Chat at the start of the game. This option can be toggled at the beginning of the game.	<c val="ffffff">Activer la discussion alliée :</c><n/>Une fois l’option activée, vous rejoignez automatiquement la discussion alliée en début de partie. Il est alors possible de la désactiver.
<h/>Chat	<h/>Discussion
C<h/>lan	C<h/>lan
Clear Selection<n/><k val="ObserveClearSelection"/>	Effacer la sélection<n/><k val="ObserveClearSelection"/>
Right-Click Through Minimap	Clic droit à travers la minicarte
Member	Membre
No Rank	Aucun rang
Owner	Propriétaire
Click the "Find" button below to browse and search for groups	Cliquez sur le bouton ci-dessous pour trouver un club
Groups & Clans allow you to chat in moderated channels, to read the latest news, and to see members who are online.  Use the buttons below to find a group or to create a group or clan.	Les clubs et les clans permettent de voir les membres en ligne, les dernières infos et les canaux dédiés. Utilisez les boutons ci-dessous pour trouver ou créer un club ou un clan.
Groups & Clans	Clubs & clans
You are not a member of a clan	Vous n'êtes pas membre d'un clan.
%0% in Chat, %1% <lang rule="plural">player,players</lang> Online	Dans la discussion : %0% - %1% <lang rule="plural">joueur connecté,joueurs connectés</lang>
Disable Cmd-Tab Shortcut	Désactiver le raccourci Cmd-Tab
Collapse All	Réduire tout
Color units using colors selected in the Color Blind Alliance Colors section of the Color Options Menu.<n/><k val="MinimapColors"/>	Colore les unités avec les couleurs choisies dans la section Couleurs d’alliance pour daltoniens du menu des options de couleurs.<n/><k val="MinimapColors"/>
Color Blind Mode	Mode daltonien
Color units using colors selected in the Alliance Colors section of the Color Options Menu.<n/><k val="MinimapColors"/>	Colore les unités avec les couleurs choisies dans la section Couleurs d’alliance du menu des options de couleurs.<n/><k val="MinimapColors"/>
Color units using player colors.<n/><k val="MinimapColors"/>	Colore les unités en utilisant les couleurs des joueurs.<n/><k val="MinimapColors"/>
Color units using team colors.<n/><k val="MinimapColors"/>	Colore les unités en utilisant les couleurs d’équipes.<n/><k val="MinimapColors"/>
Color Blind Alliance Colors	Couleurs d’alliance (daltoniens)
Ally color:	Couleur des unités alliées :
Hostile color:	Couleur des unités adverses :
Neutral color:	Couleur des unités neutres :
Your color:	Votre couleur :
Your minimap color:	Couleur de votre minicarte :
Alliance Colors	Couleurs d’alliance
<c val="ffffff">Additional Team Color Textures:</c><n/>When enabled, uses textures with additional team color for selected effects and units. Requires a restart.	<c val="ffffff">Textures de couleur d’équipe supplémentaires :</c><n/>Une fois cette option activée, utilise des textures avec une couleur d’équipe supplémentaire pour les effets et les unités sélectionnés. Nécessite un redémarrage.
<c val="ffffff">Enable Color Blind Mode:</c><n/>When enabled, different colors will be used for the build grid and alliance color mode and the terrain on the minimap will be slightly darker.	<c val="ffffff">Activer le mode daltonien :</c><n/>Une fois cette option activée, des couleurs différentes seront utilisées pour le quadrillage de construction et les couleurs d’alliance. Le terrain sur la minicarte sera également un peu plus sombre.
<c val="ffffff">Ally color:</c><n/>Adjusts what color your ally's units and structures appear when using the alliance color option on the minimap.	<c val="ffffff">Couleur des unités alliées :</c><n/>Sélectionne la couleur sous laquelle apparaîtront les bâtiments et les unités alliés lorsque l’option de couleur d’alliance est utilisée sur la minicarte.
<c val="ffffff">Hostile color:</c><n/>Adjusts what color your enemy's units and structures appear when using the alliance color option on the minimap.	<c val="ffffff">Couleur des unités adverses :</c><n/>Sélectionne la couleur sous laquelle apparaîtront les bâtiments et les unités adverses lorsque l’option de couleur d’alliance est utilisée sur la minicarte.
<c val="ffffff">Neutral color:</c><n/>Adjusts what color neutral units and structures appear when using the alliance color option on the minimap.	<c val="ffffff">Couleur des unités neutres :</c><n/>Sélectionne la couleur sous laquelle apparaîtront les bâtiments et les unités neutres lorsque l’option de couleur d’alliance est utilisée sur la minicarte.
<c val="ffffff">Your minimap color:</c><n/>Adjusts what color your units and structures appear on the minimap when using the alliance color option on the minimap.	<c val="ffffff">Couleur de votre minicarte :</c><n/>Sélectionne la couleur sous laquelle apparaîtront vos bâtiments et unités sur la minicarte lorsque l’option de couleur d’alliance est utilisée sur la minicarte.
<c val="ffffff">Your color:</c><n/>Adjusts what color your units and structures appear when using the alliance color option on the minimap.	<c val="ffffff">Votre couleur :</c><n/>Sélectionne la couleur sous laquelle apparaîtront vos bâtiments et unités lorsque l’option de couleur d’alliance est utilisée sur la minicarte.
<c val="ffffff">Team Color Intensity:</c><n/>Adjusts the intensity of team color shown in the game world.	<c val="ffffff">Intensité de la couleur d’équipe :</c><n/>Ajuste l’intensité de la couleur d’équipe utilisée dans le monde de jeu.
<c val="ffffff">Display Team Colored Life Bar:</c><n/>When enabled, displays a unit's life bar using the color of the player controlling it.	<c val="ffffff">Afficher la barre des PV aux couleurs de l’équipe :</c><n/>Une fois cette option activée, affiche la barre des PV d’une unité avec la couleur du joueur qui la contrôle.
%unit% - %card%	%unit% - %card%
You cannot control this unit.	Vous ne pouvez pas contrôler cette unité
Enemy Unit	Unité ennemie
Neutral Unit	Unité neutre
Invalid clan tag.	Tag de clan non valide.
[PH] Clan Tag Tooltip, what this is for and examples of legal tags.	[PH] Clan Tag Tooltip, what this is for and examples of legal tags.
Create a Clan	Créer un clan
Rename Clan	Renommer le clan
Clan Name:	Nom du clan :
Clan Tag:	Tag du clan :
Awaiting server response from previous request.	En attente de réponse du serveur pour la requête précédente.
Create	Créer
You don't have enough gold.	Vous n’avez pas assez d’or.
Invalid tag.	Tag non valide.
Invalid name.	Nom invalide.
Valid names can be %minimum% to %maximum% characters long and contain letters, numbers, single spaces between words, apostrophes, and commas.	Les noms valides doivent être composés de %minimum% à %maximum% caractères et peuvent contenir des lettres, des chiffres, des espaces uniques entre les mots, des apostrophes et des virgules.
Clans	Clans
Groups	Clubs
Group	Club
Teams	Équipes
Team	Équipe
Private	Privé
Public	Public
[PH] Group Category Tooltip, what this is for and usage examples.	[PH] Group Category Tooltip, what this is for and usage examples.
Create a Group	Création de club
Rename Group	Renommer le club
Category:	Catégorie :
Group Name:	Nom du groupe :
A.I. SLOT	EMPLACEMENT D’IA
Concussive	Concussion
Confirm	OK
Constructed	Construits
Check out the Help section by pressing the Menu button and select Help<n/>- Tutorial<n/>- Controls<n/>- Game Mechanics<n/>- Maps	Vous pouvez consulter la section Aide en cliquant sur le bouton Menu et en sélectionnant Aide<n/>- Didacticiel<n/>- Contrôles<n/>- Mécanismes de jeu<n/>- Cartes
WANT MORE INFORMATION?	PLUS D’INFORMATION ?
Play games, level up, and earn rewards!	Jouez des parties, gagnez des niveaux et obtenez des récompenses !
%userName%'s Progress	%userName% : progression
WELCOME!	BIENVENUE !
CLOSE	FERMER
Continue	Continuer
Continuous Music	Musique en continu
Right-click to set this control group to all currently selected units.<n/>Alt-right-click to set this control group to all currently selected units, and remove them from your other control groups and your allies' selections and control groups.	Faites un clic droit pour ajouter toutes les unités actuellement sélectionnées à ce groupe de contrôle.<n/>Grâce à Alt + Clic droit, assignez ce groupe de contrôle à toutes les unités actuellement sélectionnées et retirez-les de tous vos autres groupes de contrôle, ainsi que des sélections et groupes de contrôle de vos alliés.
Left-click to select all units in this control group.<n/>Right-click to set this control group to all currently selected units.<n/>Alt-right-click to set this control group to all currently selected units, and remove them from your other control groups and your allies' selections and control groups.	Cliquez pour sélectionner toutes les unités de ce groupe de contrôle.<n/>Faites un clic droit pour assigner à ce groupe de contrôle toutes les unités actuellement sélectionnées.<n/>Grâce à Alt + Clic droit, assignez ce groupe de contrôle à toutes les unités actuellement sélectionnées et retirez-les de tous vos autres groupes de contrôle, ainsi que des sélections et groupes de contrôle de vos alliés.
Left-click to select all units in this control group.	Cliquez pour sélectionner toutes les unités de ce groupe de contrôle.
Unassignable	Non assignable
Unclickable	Non cliquables
Control Groups:	Groupes de contrôle :
Left-click to select all units in this unit control group.	Effectuez un clic gauche pour sélectionner toutes les unités dans ce groupe de contrôle d’unités.
Tag:	Tag :
Tags can be 2 to 6 characters long and can have letters and numbers.	Les tags font de 2 à 6 caractères et peuvent contenir des chiffres ou des lettres.
Language:	Langue :
Select the primary language used in this group.  You can change this setting at any time.	Sélectionnez la langue principale pour ce club. Vous pouvez changer ce réglage à n'importe quel moment.
Categories help others find your groups when browsing.  You can change this setting at any time.	Les catégories aident les autres à retrouver vos clubs dans les listes. Vous pouvez modifier ce paramètre n'importe quand.
Groups don't have a member limit and players can join many groups.<n/><n/>Clans have a member limit and players can join one clan only.	Les clubs n'ont pas de limite au nombre de membres et les joueurs peuvent faire partie de plusieurs clubs.<n/><n/>Les clans ont une limite au nombre de membres et les joueurs ne peuvent rallier qu'un seul clan.
Group or Clan:	Club ou clan :
Private groups require an invite to join.  Only members have access to certain features.  You can change this setting at any time.	Les clubs privés sont accessibles seulement sur invitation. Seuls les membres ont accès à certaines fonctions. Vous pouvez modifier ce paramètre n'importe quand.
Privacy:	Confidentialité :
CREATE	CRÉER
Create Game	Créer une partie
<h/>Create Game	<h/>Créer une partie
Create Profile	Créer un profil
Created By:	Créé par :
ACCOUNT AND TECHICAL SERVICES MANAGERS	MANAGERS DES SERVICES TECHNIQUES ET COMPTES
ACCOUNT AND TECHNICAL SERVICES MANAGER	MANAGERS DES SERVICES TECHNIQUES ET COMPTES
ACCOUNT AND TECHNICAL SUPPORT MANAGER	MANAGERS DE L’ASSISTANCE TECHNIQUE ET COMPTES
ADDITIONAL ART	IMAGES ADDITIONNELLES
ADDITIONAL ARTISTS	CONCEPTION GRAPHIQUE ADDITIONNELLE
ADDITIONAL CASTING ASSISTANCE	ASSISTANCE CASTING ADDITIONNELLE
ADDITIONAL CHARACTERS	PERSONNAGES ADDITIONNELS
ADDITIONAL DESIGN	CONCEPTION ADDITIONNELLE
ADDITIONAL ENGINEERING ASSISTANCE	ASSISTANCE TECHNIQUE ADDITIONNELLE
ADDITIONAL GUITAR/FX	GUITARE/FX ADDITIONNELS
ADDITIONAL LOCALIZATION	LOCALISATION ADDITIONNELLE
ADDITIONAL MUSIC BY	MUSIQUE ADDITIONNELLE PAR
ADDITIONAL ORCHESTRATION	ORCHESTRATION ADDITIONNELLE
ADDITIONAL PRODUCTION	PRODUCTION ADDITIONNELLE
ADDITIONAL PROGRAMMING	PROGRAMMATION ADDITIONNELLE
ADDITIONAL RECORDING SERVICES	SERVICES D’ENREGISTREMENT ADDITIONNELS
ADDITIONAL SOUND DESIGN	CONCEPTION SONORE ADDITIONNELLE
ADDITIONAL VOICE-OVER DESIGN/EDITING	CONCEPTION/ÉDITION ADDITIONNELLES DES VOIX-OFF
ADDITIONAL VOICE-OVER DIRECTION	DIRECTION ADDITIONNELLE DES VOIX-OFF
ADDITIONAL VOICES	VOIX ADDITIONNELLES
Ike Amadi, David Andriole, Robin Atkin-Downes, Dee Bradley Baker, Guerin Barry, Adam Bitterman, Julianne Buescher, Jonathan Cook, Grey DeLisle, Danilo Di Julio, Paul Eiding, Dave Fouquette, Dave Fennoy, Nika Futterman, John Giosa, Ali Hillis, Ed Hopkins, Neil Kaplan, David Lodge, Rachael MacFarlane, Chris Metzen, Jim Miller, Lani Minella, Mark Mintz, Julie Nathanson, Liam O'Brien, Khary Payton, Pat Pinney, Jamieson Price, Gerald C. Rivers, Matt Samia, Patrick Seitz, Keith Silverstein, Isaac Singleton, Debra Skelton, Andre Sogliuzzo, Glenn Stafford, Doug Stone, Fred Tatasciore, Robert Torti, Armando Valdes-Kennedy, Rick Wasserman	Marc Alfos, Pierre Amale, Patrick Bethune, Laura Blanc, Damien Boisseau, Bernard Bollet, Patrick Borg, Paul Borne, Luc Boulad, Bruno Choel, Franz Confiac, Pierre-Alain De Garrigues, Véronique Desmadryl, Marie Diot, Pierre Dourlens, Benoit Du Pac, Cédric Dumond, Philippe Dumond, Pascal Germain, Stéphanie Hedin, François Jaubert, David Kruger, Sylvain Lemarié, Martial Le Minoux, Malvina Lesser, Gilbert Lévy, Patrice Melennec, Thierry Mercier, Cyrille Monge, Marie Nonnenmacher, Christophe Peyroux, Laura Préjean, Sophie Riffont, Philippe Roullier, François Siener, Antoine Tomé, Marie Zidi.
ADDITIONAL WRANGLING	WRANGLING ADDITIONNEL
ADMINISTRATION	ADMINISTRATION
ADMINISTRATIVE ASSISTANT	ASSISTANT ADMINISTRATIF
ALTOS	ALTOS
ANALYSTS	ANALYSTES
ART DIRECTOR	DIRECTEUR ARTISTIQUE
ARTIST	CONCEPTION GRAPHIQUE
ARTISTS	CONCEPTION GRAPHIQUE
ART LEADS	RESPONSABLES ARTISTIQUES
ART MANAGERS	MANAGERS ARTISTIQUES
ASSISTANT ENGINEERS	INGÉNIEURS ASSISTANTS
ASSISTANT LEAD QA ANALYSTS	RESPONSABLE ASSISTANT ANALYSTES AQ
ASSISTANT MANAGER	ASSISTANT MANAGER
ASSISTANT MANAGERS	ASSISTANTS MANAGERS
ASSISTANT QA MANAGERS	MANAGERS ASSISTANTS AQ
ASSISTANT TEAM LEADS	RESPONSABLES D’ÉQUIPE ASSISTANTS
ASSOCIATE PRODUCER	PRODUCTEUR ASSOCIÉ
Julianne Buescher	Véronique Desmadryl
Ajendarro Ybarra	Ajendarro Ybarra
Ricardo Molina	Luc Boulad
Annabelle	Annabelle
Arcturus Mengsk	Arcturus Mengsk
James Harper	François Jaubert
Ariel Hanson	Ariel Hanson
Ali Hillis	Marie Diot
BASS/CHAPMAN STICK	BASSE/CHAPMAN STICK
BASSES	BASSES
BASSOONS	BASSONS
BRAZILIAN PORTUGUESE & LATIN AMERICAN SPANISH (Babel Media, Ltd.)	ESPAGNOL LATINO-AMÉRICAIN & PORTUGAIS BRÉSILIEN (Babel Media, Ltd.)
BRAZILIAN PORTUGUESE (Babel Media, Ltd.)	PORTUGAIS BRÉSILIEN (Babel Media, Ltd.)
BUSINESS DEVELOPMENT	DÉVELOPPEMENT COMMERCIAL
BUSINESS INTELLIGENCE	STRATÉGIE DE L’INFORMATION
Bralik	Bralik
CASTILIAN SPANISH	ESPAGNOL CASTILLAN
CASTING DIRECTOR	DIRECTEUR DE CASTING
CELLI	VIOLONCELLES
CHIEF OPERATING OFFICER	DIRECTEUR DES OPÉRATIONS
CHINA CUSTOMER SERVICE AND OPERATIONS	SERVICE CLIENT ET OPÉRATION CHINE
CHINA CUSTOMER SUPPORT	ASSISTANCE CLIENTÈLE CHINE
CHINA TEAM	ÉQUIPE CHINE
CHOIRMASTER	CHEF CHORISTE
CHOIR RECORDED AT	CHŒURS ENREGISTRÉS À
CHORAL PERFORMANCE BY	CHŒURS PAR
CINEMATIC ART DIRECTORS	DIRECTEURS CONCEPTION GRAPHIQUE DES CINÉMATIQUES
CINEMATIC ARTISTS	CONCEPTION GRAPHIQUE DES CINÉMATIQUES
CINEMATIC AUDIO	AUDIO DES CINÉMATIQUES
CINEMATICS	CINÉMATIQUES
CLARINET	CLARINETTE
COMMUNICATIONS COORDINATOR	COORDINATEUR COMMUNICATIONS
COMMUNITY AND ESPORTS	COMMUNAUTÉ ET ESPORT
COMPATIBILITY	COMPATIBILITÉ
COMPOSERS	COMPOSITEURS
CONTENT RESEARCH ADMINISTRATORS	ADMINISTRATEURS RECHERCHE DE CONTENU
CONTENT RESEARCH SUPERVISOR	SUPERVISEUR RECHERCHE DE CONTENU
CONTRACTED BY	ENGAGÉ PAR
COORDINATORS	COORDINATEURS
CORPORATE APPLICATIONS	APPLICATIONS ENTREPRISE
CREATIVE DEVELOPMENT	DÉVELOPPEMENT CRÉATIF
